,wSMI,p_e,k,b,b_n,g,g_n,t,t_n,d,d_n,a_n,a,CNV,P1,P3a,P3b,probe,mind,preproc,participant
0,0.1139703478009982,0.9096246419895156,0.7638658940397348,-104.17726298586943,0.1923494901890685,-113.66222545003012,0.0249232736611983,-102.58057108549592,0.2915345250983175,-102.03054549757294,0.331965289442396,0.1592274216090195,-104.6861001950734,1.4710888595317342,-1.2613818504737357e-07,1.7121388423684972e-06,1.6867010602244694e-06,SC,dMW,erp,0
1,0.1095091374245276,0.9000533678125917,0.7651076158940394,-107.3809433793623,0.1210097317347886,-114.07441272612246,0.0278804456438331,-104.88833354387468,0.2015002412144704,-101.02687547393232,0.4807862825079728,0.1688232988989349,-106.02532155088184,-10.161082178502546,-2.3386668545872288e-08,-1.7490153743111173e-06,1.0531353102156173e-07,SC,dMW,erp,0
2,0.1106898777198037,0.9187923292025092,0.7644867549668871,-105.76935265908172,0.1458754896378722,-113.57833843662765,0.0255968192584882,-102.16735135262066,0.3365753136398255,-102.26087274165636,0.3264971028721054,0.1654552745917085,-105.52966657270645,5.283715047039935,2.739014952318092e-06,3.6330646849091368e-06,1.1944463981679216e-06,SC,dMW,erp,0
3,0.1141561830586076,0.9263235150275364,0.7685223509933771,-106.98739485833948,0.1711148684855767,-115.16601600744012,0.0274138160247877,-104.3574525716943,0.3152522282345351,-105.55931098081987,0.2663436387745931,0.2198754484805071,-105.87893193546878,-2.363554351730138,-3.472863590953555e-06,-5.331659690571724e-07,-2.1794735557087967e-06,SC,dMW,erp,0
0,0.1078628391956204,0.921578873102878,0.7785596026490061,-103.66921820778006,0.202618708471354,-111.8923610757024,0.0457135574637768,-100.46115157744502,0.3931992445973984,-103.45314926196968,0.218151166978174,0.1403173224892966,-105.58865669084338,7.189300041221433,-5.489333519464493e-06,4.812640695478673e-07,-2.8846751020802083e-06,PC,dMW,erp,0
1,0.1069973182447163,0.9137022683571616,0.7733857615894036,-105.25177047966586,0.152968769026328,-111.3566249361744,0.0459088896629817,-103.65403825731076,0.258993370319139,-103.27095811549395,0.2670816066921186,0.2750473642994325,-102.77806242533696,7.892831462663746,1.3272685997874032e-06,-1.6111383501560056e-06,3.400520891402944e-06,PC,dMW,erp,0
2,0.1096766238200604,0.918321170290658,0.7762831125827812,-105.76254576171746,0.1731910902068417,-111.17446467257524,0.0532010835108356,-102.50058177116529,0.3209607966302155,-104.06657610913749,0.2489533392226726,0.2036936904294344,-104.73858435679855,2.082482509608793,4.401453384189878e-06,1.5063894509799832e-06,7.982257804274382e-06,PC,dMW,erp,0
3,0.1051039112684289,0.9158741345270978,0.77421357615894,-106.52139578577896,0.1583576767523991,-110.83433401123622,0.0691799808966046,-102.58127292345428,0.3774116815919007,-104.0696722671466,0.2723966327861228,0.1226540279729726,-107.4346196817717,17.339436588652166,-5.607082273313979e-06,-1.912006663013666e-06,1.3209115030770783e-06,PC,dMW,erp,0
4,0.124353721687236,0.9197519628473548,0.76210678807947,-104.68109923836198,0.1356030724625824,-112.62889564035768,0.0416942963105148,-100.55778466007658,0.3727776080530298,-101.89963175198548,0.2761614859800114,0.1737635371938614,-103.78412795216153,14.943053403099483,-1.4310941275327474e-06,-4.6098395918860317e-07,1.5698897271937614e-06,PC,dMW,erp,0
5,0.1075781619252647,0.897142875632041,0.7689362582781455,-105.377587872653,0.1102091927427216,-113.19088377504504,0.024167658791033,-99.5108199111012,0.4085568389153947,-101.24392271700556,0.2854865253794063,0.1715797841714443,-103.8240061969226,13.461457405399374,-4.130930830539487e-06,1.3899143767737952e-06,6.734357491219401e-07,PC,dMW,erp,0
