,markers,p_value,AUC,Rank_Biserial,Cliffs_Delta,Cohens_d,Rosenthals_r,Common_lanaguage,Impact,p_corrected,significant
0,wSMI_1_mean,0.8899688720703125,0.4532871972318339,0.04575163398692811,-0.05882352941176472,0.1125969303432975,-0.04018412065082195,0.5467128027681661,-0.5570824594736618,1.0,p > 0.05
1,wSMI_1_std,0.088653564453125,0.4186851211072665,0.477124183006536,0.2941176470588236,0.36699953156942516,-0.41906297250142893,0.5813148788927336,-0.395929226033677,0.5984115600585938,p > 0.05
2,wSMI_2_mean,0.8899688720703125,0.46366782006920415,0.04575163398692811,0.05882352941176472,0.19824003683428207,-0.04018412065082195,0.5363321799307958,-0.9026740545913045,1.0,p > 0.05
3,wSMI_2_std,0.54766845703125,0.5397923875432526,-0.17647058823529416,0.05882352941176472,-0.43503948784961416,-0.15499589393888466,0.4602076124567474,0.5908356562259222,1.0,p > 0.05
4,wSMI_4_mean,0.8899688720703125,0.4671280276816609,0.04575163398692811,0.05882352941176472,-0.0283396371750944,-0.04018412065082195,0.532871972318339,0.5989307448612002,1.0,p > 0.05
5,wSMI_4_std,0.0714111328125,0.3737024221453288,0.5032679738562091,0.41176470588235303,0.2523626407680546,-0.44202532715904147,0.6262975778546713,-0.9530713129718432,0.5508858816964286,p > 0.05
6,wSMI_8_mean,0.3060455322265625,0.4394463667820069,0.29411764705882354,0.17647058823529416,0.20418326677892817,-0.2583264898981411,0.5605536332179931,-0.5249224587274492,0.9084663391113281,p > 0.05
7,wSMI_8_std,0.7819061279296875,0.5190311418685121,0.08496732026143788,0.05882352941176472,0.05649852662866066,-0.07462765263724078,0.4809688581314879,-0.8783019336756189,1.0,p > 0.05
8,p_e_1_mean,0.54766845703125,0.5051903114186851,-0.17647058823529416,-0.05882352941176472,-0.06455726086668852,-0.15499589393888466,0.49480968858131485,0.8845560263752886,1.0,p > 0.05
9,p_e_1_std,0.2841644287109375,0.40484429065743943,0.30718954248366015,0.17647058823529416,0.4512160263663253,-0.2698076672269474,0.5951557093425606,-0.6286967281255282,0.9084663391113281,p > 0.05
10,p_e_2_mean,0.926513671875,0.5121107266435987,-0.032679738562091554,0.05882352941176472,-0.0847747402815242,-0.02870294332201568,0.48788927335640137,0.5874596935890507,1.0,p > 0.05
11,p_e_2_std,0.8175811767578125,0.5051903114186851,0.07189542483660127,0.05882352941176472,0.06546453170477541,-0.0631464753084345,0.49480968858131485,-0.6305206505119552,1.0,p > 0.05
12,p_e_4_mean,0.1454315185546875,0.5570934256055363,-0.411764705882353,-0.4117647058823529,-0.1761889439004843,-0.3616570858573976,0.4429065743944637,0.5090927362932536,0.7139365456321023,p > 0.05
13,p_e_4_std,0.7466583251953125,0.4671280276816609,0.09803921568627455,0.05882352941176472,0.1757313567095966,-0.08610882996604705,0.532871972318339,-0.5843731360755178,1.0,p > 0.05
14,p_e_8_mean,0.3778228759765625,0.5432525951557092,-0.2549019607843137,-0.17647058823529416,-0.175793143378409,-0.2238829579117223,0.45674740484429066,0.5510105091968688,0.9084663391113281,p > 0.05
15,p_e_8_std,0.51708984375,0.4463667820069204,0.1895424836601307,-0.05882352941176472,0.22503007331419275,-0.16647707126769093,0.5536332179930796,-0.5986311103345376,1.0,p > 0.05
16,k_mean,0.4037628173828125,0.5224913494809689,-0.24183006535947715,-0.05882352941176472,-0.1528720871350277,-0.21240178058291603,0.47750865051903113,0.633506719661913,0.9084663391113281,p > 0.05
17,k_std,0.2841644287109375,0.4117647058823529,0.30718954248366015,0.2941176470588236,0.35124721572161016,-0.2698076672269474,0.5882352941176471,-0.6535908146121612,0.9084663391113281,p > 0.05
18,se_mean,0.02667236328125,0.5674740484429066,-0.607843137254902,-0.4117647058823529,-0.312240991303267,-0.5338747457894917,0.43252595155709345,0.5971750409173693,0.360076904296875,p < 0.05 uncorrected
19,se_std,0.644134521484375,0.4359861591695502,0.13725490196078427,0.05882352941176472,0.13784744954076944,-0.12055236195246585,0.5640138408304498,-0.9494385035294244,1.0,p > 0.05
20,msf_mean,0.044769287109375,0.5778546712802768,-0.5555555555555556,-0.2941176470588235,-0.33213848115320915,-0.4879500364742666,0.42214532871972316,0.6785957298651923,0.402923583984375,p < 0.05 uncorrected
21,msf_std,0.963226318359375,0.4740484429065744,0.019607843137254888,0.05882352941176472,-0.06592328132633964,-0.017221765993209407,0.5259515570934256,-0.9270013968258655,1.0,p > 0.05
22,sef90_mean,0.10888671875,0.546712802768166,-0.4509803921568627,-0.17647058823529416,-0.21076333693942242,-0.3961006178438164,0.4532871972318339,0.7486890555542354,0.6533203125,p > 0.05
23,sef90_std,0.8899688720703125,0.4878892733564014,0.04575163398692811,0.05882352941176472,0.028636779410447587,-0.04018412065082195,0.5121107266435986,0.6229418819314017,1.0,p > 0.05
24,sef95_mean,0.190093994140625,0.5536332179930796,-0.37254901960784315,-0.4117647058823529,-0.15771235918224275,-0.3272135538709787,0.4463667820069204,0.594097137305658,0.7896212064302885,p > 0.05
25,sef95_std,0.8175811767578125,0.4429065743944637,0.07189542483660127,0.05882352941176472,0.04188116059076639,-0.0631464753084345,0.5570934256055363,-0.6891472413048986,1.0,p > 0.05
26,b_mean,0.677703857421875,0.5121107266435986,-0.12418300653594772,-0.05882352941176472,-0.09133611625763616,-0.10907118462365958,0.48788927335640137,0.31757099538777384,1.0,p > 0.05
27,b_std,0.963226318359375,0.49826989619377166,0.019607843137254888,-0.17647058823529416,0.17343897617328793,-0.017221765993209407,0.5017301038062284,-0.5607414714748377,1.0,p > 0.05
28,b_n_mean,0.02667236328125,0.5778546712802768,-0.607843137254902,-0.4117647058823529,-0.36071191890475,-0.5338747457894917,0.42214532871972316,0.5939388300644635,0.360076904296875,p < 0.05 uncorrected
29,b_n_std,0.8536376953125,0.546712802768166,-0.05882352941176472,-0.05882352941176472,-0.19423466585260823,-0.051665297979628225,0.4532871972318339,0.661702375143248,1.0,p > 0.05
30,g_mean,1.0,0.5224913494809689,0.006535947712418277,-0.17647058823529416,-0.09623463830771146,-0.005740588664403136,0.47750865051903113,0.5831195326069736,1.0,p > 0.05
31,g_std,0.677703857421875,0.46366782006920415,0.12418300653594772,-0.05882352941176472,0.03817636522872637,-0.10907118462365958,0.5363321799307958,-0.49802366921884184,1.0,p > 0.05
32,g_n_mean,0.352874755859375,0.5570934256055363,-0.2679738562091503,-0.2941176470588235,-0.20359773490607827,-0.23536413524052857,0.4429065743944637,0.6497552733276307,0.9084663391113281,p > 0.05
33,g_n_std,0.677703857421875,0.43598615916955025,0.12418300653594772,0.17647058823529416,-0.07311571817578152,-0.10907118462365958,0.5640138408304498,0.8319038882676018,1.0,p > 0.05
34,t_mean,0.0149993896484375,0.39792387543252594,0.6601307189542485,0.6470588235294117,0.3065456751261782,-0.5797994551047168,0.6020761245674741,-0.7482689046730955,0.360076904296875,p < 0.05 uncorrected
35,t_std,1.0,0.46020761245674746,0.006535947712418277,0.05882352941176472,0.14175150664430783,-0.005740588664403136,0.5397923875432526,-0.5755731174318494,1.0,p > 0.05
36,t_n_mean,0.02667236328125,0.35986159169550175,0.607843137254902,0.41176470588235303,0.4845125955737493,-0.5338747457894917,0.6401384083044983,-0.7466879192051544,0.360076904296875,p < 0.05 uncorrected
37,t_n_std,0.1454315185546875,0.3391003460207612,0.411764705882353,0.2941176470588236,0.4615050480967871,-0.3616570858573976,0.6608996539792388,-0.9498788655046144,0.7139365456321023,p > 0.05
38,d_mean,0.2633209228515625,0.4290657439446367,0.3202614379084967,0.41176470588235303,0.23083367361344204,-0.28128884455575365,0.5709342560553633,-0.7874681329563299,0.9084663391113281,p > 0.05
39,d_std,0.4873809814453125,0.5467128027681661,-0.20261437908496727,-0.05882352941176472,-0.3202683045600319,-0.17795824859649723,0.4532871972318339,0.5562525915666077,1.0,p > 0.05
40,d_n_mean,0.6112213134765625,0.4636678200692041,0.15032679738562088,0.17647058823529416,0.2082100481620702,-0.13203353928127212,0.5363321799307958,-0.8514412242791796,1.0,p > 0.05
41,d_n_std,0.963226318359375,0.5224913494809689,-0.019607843137254888,-0.17647058823529416,-0.0069604374799781665,-0.017221765993209407,0.47750865051903113,0.6183436732148313,1.0,p > 0.05
42,a_n_mean,0.8175811767578125,0.5155709342560554,0.07189542483660127,0.17647058823529416,0.008463917540559885,-0.0631464753084345,0.4844290657439446,-0.41030074317883697,1.0,p > 0.05
43,a_n_std,0.4037628173828125,0.47750865051903113,0.24183006535947715,0.05882352941176472,0.20716141983177697,-0.21240178058291603,0.5224913494809689,-0.7739605527865475,0.9084663391113281,p > 0.05
44,a_mean,0.8175811767578125,0.532871972318339,0.07189542483660127,-0.05882352941176472,0.042337987201554426,-0.0631464753084345,0.4671280276816609,-0.5981986696600876,1.0,p > 0.05
45,a_std,0.7466583251953125,0.49826989619377166,-0.09803921568627455,-0.17647058823529416,-0.022263352237040256,-0.08610882996604705,0.5017301038062284,0.7278840257912431,1.0,p > 0.05
46,CNV_mean,1.0,0.5086505190311419,-0.006535947712418277,-0.05882352941176472,-0.1368689259738299,-0.005740588664403136,0.4913494809688581,0.6062932852115965,1.0,p > 0.05
47,CNV_std,0.3778228759765625,0.5155709342560554,-0.2549019607843137,-0.17647058823529416,-0.22487472692039745,-0.2238829579117223,0.4844290657439446,0.5872980971469023,0.9084663391113281,p > 0.05
48,P1_mean,0.7819061279296875,0.4463667820069204,0.08496732026143788,0.17647058823529416,0.059596795403961976,-0.07462765263724078,0.5536332179930796,-0.425058900046492,1.0,p > 0.05
49,P1_std,0.17425537109375,0.6228373702422145,-0.3856209150326797,-0.2941176470588235,-0.4834620448973152,-0.33869473119978505,0.3771626297577855,0.7743630549024227,0.784149169921875,p > 0.05
50,P3a_mean,0.328948974609375,0.5467128027681661,-0.2810457516339869,-0.17647058823529416,-0.24905523918479436,-0.24684531256933484,0.4532871972318339,0.8861715384223134,0.9084663391113281,p > 0.05
51,P3a_std,0.7466583251953125,0.4705882352941177,-0.09803921568627455,0.05882352941176472,-0.14836168623993987,-0.08610882996604705,0.5294117647058824,0.6160279154222814,1.0,p > 0.05
52,P3b_mean,0.3778228759765625,0.4463667820069205,0.2549019607843137,0.2941176470588236,0.2502963515967586,-0.2238829579117223,0.5536332179930796,-0.6794674946187651,0.9084663391113281,p > 0.05
53,P3b_std,0.0347900390625,0.7058823529411765,-0.5816993464052287,-0.5294117647058824,-0.6761355382116414,-0.5109123911318791,0.29411764705882354,0.6696512789610957,0.375732421875,p < 0.05 uncorrected
