,min,max,mean,std
wSMI_1_mean,0.0,0.03211117,0.011269454000000002,0.011569530453046052
wSMI_1_std,0.015625,0.16666667,0.052431901,0.04567555310908413
wSMI_2_mean,0.0,0.01591231,0.002007909,0.005057960497865276
wSMI_2_std,0.0,0.00400317,0.0007823960000000001,0.001649995665477135
wSMI_4_mean,0.0,0.01834198,0.005759172999999999,0.007461854212791661
wSMI_4_std,0.0,0.05862069,0.024729534000000004,0.020517583133337774
wSMI_8_mean,0.0,0.33173077,0.067905453,0.09502685711672793
wSMI_8_std,0.0196638,0.08173077,0.052024289,0.017302703740398783
p_e_1_mean,0.0,0.02777778,0.005995868999999999,0.01061372585408625
p_e_1_std,0.0,0.02083333,0.007726898,0.008832021369658627
p_e_2_mean,0.0,0.02777778,0.0066118209999999995,0.010928909072663352
p_e_2_std,0.01301469,0.08333333,0.050517448,0.020835696244085957
p_e_4_mean,0.0,0.0268081,0.006142857999999999,0.010302378439648239
p_e_4_std,0.0,0.01239263,0.001716613,0.004040021708539172
p_e_8_mean,0.03729433,0.12565789,0.07576955799999999,0.02678832294396148
p_e_8_std,0.0,0.07230577,0.011998820000000002,0.022118271335929487
k_mean,0.0,0.01823785,0.003528492,0.007444007360635504
k_std,0.0,0.05071709,0.015702907,0.01833004671524571
se_mean,0.0,0.03571429,0.010182597000000002,0.013946566062823136
se_std,0.0,0.02083333,0.004187884,0.007395092209813809
msf_mean,0.0,0.03509103,0.01285009,0.014125977672798438
msf_std,0.0,0.03571429,0.015475023000000001,0.014487036917515106
sef90_mean,0.0,0.01180721,0.001180721,0.0037337676411916686
sef90_std,0.0,0.00757576,0.001336098,0.002848183268330105
sef95_mean,0.0,0.015625,0.002772989,0.005904558568229673
sef95_std,0.0,0.02777778,0.009333081,0.011282079580072943
b_mean,0.02631579,0.14722378,0.06215461600000001,0.03445856615194422
b_std,0.0,0.0703125,0.024171752,0.024055130827605988
b_n_mean,0.0,0.10028736,0.030272706,0.03311840254529101
b_n_std,0.0,0.03571429,0.005607286,0.012362871474212346
g_mean,0.0,0.06315789,0.035038831,0.024454484899535958
g_std,0.0,0.07083333,0.029442395,0.022948612493821085
g_n_mean,0.0,0.02540433,0.010351471000000001,0.010525722356472422
g_n_std,0.01567908,0.0625,0.038958783000000004,0.012659381451993135
t_mean,0.0,0.02631579,0.014122244,0.0069238140663272505
t_std,0.0,0.06417625,0.017152036000000002,0.023495176394505227
t_n_mean,0.0,0.0625,0.013858002999999999,0.023958240274186363
t_n_std,0.0,0.0625,0.019153451000000002,0.018191748749963207
d_mean,0.0,0.015625,0.0034317939999999997,0.0057980820457500335
d_std,0.0,0.03147129,0.005584432,0.010452784411818275
d_n_mean,0.0,0.0703125,0.031763737,0.0234664405025276
d_n_std,0.0,0.01315789,0.006560893,0.003942507783764739
a_n_mean,0.00694444,0.078125,0.037658257,0.023923881544075508
a_n_std,0.0,0.03571429,0.008449379000000002,0.014319513979949374
a_mean,0.01388889,0.03846154,0.023819299,0.008011723839999107
a_std,0.0,0.02945402,0.011697090000000002,0.008207398363312891
CNV_mean,0.00675676,0.07565789,0.034562129999999996,0.019328088912673184
CNV_std,0.0,0.02777778,0.009452548,0.01034165322804155
P1_mean,0.0,0.10154087,0.049886273,0.03057209092224005
P1_std,0.0,0.01111835,0.0024323770000000003,0.0038441409246079356
P3a_mean,0.0,0.01094423,0.001094423,0.003460869403674458
P3a_std,0.0,0.00862069,0.0034495240000000003,0.003774918898420056
P3b_mean,0.0,0.01088665,0.004719375,0.004243844779670775
P3b_std,0.0,0.03125,0.005215023,0.010416688147431772
