,Marker,Log-Likelihood,AIC,Random Effects Var,Estimate,P_val,Z_stat,AUC_mean,AUC_std,AUC_sem,AUC_range,p_corrected,significant
0,wSMI_1_mean,-292.32706906909135,592.6541381381827,"segment        2.284306e-07
participant    6.915611e-01
Name: Var, dtype: float64",-0.7082375073450085,0.8126199174091114,-0.2370475298032932,0.6832980972515856,0.0805656734750727,0.03603006450866285,0.2239746300211416,0.9993030081606337,p > 0.05
1,wSMI_1_std,-289.0821816433627,586.1643632867253,"segment        0.000000
participant    0.775633
Name: Var, dtype: float64",-0.48150123072552814,0.13156078434202323,-1.5079755517709001,0.7085200845665962,0.057330704400456726,0.025639070447473513,0.16902748414376312,0.9993030081606337,p > 0.05
2,wSMI_2_mean,-292.3462570528906,592.6925141057812,"segment        1.245527e-10
participant    6.962774e-01
Name: Var, dtype: float64",-0.14302824282501747,0.9632794556297584,-0.04603863579739747,0.6871479915433405,0.06808343440171216,0.030447837492775222,0.192632135306554,0.9993030081606337,p > 0.05
3,wSMI_2_std,-291.99440231798565,591.9888046359713,"segment        0.000000
participant    0.701806
Name: Var, dtype: float64",-0.16572771774979922,0.5665530899422151,-0.5731352966735317,0.6958710359408034,0.06792899274251737,0.030378769083071744,0.18901691331923876,0.9993030081606337,p > 0.05
4,wSMI_4_mean,-291.99035348289624,591.9807069657925,"segment        7.385670e-10
participant    6.944288e-01
Name: Var, dtype: float64",2.114841301691281,0.3645807416010958,0.9066711169353513,0.6914376321353066,0.057834355685047335,0.02586431014933345,0.15350951374207178,0.9993030081606337,p > 0.05
5,wSMI_4_std,-291.5245924877769,591.0491849755538,"segment        0.000000
participant    0.683008
Name: Var, dtype: float64",0.1987257982146458,0.48993511847982574,0.6904120222918382,0.6936342494714587,0.0732769630442019,0.032770454110315074,0.21647991543340384,0.9993030081606337,p > 0.05
6,wSMI_8_mean,-292.30607018525103,592.6121403705021,"segment        6.511322e-09
participant    6.973001e-01
Name: Var, dtype: float64",-0.7909289905270165,0.7704447407498621,-0.291793205191441,0.6926236786469345,0.06982475075932577,0.031226577841966495,0.19874207188160664,0.9993030081606337,p > 0.05
7,wSMI_8_std,-292.15524896577773,592.3104979315555,"segment        5.048416e-10
participant    7.016488e-01
Name: Var, dtype: float64",-0.11632230303364109,0.6773799816290675,-0.41604102758165273,0.6950359408033826,0.07624114881769804,0.034096078287810104,0.2131923890063424,0.9993030081606337,p > 0.05
8,p_e_1_mean,-291.135714565917,590.271429131834,"segment        0.000000
participant    0.696545
Name: Var, dtype: float64",-8.828656308025163,0.12158519182274007,-1.5481541314781626,0.7093403805496828,0.07153431387636441,0.03199111771027146,0.20399577167019023,0.9993030081606337,p > 0.05
9,p_e_1_std,-292.34136199022583,592.6827239804517,"segment        4.101734e-08
participant    6.967543e-01
Name: Var, dtype: float64",0.008433549235096444,0.9762880748281955,0.029722866899495666,0.6778266384778012,0.08446424927227213,0.03777356060825752,0.2344186046511627,0.9993030081606337,p > 0.05
10,p_e_2_mean,-289.81112131381093,587.6222426276219,"segment        2.656266e-09
participant    7.636536e-01
Name: Var, dtype: float64",-14.16148710971745,0.028709862344957475,-2.1874476299871817,0.7099048625792812,0.0721564667862997,0.03226935295007438,0.20349894291754755,0.9993030081606337,p < 0.05 uncorrected
11,p_e_2_std,-292.34506419595454,592.6901283919091,"segment        0.00000
participant    0.69797
Name: Var, dtype: float64",-0.023123900539851083,0.9350520558411028,-0.081490278448247,0.6870338266384778,0.08083566717915298,0.03615080936382695,0.21366807610993654,0.9993030081606337,p > 0.05
12,p_e_4_mean,-291.6444493464086,591.2888986928172,"segment        2.646519e-10
participant    6.930316e-01
Name: Var, dtype: float64",10.600363984733196,0.23721149601848587,1.1819853949426904,0.6976596194503172,0.06640418361416899,0.029696853710331903,0.18426004228329806,0.9993030081606337,p > 0.05
