,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_aucs,feature_importances
1111,1111,0.7703373015873016,2024-01-09 10:57:18.145365,2024-01-09 10:57:26.446596,0 days 00:00:08.301231,False,absolute_error,0.019187261458143385,36,0.24466069710008076,5,0.009490372393267202,3,18,142,COMPLETE,"[0.7916666666666666, 0.6984126984126984, 0.75, 0.8412698412698412]","[0.         0.         0.00268199 0.00786116 0.00300817 0.00042295
 0.01572043 0.00495795 0.00476091 0.00525656 0.00425784 0.02121993
 0.0023367  0.         0.0099847  0.00052742 0.00221463 0.00562577
 0.00478457 0.01123863 0.0263096  0.09318058 0.00917734 0.01165868
 0.01144544 0.00475505 0.00909521 0.01111682 0.00053368 0.00915539
 0.0352697  0.00451045 0.04642351 0.00800055 0.00459653 0.00240527
 0.00275488 0.01065795 0.01271242 0.         0.16803503 0.02568011
 0.00628352 0.00741242 0.00765179 0.06250581 0.0454089  0.12255568
 0.01929568 0.07317128 0.         0.00723057 0.02217336 0.01197645]"
593,593,0.7688492063492063,2024-01-09 04:39:04.091074,2024-01-09 04:39:09.914666,0 days 00:00:05.823592,False,absolute_error,0.019560704847758136,39,0.24895706364886888,9,0.013499660177032049,3,18,81,COMPLETE,,
408,408,0.7658730158730158,2024-01-09 04:13:01.582261,2024-01-09 04:13:09.181530,0 days 00:00:07.599269,False,absolute_error,0.006814771380971722,38,0.2589735867259677,24,0.011642352418520735,3,18,73,COMPLETE,,
337,337,0.7653769841269842,2024-01-09 04:02:38.711931,2024-01-09 04:02:44.676888,0 days 00:00:05.964957,False,absolute_error,0.01930529340174652,39,0.20513598983995007,14,0.008876246077668966,1,19,81,COMPLETE,,
883,883,0.7643849206349206,2024-01-09 05:23:58.111117,2024-01-09 05:24:12.643401,0 days 00:00:14.532284,False,absolute_error,0.0026794019016049427,34,0.22686002573046235,23,0.0057817450193718475,2,19,72,COMPLETE,,
433,433,0.7628968253968254,2024-01-09 04:15:56.209136,2024-01-09 04:16:05.869473,0 days 00:00:09.660337,False,absolute_error,0.006546036930080519,39,0.15475532923147162,5,0.009421043322488167,3,17,165,COMPLETE,,
806,806,0.7624007936507937,2024-01-09 05:10:35.507157,2024-01-09 05:10:43.993931,0 days 00:00:08.486774,False,absolute_error,0.0063723120087144786,27,0.23056765960597903,20,0.0019364126710071975,2,17,85,COMPLETE,,
1941,1941,0.7619047619047619,2024-01-09 13:13:17.296616,2024-01-09 13:13:23.758618,0 days 00:00:06.462002,False,absolute_error,0.017894072438712934,41,0.2503244526124924,27,0.0018603467539775025,2,18,85,COMPLETE,"[0.7916666666666666, 0.6825396825396826, 0.763888888888889, 0.8095238095238095]","[0.00494237 0.00168331 0.00514494 0.00611073 0.00531585 0.0006704
 0.00417733 0.0018671  0.0026351  0.00386135 0.00434063 0.00753405
 0.00338855 0.00114076 0.02245685 0.         0.00218439 0.00506038
 0.00526252 0.01540134 0.01451313 0.08266687 0.00673544 0.00877543
 0.00656429 0.00436336 0.01078417 0.01161053 0.         0.01211682
 0.05461755 0.00067135 0.04668106 0.00729083 0.00254006 0.00180026
 0.00168285 0.00412323 0.00366454 0.         0.16388998 0.03265373
 0.00840099 0.00862562 0.01210395 0.0754084  0.0431712  0.12501497
 0.01543594 0.09320772 0.         0.00344035 0.01515908 0.01910837]"
1036,1036,0.7584325396825397,2024-01-09 10:43:52.879407,2024-01-09 10:44:01.500499,0 days 00:00:08.621092,False,absolute_error,0.008715335520337326,39,0.22229071707286982,10,0.011424114017477118,2,19,87,COMPLETE,"[0.7916666666666666, 0.6984126984126984, 0.75, 0.7936507936507936]","[0.         0.         0.0043601  0.00344663 0.00468064 0.00244355
 0.01066112 0.00371138 0.00698802 0.00218555 0.         0.0086598
 0.0050078  0.         0.01563325 0.00066723 0.0028988  0.0026454
 0.0093196  0.01714037 0.0133922  0.1042426  0.00668667 0.00726983
 0.01097852 0.01973673 0.00636049 0.02116336 0.00282699 0.01515431
 0.03615035 0.         0.05275728 0.00378827 0.00894404 0.00154794
 0.003141   0.01456994 0.00649261 0.00347616 0.13528623 0.05324852
 0.00356325 0.00153706 0.01245915 0.08371095 0.04838989 0.10208546
 0.01662897 0.08382099 0.         0.00650055 0.00943569 0.00420476]"
149,149,0.7584325396825397,2024-01-09 03:36:04.188741,2024-01-09 03:36:12.277289,0 days 00:00:08.088548,False,absolute_error,0.06046820717973472,20,0.23894313569745457,13,0.012328969700902758,3,19,174,COMPLETE,,
