,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
855,855,0.567002442002442,2024-01-04 14:26:22.760326,2024-01-04 14:26:24.888251,0 days 00:00:02.127925,10,0.48414329882316876,9,25,COMPLETE
329,329,0.567002442002442,2024-01-04 14:06:48.765626,2024-01-04 14:06:50.876059,0 days 00:00:02.110433,20,0.4949972034128966,9,25,COMPLETE
265,265,0.5669229497354498,2024-01-04 14:04:29.035280,2024-01-04 14:04:31.138978,0 days 00:00:02.103698,10,0.47148342134597254,5,25,COMPLETE
303,303,0.5669165903540904,2024-01-04 14:05:51.861431,2024-01-04 14:05:53.998486,0 days 00:00:02.137055,14,0.8586383890727718,9,25,COMPLETE
662,662,0.5668498168498168,2024-01-04 14:19:15.505220,2024-01-04 14:19:17.528643,0 days 00:00:02.023423,22,0.48377689903674576,8,21,COMPLETE
460,460,0.5665954415954416,2024-01-04 14:11:44.817103,2024-01-04 14:11:47.199778,0 days 00:00:02.382675,11,0.49451454927260147,9,35,COMPLETE
153,153,0.5665064102564104,2024-01-04 14:00:11.215359,2024-01-04 14:00:13.724771,0 days 00:00:02.509412,6,0.547348927370704,7,35,COMPLETE
263,263,0.5663887617012617,2024-01-04 14:04:24.620559,2024-01-04 14:04:26.746753,0 days 00:00:02.126194,11,0.46519286721253233,5,25,COMPLETE
946,946,0.5663506054131054,2024-01-04 14:29:47.558441,2024-01-04 14:29:49.736771,0 days 00:00:02.178330,22,0.5008320245497991,7,23,COMPLETE
554,554,0.5663219881969882,2024-01-04 14:15:16.913777,2024-01-04 14:15:19.223349,0 days 00:00:02.309572,9,0.44867833098783627,8,28,COMPLETE
141,141,0.5662297771672772,2024-01-04 13:59:41.484678,2024-01-04 13:59:44.036806,0 days 00:00:02.552128,7,0.5169434752397519,8,37,COMPLETE
149,149,0.566108948921449,2024-01-04 14:00:01.438498,2024-01-04 14:00:03.883574,0 days 00:00:02.445076,8,0.5341766609528875,7,36,COMPLETE
155,155,0.5660898707773708,2024-01-04 14:00:16.165168,2024-01-04 14:00:18.535928,0 days 00:00:02.370760,6,0.5445211177876386,7,34,COMPLETE
636,636,0.5658704721204721,2024-01-04 14:18:17.385544,2024-01-04 14:18:19.396036,0 days 00:00:02.010492,5,0.48584135184351174,8,20,COMPLETE
824,824,0.5658259564509563,2024-01-04 14:25:12.480574,2024-01-04 14:25:14.725869,0 days 00:00:02.245295,18,0.45870282051729844,8,28,COMPLETE
185,185,0.565800518925519,2024-01-04 14:01:29.283213,2024-01-04 14:01:31.747058,0 days 00:00:02.463845,9,0.5136059697843766,7,36,COMPLETE
487,487,0.5656574328449329,2024-01-04 14:12:46.039248,2024-01-04 14:12:48.174300,0 days 00:00:02.135052,18,0.495982764400635,7,25,COMPLETE
320,320,0.5653108465608465,2024-01-04 14:06:29.050888,2024-01-04 14:06:31.284638,0 days 00:00:02.233750,17,0.7277615372122611,8,28,COMPLETE
455,455,0.5652663308913308,2024-01-04 14:11:32.495973,2024-01-04 14:11:34.634867,0 days 00:00:02.138894,10,0.48918389015710345,9,25,COMPLETE
443,443,0.565142322954823,2024-01-04 14:11:05.941181,2024-01-04 14:11:08.198928,0 days 00:00:02.257747,11,0.49705759054273124,9,30,COMPLETE
988,988,0.565142322954823,2024-01-04 14:31:23.204793,2024-01-04 14:31:25.461570,0 days 00:00:02.256777,8,0.49580038999970577,9,30,COMPLETE
174,174,0.5651073463573464,2024-01-04 14:01:02.371742,2024-01-04 14:01:04.748935,0 days 00:00:02.377193,6,0.5034631336485598,7,35,COMPLETE
347,347,0.5649451821326821,2024-01-04 14:07:28.609259,2024-01-04 14:07:30.680043,0 days 00:00:02.070784,20,0.6161792173273055,7,23,COMPLETE
561,561,0.564843432030932,2024-01-04 14:15:31.704703,2024-01-04 14:15:33.964389,0 days 00:00:02.259686,12,0.3739351422935936,8,30,COMPLETE
909,909,0.5647162444037443,2024-01-04 14:28:26.620929,2024-01-04 14:28:28.946764,0 days 00:00:02.325835,8,0.48784684461544364,8,32,COMPLETE
856,856,0.5645922364672364,2024-01-04 14:26:24.889810,2024-01-04 14:26:27.246547,0 days 00:00:02.356737,16,0.8076153797535797,8,32,COMPLETE
669,669,0.563969017094017,2024-01-04 14:19:31.159825,2024-01-04 14:19:33.293555,0 days 00:00:02.133730,14,0.6091785710052283,8,25,COMPLETE
896,896,0.5638354700854701,2024-01-04 14:27:57.323233,2024-01-04 14:27:59.521410,0 days 00:00:02.198177,21,0.8814533878946795,7,25,COMPLETE
