,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state,fold_aucs,feature_importances
678,678,0.5913811304436304,2024-01-09 02:20:41.582958,2024-01-09 02:20:50.294074,0 days 00:00:08.711116,True,squared_error,0.009982971580576207,42,0.08772675977772264,18,0.003682355345031621,20,18,107,COMPLETE,"[0.6428571428571428, 0.45299145299145294, 0.7256944444444444, 0.5439814814814815]","[0.01575008 0.03300541 0.02166691 0.00674171 0.00999189 0.0155768
 0.01756599 0.02001629 0.0033133  0.05724453 0.01860204 0.01826856
 0.01649431 0.02053805 0.01486655 0.01144697 0.01199237 0.05826297
 0.00571534 0.02436521 0.01490686 0.03124702 0.01237666 0.01311215
 0.02096906 0.01140172 0.00144616 0.03146711 0.01333547 0.0074892
 0.02031863 0.00900172 0.02649298 0.00944618 0.03228515 0.02050713
 0.05216812 0.03655301 0.00996583 0.01611901 0.00947344 0.01256803
 0.00613313 0.01587459 0.021617   0.01446559 0.01027064 0.00644331
 0.00914106 0.03545314 0.01395041 0.0140105  0.01640297 0.02216176]"
262,262,0.5879057285307285,2024-01-09 01:08:51.776687,2024-01-09 01:09:00.403407,0 days 00:00:08.626720,True,squared_error,0.012277471804996044,37,0.09165471377632017,23,0.002395117837275535,20,19,105,COMPLETE,"[0.6349206349206349, 0.4551282051282052, 0.7152777777777778, 0.5462962962962963]","[0.01600341 0.03406741 0.02202396 0.00690378 0.00930127 0.01587693
 0.01729043 0.02029907 0.00331968 0.05640213 0.01899808 0.01141379
 0.0169716  0.02104591 0.01513087 0.0117092  0.01210437 0.05158133
 0.01169513 0.02488148 0.00813569 0.03423811 0.0127903  0.016123
 0.02146173 0.0116265  0.00146758 0.02715111 0.01359646 0.00760821
 0.02008585 0.00915904 0.02465984 0.00952388 0.03615472 0.02090829
 0.05064375 0.03726334 0.01204383 0.01644023 0.0095935  0.01278878
 0.00792461 0.01611261 0.02210906 0.01537694 0.01044236 0.00765151
 0.00613241 0.0361177  0.01422407 0.01421365 0.01664938 0.02256215]"
260,260,0.5878612128612128,2024-01-09 01:08:33.662628,2024-01-09 01:08:42.843003,0 days 00:00:09.180375,True,squared_error,0.010291336705777202,36,0.08352322020092534,24,0.0027929566045277656,19,19,105,COMPLETE,"[0.6765873015873016, 0.45726495726495725, 0.6875, 0.5300925925925926]","[0.01082234 0.03172469 0.02382264 0.00855827 0.00877913 0.01546392
 0.02409774 0.01743007 0.01166124 0.04230195 0.01538055 0.00864687
 0.02158865 0.01887595 0.01398594 0.00775949 0.00991653 0.0482264
 0.01590279 0.02536546 0.0125929  0.03200994 0.01013299 0.01493752
 0.01954336 0.0147645  0.00409591 0.02976448 0.01508845 0.00428554
 0.02240764 0.01514769 0.01404349 0.01104312 0.03265137 0.0184999
 0.04544079 0.03762543 0.01012527 0.03382467 0.00947366 0.01280665
 0.00665425 0.01463178 0.02392495 0.01821724 0.01187853 0.00496171
 0.00619671 0.04540014 0.01026387 0.01508366 0.02042724 0.02174403]"
438,438,0.5873143060643061,2024-01-09 01:36:42.373649,2024-01-09 01:36:58.444465,0 days 00:00:16.070816,True,friedman_mse,0.0024061532983064445,38,0.08499653771709124,20,0.012517521301942015,20,19,105,COMPLETE,"[0.6448412698412698, 0.4636752136752137, 0.6944444444444444, 0.5462962962962964]","[0.01025722 0.0352083  0.02670606 0.00645092 0.01372996 0.01042133
 0.01750929 0.011882   0.00983888 0.05073759 0.02428759 0.01409635
 0.01395619 0.01665799 0.01578791 0.01502675 0.01283376 0.05191956
 0.01630939 0.02107641 0.01247512 0.03837775 0.00967785 0.01622857
 0.02690393 0.0113561  0.00400116 0.02690525 0.01016557 0.00486448
 0.02145071 0.01686999 0.02655547 0.00999028 0.03221634 0.01405579
 0.04605624 0.03336056 0.01249929 0.02573248 0.00970916 0.00556658
 0.01050533 0.0134507  0.02450828 0.01565943 0.01069906 0.00814667
 0.00552082 0.03872674 0.0142162  0.00701744 0.01790047 0.02393669]"
852,852,0.585412851037851,2024-01-09 02:48:01.966118,2024-01-09 02:48:17.075756,0 days 00:00:15.109638,True,friedman_mse,0.002372510362975298,40,0.07497997760107193,85,0.08044592103141301,20,20,98,COMPLETE,"[0.6488095238095238, 0.4636752136752137, 0.6805555555555555, 0.548611111111111]","[0.00786086 0.03284437 0.02105405 0.00695172 0.00966324 0.0112256
 0.01883728 0.01271694 0.00402568 0.05449869 0.0216167  0.0151263
 0.01488544 0.01783772 0.01676798 0.01088509 0.01378797 0.05312956
 0.01757221 0.02257617 0.00642053 0.04118542 0.01035127 0.01743203
 0.02176332 0.01218371 0.00427106 0.02519172 0.01089823 0.00517476
 0.02310081 0.01809136 0.02840561 0.01076709 0.0346893  0.01511805
 0.04909132 0.03568693 0.01345305 0.02212085 0.01049246 0.00598725
 0.01120047 0.0144415  0.0229544  0.01675558 0.01144989 0.00867027
 0.         0.04141209 0.01521236 0.00747011 0.0191202  0.02557344]"
267,267,0.5837562321937322,2024-01-09 01:09:33.215878,2024-01-09 01:09:41.882467,0 days 00:00:08.666589,True,squared_error,0.010062809572069724,36,0.08810490949664558,22,0.002800027983003349,19,19,97,COMPLETE,"[0.6805555555555555, 0.43803418803418803, 0.6840277777777777, 0.5324074074074073]","[0.00848967 0.03349462 0.01832845 0.00725728 0.00955208 0.01680699
 0.02138284 0.01302154 0.00600348 0.04567533 0.01293321 0.01409551
 0.01888757 0.02032243 0.01512246 0.00547923 0.0110041  0.04968371
 0.0172979  0.02508139 0.00888073 0.03475297 0.01079    0.01611928
 0.02002099 0.01590478 0.0014499  0.02873263 0.01624688 0.00465364
 0.02459343 0.01634898 0.01487169 0.01209922 0.03548649 0.02004947
 0.04583956 0.03792317 0.0110265  0.03112469 0.0028698  0.01401785
 0.00910176 0.01898124 0.02608635 0.01974882 0.01288741 0.00533839
 0.         0.048961   0.01117138 0.0082887  0.0222754  0.02343714]"
114,114,0.5832252238502238,2024-01-09 00:44:03.482310,2024-01-09 00:44:13.342141,0 days 00:00:09.859831,True,squared_error,0.00720543709761455,40,0.08899715428741978,31,0.0033542732257402794,19,10,98,COMPLETE,"[0.6746031746031746, 0.4337606837606838, 0.6875, 0.537037037037037]","[0.00841564 0.03312288 0.01813609 0.00719205 0.00946235 0.01662924
 0.02120141 0.01287307 0.00594654 0.04522824 0.01278205 0.01701174
 0.01870393 0.02010799 0.01491599 0.00541404 0.01091705 0.05075369
 0.01711923 0.02481656 0.00686496 0.03309006 0.01066616 0.01405285
 0.01980517 0.01574105 0.0014433  0.03039096 0.01609066 0.00460245
 0.02441102 0.02336219 0.01464963 0.01235998 0.03516844 0.0206803
 0.05051244 0.03753373 0.01092067 0.03077145 0.01028666 0.00849499
 0.00705772 0.01878681 0.0210147  0.0195278  0.01275821 0.00527351
 0.         0.04846983 0.01105542 0.00819583 0.02205291 0.0231583 ]"
116,116,0.5821822853072853,2024-01-09 00:44:23.872489,2024-01-09 00:44:32.636692,0 days 00:00:08.764203,True,squared_error,0.00915933170778806,41,0.07776785357154586,36,0.004298544980013804,20,10,94,COMPLETE,"[0.6547619047619048, 0.44017094017094016, 0.6805555555555555, 0.5532407407407407]","[0.01468597 0.03945472 0.01547598 0.00747963 0.01130515 0.01734476
 0.01998651 0.01192103 0.0039832  0.05572285 0.0134954  0.01269992
 0.01556501 0.02308502 0.01579792 0.00304556 0.0140434  0.06191494
 0.00657386 0.03110495 0.00509548 0.03301625 0.01339791 0.01464975
 0.02267921 0.01328193 0.00153213 0.02895749 0.0153652  0.00876829
 0.02395649 0.01017096 0.02663799 0.00508029 0.0367512  0.02313046
 0.04425743 0.03677137 0.01460305 0.0131349  0.00302835 0.01432838
 0.00386956 0.01711855 0.02642477 0.01748776 0.01182102 0.00425677
 0.         0.04374716 0.01585445 0.01031681 0.01922341 0.02659948]"
220,220,0.581527269027269,2024-01-09 01:03:03.647823,2024-01-09 01:03:12.521260,0 days 00:00:08.873437,True,squared_error,0.00836702875406925,39,0.08769439051950405,8,0.003088991840732134,20,18,96,COMPLETE,"[0.6448412698412699, 0.4636752136752137, 0.673611111111111, 0.5439814814814815]","[0.01434735 0.03158947 0.01660907 0.00747255 0.01019955 0.01739701
 0.01955497 0.01611191 0.00373592 0.05500619 0.0132264  0.01246275
 0.01414407 0.02273989 0.01658404 0.00736683 0.01347103 0.06222042
 0.00642047 0.02715203 0.00880112 0.03493563 0.01362291 0.01759796
 0.01614283 0.01276532 0.0016227  0.02836834 0.01486893 0.00837153
 0.02289001 0.01001769 0.02686157 0.0106254  0.03607295 0.0228778
 0.04613949 0.0356827  0.01115447 0.01262968 0.00294515 0.01409267
 0.00679534 0.01771233 0.02414345 0.01713338 0.01149617 0.00899244
 0.         0.04263081 0.01550887 0.01567803 0.01835705 0.02465335]"
243,243,0.5813905423280423,2024-01-09 01:06:20.981912,2024-01-09 01:06:29.728718,0 days 00:00:08.746806,True,squared_error,0.01295481815536757,37,0.08787562434109933,25,0.004288505802479888,19,19,99,COMPLETE,"[0.6646825396825397, 0.4444444444444444, 0.6770833333333333, 0.5393518518518517]","[0.0083203  0.03218457 0.01470373 0.0071568  0.00935534 0.01642423
 0.02178328 0.01265281 0.01592302 0.04248892 0.01267778 0.01687315
 0.01912266 0.01997603 0.01468657 0.00537254 0.01072205 0.05060236
 0.01689843 0.02458091 0.00681891 0.03277077 0.01062752 0.01395476
 0.01962468 0.01560158 0.00142676 0.03086244 0.01596951 0.00455183
 0.02408377 0.02315332 0.01459076 0.01217827 0.03482513 0.0211962
 0.05011532 0.03716297 0.01077647 0.02903235 0.01017648 0.00837853
 0.00699894 0.01852059 0.02072132 0.01973582 0.0126002  0.00588767
 0.         0.04958453 0.01092197 0.00811376 0.02175816 0.02477323]"
