,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-100.47757753948395,206.9551550789679,1.557665444671157,,,,,,,,,0.6849628217589225,0.623,0.4989127384960718,0.045351835615793784,0.1984,0.4850041425020712,0.17675505710963144,0.401,0.0036231884057970807,0.005123962182511184,0.49968493265993275,[0.54043911 0.46741723 0.49323092 ... 0.50676908 0.45956089 0.46741723],0.3735332213474917,[0.41234505 0.24761905 0.33549784 ... 0.42225904 0.33262319 0.24761905],-0.0007590155142595732,"[ 0.02200449 -0.01365706 -0.0052155  ...  0.          0.00362319
 -0.01365706]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
1,wSMI_1_std,-98.83949873255207,203.67899746510415,0.552783812483923,,,,,,,,,0.12288244449936163,0.2342,0.5609217171717171,0.06347520208569857,0.0694,0.5388478447564936,0.019256722455726828,0.1438,0.06849017005316145,0.10798183763513435,0.4985143799102132,[0.57712542 0.508172   0.42287458 ... 0.56092172 0.508172   0.5243757 ],0.41434831817347456,[0.52204076 0.45065821 0.43278458 ... 0.49809865 0.46518812 0.35071691],-0.009384942066313146,"[ 0.16400899 -0.03515352 -0.13893918 ...  0.03009867 -0.02366054
  0.00038226]",0.99076660453162,p > 0.05,0.8572500000000001,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
2,wSMI_2_mean,-100.56005680752938,207.12011361505876,0.38837261556085706,,,,,,,,,0.9189348827720026,0.7528,0.48965347923681257,0.034434744761865504,0.8214,0.33745155038759694,0.24909721656289346,0.6714,-0.010265700483091833,0.022642914564314838,0.500110928731762,[0.53503788 0.46496212 0.46496212 ... 0.51883418 0.48965348 0.51034652],0.43436234497190546,[0.38003718 0.52023618 0.39955107 ... 0.40410363 0.44653984 0.33388068],0.013842115925244668,"[-0.02242931 -0.01204829  0.02028405 ...  0.00035965  0.00888202
  0.01991698]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8325818181818182,p > 0.05
3,wSMI_2_std,-100.51878545286128,207.03757090572256,-0.11575022406600033,,,,,,,,,0.7636059493359664,0.3872,0.5221661054994389,0.04852231011099281,0.9972,0.22298850574712645,0.2680700290859102,0.4136,0.021646352939103625,0.036132024927860454,0.5005309764309764,[0.53338945 0.54573513 0.50982043 ... 0.54573513 0.49017957 0.54573513],0.4322481265100374,[0.50587845 0.46257686 0.49876543 ... 0.46835017 0.39351125 0.40947132],-0.009569110977821827,"[ 0.08816812  0.02049854 -0.02365126 ...  0.01975922 -0.11534848
  0.06967628]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
4,wSMI_4_mean,-100.47018420526965,206.9403684105393,1.3778990781423999,,,,,,,,,0.6689129048075,1.0,0.3813131313131313,0.05544065252550539,0.8276,0.342936406316688,0.2572871412406123,0.6474,-0.009693053311793228,0.013708047454343427,0.500630303030303,[0.56818182 0.38131313 0.48737374 ... 0.43686869 0.43686869 0.43181818],0.4377044491481269,[0.45240379 0.36501696 0.48716509 ... 0.58161733 0.51734718 0.41416329],0.03499634557822329,"[ 0.17758178 -0.10715475  0.02220426 ...  0.03619424  0.07048774
 -0.04160685]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8325818181818182,p > 0.05
5,wSMI_4_std,-100.35141658933266,206.70283317866532,0.12275733113634055,,,,,,,,,0.6882405664956082,0.6294,0.4683992704826038,0.08742702716640571,0.8944,0.361247947454844,0.27167635313746846,0.2968,0.06000484104563375,0.11505298732434345,0.5006789421997755,[0.53160073 0.57165404 0.53160073 ... 0.44293631 0.44293631 0.46839927],0.4450870765167901,[0.39635701 0.38233398 0.58405797 ... 0.37878788 0.49028731 0.48574897],0.030547392939005453,[0.10555774 0.01780101 0.10686412 ... 0.0176732  0.07614791 0.02620049],0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
6,wSMI_8_mean,-100.46664243546788,206.93328487093575,1.5122771150950824,,,,,,,,,0.6652947719193745,1.0,0.41919191919191917,0.05715647307075747,0.4282,0.4492753623188405,0.10110362094906446,0.7046,-0.039904554223901524,0.03362469568585457,0.5002058361391695,[0.41919192 0.41919192 0.58080808 ... 0.41919192 0.41919192 0.58080808],0.4328163779832732,[0.34184397 0.53310338 0.37460872 ... 0.41556748 0.257786   0.44660588],-0.005345599352029066,"[-0.06898078 -0.01549189 -0.01058474 ... -0.05953312 -0.11734836
 -0.01546985]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8455199999999999,p > 0.05
7,wSMI_8_std,-100.56504472092928,207.13008944185856,-0.02238067702349167,,,,,,,,,0.9438380443770157,1.0,0.4270307239057239,0.041852841494166515,0.985,0.286797385620915,0.2556721062142347,0.4138,0.056192660550458684,0.03226595587206321,0.4989547558922559,[0.43713173 0.48763678 0.50226221 ... 0.50226221 0.57296928 0.56286827],0.44427743657269075,[0.42343527 0.35036362 0.50198713 ... 0.50198713 0.55597906 0.49142906],0.01640389947089524,"[-0.05191415 -0.06944444  0.07574395 ...  0.07574395  0.09480266
  0.05963509]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
8,p_e_1_mean,-100.4040034403681,206.8080068807362,3.3285867756238297,,,,,,,,,0.5675932472319274,0.6212,0.47266063411896747,0.06281792324400327,0.2332,0.536999971347995,0.11219690625510549,0.438,0.03822990311599894,0.05406524747485515,0.5002508627946127,[0.55010171 0.46224397 0.52733937 ... 0.46031496 0.55010171 0.44989829],0.42118691787098034,[0.47212953 0.23126413 0.32035065 ... 0.57460317 0.49112979 0.41427066],0.036312244576375934,"[ 0.05646724 -0.01388889  0.03865321 ...  0.04424763  0.10126986
  0.00716958]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8325818181818182,p > 0.05
9,p_e_1_std,-100.11247351410869,206.22494702821737,0.20948446690831654,,,,,,,,,0.5190490010981454,0.4968,0.5284967732884399,0.09524796380509816,0.74,0.382051282051282,0.27666179506654176,0.1664,0.015016756896107228,0.08708288247985972,0.4994050575196408,[0.53186378 0.42636434 0.52849677 ... 0.57363566 0.53186378 0.42299733],0.4233939022591336,[0.44369912 0.48931893 0.50112721 ... 0.50032527 0.43722944 0.46583203],-0.03983993041802365,"[-0.07019973 -0.04469274 -0.07934652 ...  0.02174548  0.00753181
 -0.02451748]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9996,p > 0.05,0.8276,p > 0.05
