,Marker,Log-Likelihood,AIC,P_val,AUC_mean,AUC_std,AUC_sem,AUC_range,p_corrected,significant
0,wSMI_1_mean,-279.73455947333156,565.4691189466631,0.0,0.6951336963097399,0.08523058317154777,0.03811627554670609,0.197664851784634,0.0,p < 0.05 FDR corrected
1,wSMI_1_std,-277.8931336732063,561.7862673464126,0.0,0.7108820326678765,0.06647279806476437,0.02972753902548592,0.1683968542044768,0.0,p < 0.05 FDR corrected
2,wSMI_2_mean,-279.6026420159133,565.2052840318266,0.0,0.710367816091954,0.07603569799137702,0.03400419788507265,0.19658197217180884,0.0,p < 0.05 FDR corrected
3,wSMI_2_std,-279.7752407463991,565.5504814927982,0.0,0.6923702359346644,0.07513112690239476,0.033599661395983575,0.18656987295825778,0.0,p < 0.05 FDR corrected
4,wSMI_4_mean,-279.74928563569296,565.4985712713859,0.0,0.7047211131276466,0.07750777898563259,0.03466253251938083,0.21849969751966114,0.0,p < 0.05 FDR corrected
5,wSMI_4_std,-279.7921128007872,565.5842256015744,0.0,0.7012450090744101,0.07619268486017208,0.03407440454711277,0.18745916515426508,0.0,p < 0.05 FDR corrected
6,wSMI_8_mean,-279.7830655082089,565.5661310164178,0.0,0.6995837870538415,0.07489286198099107,0.03349310608380112,0.18804597701149417,0.0,p < 0.05 FDR corrected
7,wSMI_8_std,-279.50932224441215,565.0186444888243,0.0,0.698021778584392,0.07199586795568041,0.03219753096960004,0.16918935269207502,0.0,p < 0.05 FDR corrected
8,p_e_1_mean,-278.87877748884864,563.7575549776973,0.0,0.7112667876588022,0.06922443977695439,0.030958110609122076,0.17594676346037508,0.0,p < 0.05 FDR corrected
9,p_e_1_std,-279.79564237967327,565.5912847593465,0.0,0.6948554143980641,0.0758034326196675,0.0339003256530803,0.19098608590441624,0.0,p < 0.05 FDR corrected
10,p_e_2_mean,-277.3655917590313,560.7311835180626,0.0,0.7155849969751966,0.0608764099973099,0.027224758196026544,0.15611010284331517,0.0,p < 0.05 FDR corrected
11,p_e_2_std,-279.7021482130923,565.4042964261846,0.0,0.7001161524500906,0.07819514218409457,0.034969930686779366,0.18210526315789477,0.0,p < 0.05 FDR corrected
12,p_e_4_mean,-279.4210751618172,564.8421503236344,0.0,0.7044283121597096,0.07563437474174758,0.033824720671648136,0.1768421052631579,0.0,p < 0.05 FDR corrected
13,p_e_4_std,-279.5398234736271,565.0796469472542,0.0,0.6973962492437992,0.07690558967961213,0.0343932252746638,0.18635208711433782,0.0,p < 0.05 FDR corrected
14,p_e_8_mean,-278.01285831234986,562.0257166246997,0.0,0.70929703569268,0.06575213141082359,0.029405247100020137,0.1552692075015123,0.0,p < 0.05 FDR corrected
