,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
26,b_mean,-45.21070382874607,96.42140765749214,10.160211604226939,,,,,,,,,0.35369396205924947,0.0744,0.58375,0.15881888269346311,0.31,0.5638528138528138,0.13500838254394978,0.1948,0.023878205128205085,0.21805704086019514,0.4990205,[0.37125 0.44125 0.57125 ... 0.44125 0.49125 0.61625],0.5249172084859585,[0.54535742 0.55446637 0.57692308 ... 0.68812021 0.5502997  0.48803419],-0.031441983701485876,"[-0.20003882 -0.05492424 -0.00227273 ...  0.0817029   0.06666667
  0.04727307]",0.9006235746614957,p > 0.05,0.2560235294117647,p > 0.05,0.7491000000000001,p > 0.05,0.5907600000000001,p > 0.05
27,b_std,-45.536036021853775,97.07207204370755,0.2843749993233037,,,,,,,,,0.5337028590586641,0.0558,0.5936458333333334,0.120147433663696,0.1214,0.6468906093906094,0.08804588067667506,0.206,0.08132411067193676,0.12593845412491883,0.5004872916666667,[0.52302083 0.48135417 0.55197917 ... 0.52697917 0.48635417 0.56864583],0.58418282994783,[0.52172827 0.64618298 0.56474775 ... 0.56593823 0.53722944 0.64346348],0.026027022270502704,"[-0.00737179  0.00683275  0.05797882 ...  0.0405423   0.04417249
  0.17159111]",0.9006235746614957,p > 0.05,0.22294285714285714,p > 0.05,0.7491000000000001,p > 0.05,0.5907600000000001,p > 0.05
28,b_n_mean,-45.20162540992997,96.40325081985993,-0.8721894576368927,,,,,,,,,0.43455989547230567,0.1508,0.5779166666666666,0.18111489217252863,0.5582,0.5572309634809635,0.23259509940331224,0.196,0.043376998540042,0.2590545766703529,0.4990796666666667,[0.61375    0.48625    0.46958333 ... 0.45958333 0.53458333 0.56791667],0.5722289052614052,[0.64380619 0.53975677 0.5178953  ... 0.60665584 0.60408342 0.66986833],-0.02659961008077308,"[-0.05284091  0.00397121  0.01786304 ... -0.08990486 -0.08320186
  0.04500988]",0.9006235746614957,p > 0.05,0.37014545454545456,p > 0.05,0.7529860465116279,p > 0.05,0.5907600000000001,p > 0.05
29,b_n_std,-45.60227044765864,97.20454089531728,0.019377038847237443,,,,,,,,,0.9705793304151528,1.0,0.36687499999999995,0.09249788848941363,0.2508,0.5981351981351981,0.10255430129053052,0.7234,-0.11101398601398599,0.21050105386185697,0.49864775,[0.479375 0.464375 0.398125 ... 0.454375 0.508125 0.520625],0.5634015743978243,[0.5507326  0.41635101 0.4478355  ... 0.58269508 0.56735625 0.59343434],-0.07050701154855747,"[-0.08909091 -0.28313808 -0.14399837 ... -0.10444833 -0.07944833
  0.0181732 ]",0.9845838309832474,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
30,g_mean,-44.178184208669656,94.35636841733931,16.150229125554418,,,,,,,,,0.09473058361456205,0.0304,0.625625,0.1232345818055053,0.337,0.6120400432900432,0.23987108148892347,0.002,0.24793956043956045,0.26835242319505453,0.4996395833333334,[0.486875   0.419375   0.60479167 ... 0.46604167 0.44020833 0.46104167],0.5785974472749472,[0.67126623 0.53233433 0.56263736 ... 0.57813853 0.59959624 0.68320013],0.03563975315717378,"[ 0.12345216 -0.04534091  0.0548514  ...  0.04162773  0.02525449
  0.08163711]",0.9006235746614957,p > 0.05,0.19145454545454546,p < 0.05 uncorrected,0.7491000000000001,p > 0.05,0.10800000000000001,p < 0.05 uncorrected
31,g_std,-45.62505115959516,97.25010231919032,0.10081119030592542,,,,,,,,,0.8275774164323919,0.984,0.38541666666666663,0.14940565120205831,0.1046,0.6578754578754579,0.06201023262465686,0.6376,0.0,0.0,0.5009358333333334,[0.55208333 0.40625    0.61458333 ... 0.48541667 0.53125    0.50625   ],0.5992785557498058,[0.56666667 0.51401515 0.6931506  ... 0.51458333 0.67156177 0.62559732],0.02397468004639277,"[-0.00330048 -0.059689    0.23903195 ... -0.11117424  0.0960373
  0.09138043]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.7491000000000001,p > 0.05,0.9535153846153847,p > 0.05
32,g_n_mean,-44.41317181017875,94.8263436203575,-0.5765417174570688,,,,,,,,,0.2741672712861708,0.0154,0.6709375,0.14381667384932575,0.4926,0.5834686147186148,0.2291546475507246,0.008,0.20882223396758282,0.14198079848730297,0.4993805416666667,[0.50739583 0.30822917 0.48427083 ... 0.5759375  0.3790625  0.48739583],0.5866176544289045,[0.66490801 0.49814352 0.53571429 ... 0.44295635 0.57987845 0.52143065],0.031238378925344687,"[ 0.10636655 -0.08770243  0.01458333 ...  0.07318846 -0.02727273
 -0.02226162]",0.9006235746614957,p > 0.05,0.14502857142857145,p < 0.05 uncorrected,0.7491000000000001,p > 0.05,0.135,p < 0.05 uncorrected
33,g_n_std,-45.444559282859146,96.88911856571829,-0.06186287484800276,,,,,,,,,0.8747764508746809,0.7272,0.44604166666666667,0.24814301641839975,0.8988,0.5356171606171606,0.13859406803967678,0.8712,-0.09742239467849222,0.18242593982969005,0.50069325,[0.55395833 0.40645833 0.58770833 ... 0.36020833 0.52104167 0.58979167],0.600571003024753,[0.70004995 0.557616   0.61196581 ... 0.60309135 0.58022394 0.63157676],0.010397026986400937,"[ 0.10043605 -0.00202922 -0.09969512 ... -0.02050585 -0.11967988
  0.23107517]",0.9698408777254042,p > 0.05,1.0,p > 0.05,0.9285962264150943,p > 0.05,0.9535153846153847,p > 0.05
34,t_mean,-45.592745101067784,97.18549020213557,-2.8977995880211536,,,,,,,,,0.8006728185577465,0.5406,0.49697916666666664,0.17949966027320066,0.2234,0.6217282717282717,0.14480251262865526,0.2672,0.0633971291866029,0.11785180469463848,0.5006589166666666,[0.48447917 0.56135417 0.46552083 ... 0.50114583 0.45947917 0.50114583],0.567432839105339,[0.56650641 0.61225233 0.52434371 ... 0.55336885 0.49513889 0.49652778],0.016877349516610882,"[-0.07135695 -0.00018939  0.07212577 ... -0.09647147  0.00184709
  0.11980504]",0.9698408777254042,p > 0.05,0.8340685714285714,p > 0.05,0.7491000000000001,p > 0.05,0.65205,p > 0.05
35,t_std,-44.99067211583092,95.98134423166184,-0.3287744129416308,,,,,,,,,0.48896526502924864,0.4852,0.5075,0.2110933837586263,0.6644,0.5503968253968253,0.15279581423115243,0.4088,-0.019265829021926528,0.25190642513877265,0.5007553333333333,[0.57416667 0.50916667 0.50916667 ... 0.4825     0.40916667 0.47      ],0.5732390742590742,[0.61834207 0.56293498 0.61101399 ... 0.54724928 0.59329212 0.54450966],-0.038015085484559834,"[-0.02114046 -0.11435407 -0.02367424 ... -0.08802846 -0.05
 -0.12784091]",0.9006235746614957,p > 0.05,0.7706117647058823,p > 0.05,0.79728,p > 0.05,0.7469999999999999,p > 0.05
36,t_n_mean,-44.56720546263487,95.13441092526973,1.5887291377210369,,,,,,,,,0.13253819676461476,0.0578,0.6127083333333334,0.17223598455317052,0.2764,0.6187499999999999,0.13456298154916663,0.0786,0.10342590593549676,0.21442239286564094,0.5016856666666667,[0.56020833 0.454375   0.40604167 ... 0.373125   0.589375   0.591875  ],0.5831565635753135,[0.53733974 0.61850233 0.5863234  ... 0.62293956 0.55076868 0.57566045],0.007657719767004386,"[ 0.11893939 -0.03719668 -0.06970214 ... -0.04513123  0.02720685
 -0.01173419]",0.9006235746614957,p > 0.05,0.22294285714285714,p > 0.05,0.7491000000000001,p > 0.05,0.3858545454545455,p > 0.05
37,t_n_std,-44.97625145705635,95.9525029141127,-0.3762358568153343,,,,,,,,,0.45622736071953046,0.1304,0.5560416666666667,0.12941625751169492,0.5632,0.5742424242424242,0.10745476194523755,0.369,-0.02269896307577003,0.23532112863376745,0.49997250000000004,[0.464375   0.476875   0.47729167 ... 0.508125   0.50854167 0.548125  ],0.5792625162337662,[0.59474414 0.56263736 0.5488456  ... 0.56326868 0.60406954 0.68136031],-0.04555109449784097,"[-0.11270116 -0.10474987 -0.12741408 ...  0.05069444 -0.08912226
  0.07039337]",0.9006235746614957,p > 0.05,0.35208,p > 0.05,0.7529860465116279,p > 0.05,0.738,p > 0.05
