,features,0,1,2,3,4,mean_importance
0,$wSMI\gamma_{mean}$,0.018077902317301026,0.017513376387171303,0.017571591791960973,0.017791448608975576,0.017530748345965463,0.017697013490274867
1,$wSMI\gamma_{std}$,0.01898323914647615,0.01936496147310959,0.020126132771281436,0.01925257274709099,0.019102941279668294,0.019365969483525293
2,$wSMI\beta_{mean}$,0.01800057379206178,0.017913787637929626,0.01853493949789148,0.018630222097875487,0.017905573512671847,0.018197019307686045
3,$wSMI\beta_{std}$,0.01759151847508981,0.01755653562992542,0.017595050143136993,0.017198209324481028,0.017492831319137786,0.017486828978354206
4,$wSMI\alpha_{mean}$,0.019651852224668552,0.01956000091905305,0.018775521545866838,0.019501351505922464,0.01908641713909369,0.019315028666920916
5,$wSMI\alpha_{std}$,0.018713497439643362,0.01766877993409474,0.018699087784773086,0.017767689856083686,0.018322389434964486,0.018234288889911875
6,$wSMI\theta_{mean}$,0.01900304374287864,0.018120431323849984,0.018447051119962372,0.01906781452315883,0.019220726071905662,0.018771813356351096
7,$wSMI\theta_{std}$,0.017709789108120308,0.017616276489550334,0.01830901721890279,0.017977376427052775,0.017858946869447122,0.017894281222614668
8,$PE\gamma_{mean}$,0.017582742516760633,0.017292117388742076,0.017957062089722465,0.01762901217602397,0.017072073366075732,0.017506601507464976
9,$PE\gamma_{std}$,0.018987653428645807,0.019302415972478282,0.0173947026490052,0.01823039219245553,0.019609866338450403,0.018705006116207047
10,$PE\beta_{mean}$,0.018540320057255658,0.01799526999882695,0.020070511388060985,0.018107798624351152,0.018708360240601355,0.018684452061819217
11,$PE\beta_{std}$,0.019089437624377648,0.019685400625957073,0.01936345377796967,0.01872165706928243,0.01931175614656802,0.019234341048830966
12,$PE\alpha_{mean}$,0.019145806548022764,0.019636880390132932,0.018803879531950538,0.019674686534200264,0.01944301250744315,0.019340853102349932
13,$PE\alpha_{std}$,0.01681246694901068,0.01700939350983074,0.017142288857340326,0.016801137592186415,0.01736469423781045,0.017025996229235722
14,$PE\theta_{mean}$,0.018904342502494897,0.0192579483782394,0.018118053888979937,0.01876005602887547,0.01780350480616954,0.01856878112095185
15,$PE\theta_{std}$,0.01950311499114941,0.019854885786136266,0.019243879297448536,0.018032432135739417,0.019105079061133852,0.019147878254321498
16,$K_{mean}$,0.0174307684997762,0.01685081432561466,0.01710726950513991,0.01690495346915395,0.01745929935617887,0.01715062103117272
17,$K_{std}$,0.01954952114067215,0.02041440042730389,0.019124776178806417,0.019150464267806824,0.01951872544125545,0.019551577491168946
18,$SE_{mean}$,0.0184378423086731,0.019545272755140154,0.019299790180107777,0.01847320559762928,0.01998652640398422,0.019148527449106906
19,$SE_{std}$,0.0187722116248282,0.01919430856605016,0.018069532336414226,0.019126048685696728,0.01831757417052686,0.018695935076703234
20,$MSF_{mean}$,0.018485663835570713,0.01790723094726085,0.018292018401798008,0.01807156331957366,0.018783146353293558,0.018307924571499358
21,$MSF_{std}$,0.01852491270957693,0.02000354981783833,0.019280232195404787,0.019582563119555897,0.019021753973285666,0.01928260236313232
22,$SEF90_{mean}$,0.01855230086661711,0.018640078774830288,0.01887331705733127,0.018233271889223895,0.019434052949605023,0.018746604307521515
23,$SEF90_{std}$,0.01783116315329092,0.019485678795514792,0.018271973402697147,0.018794383996742253,0.018101309553691713,0.018496901780387365
24,$SEF95_{mean}$,0.01929023973265397,0.01853761609915045,0.019393346306184826,0.018115117986248454,0.018779188242657896,0.018823101673379118
25,$SEF95_{std}$,0.01774352036739418,0.01824022933590505,0.01804466286789163,0.017775296550334763,0.01796023617071578,0.01795278905844828
26,$\beta_{mean}$,0.018718154689349068,0.018349949759944945,0.01900544970822007,0.019786879704744423,0.018441122725382175,0.018860311317528137
27,$\beta_{std}$,0.018070635812278937,0.018388888238354495,0.01813643759414363,0.018136321204185315,0.017675643449861306,0.018081585259764738
28,$|\beta|_{mean}$,0.019520746411047018,0.019430344832996327,0.01951231721983743,0.020192323633947597,0.02001068267040733,0.01973328295364714
29,$|\beta|_{std}$,0.018039299141948833,0.018254378646716682,0.018364146586155296,0.018955591923797137,0.018625193701470675,0.018447722000017725
30,$\gamma_{mean}$,0.018100755218742368,0.018103862735089692,0.018375364633943736,0.018060255720972335,0.018171539514212666,0.01816235556459216
31,$\gamma_{std}$,0.019169277267934565,0.01812255101930355,0.01893823282743958,0.017269078566727405,0.01933637573620016,0.018567103083521053
32,$|\gamma|_{mean}$,0.01787582714267174,0.017746392229463656,0.018695648999486874,0.018029524072329474,0.017852305691431078,0.018039939627076566
33,$|\gamma|_{std}$,0.01755125383761093,0.018553637846585282,0.018994725568087907,0.018614049965973607,0.018232546453735936,0.018389242734398733
34,$\theta_{mean}$,0.018927142681407536,0.01818319062597846,0.018924103032701377,0.017970940645527067,0.01895072505353736,0.01859122040783036
35,$\theta_{std}$,0.017531847453661084,0.018033936081116284,0.018029050279249843,0.018464866053210745,0.01772654105128496,0.01795724818370458
36,$|\theta|_{mean}$,0.021231036814891975,0.019321563745294,0.019471081791472444,0.01922024822583035,0.01942649239738534,0.019734084594974822
37,$|\theta|_{std}$,0.019998788507459852,0.02046816798091691,0.019087126076803577,0.020184798231479013,0.018816767745549443,0.01971112970844176
38,$\delta_{mean}$,0.0179988682301123,0.01756045256032643,0.017754116653634883,0.017525967302835004,0.017692682799457675,0.017706417509273258
39,$\delta_{std}$,0.018120656777397593,0.018350107020023095,0.01895419006278054,0.018445583094545765,0.018564297100930657,0.01848696681113553
40,$|\delta|_{mean}$,0.018428422822157477,0.019431030382454178,0.018511780812170378,0.01831246719149318,0.01870833350965995,0.018678406943587033
41,$|\delta|_{std}$,0.016897785179286324,0.017660017814221364,0.017027465725516975,0.01760083347943238,0.016996169271693375,0.017236454294030083
42,$|\alpha|_{mean}$,0.018531271393165023,0.01830036306456496,0.017724445355468403,0.019144773357220563,0.018116642856830123,0.018363499205449812
43,$|\alpha|_{std}$,0.01839541256814727,0.019257834630179077,0.01887946854382971,0.01897378011091549,0.019002780891763552,0.01890185534896702
44,$\alpha_{mean}$,0.019034998683492288,0.018631126483471178,0.018878906264927418,0.01824039809873056,0.01831721504097711,0.018620528914319708
45,$\alpha_{std}$,0.017689151370810452,0.01728638230577142,0.017665338288295043,0.018272891002381594,0.017869075008281613,0.017756567595108026
46,$CNV_{mean}$,0.018935716463225363,0.019517525775504762,0.019129802956331723,0.019318177310634455,0.018866100682888853,0.019153464637717034
47,$CNV_{std}$,0.01958261882678565,0.01886771245808313,0.01938248337475251,0.0206803753872968,0.01872773029072003,0.019448184067527623
48,$P1_{mean}$,0.017528958908630335,0.017692995730492603,0.01861677202140132,0.019660310868086717,0.018084945625470396,0.018316796630816274
49,$P1_{std}$,0.02065318780764434,0.01951274914960767,0.018613157166621454,0.018482223945122292,0.019041630336528004,0.019260589681104754
50,$P3a_{mean}$,0.017333295850774394,0.017018023107134787,0.01766472188722958,0.017117555595716323,0.017199668611772648,0.01726665301052555
51,$P3a_{std}$,0.018101695333996127,0.01744304356162988,0.017850749613046547,0.018585251177054417,0.018825830682413842,0.01816131407362816
52,$P3b_{mean}$,0.017987205042783706,0.018697551758907048,0.017577089423870765,0.019057211097851443,0.020367300019218687,0.01873727146852633
53,$P3b_{std}$,0.019130544659576785,0.017648578766231725,0.0183266857465513,0.018326596706237274,0.01805292778863318,0.018297066733446055
