,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
10,p_e_2_mean,-99.98628059933606,205.9725611986721,6.612648281754712,,,,,,,,,0.27236921156575117,0.0664,0.5801725681725681,0.07662978417177327,0.4102,0.3665934065934066,0.21568251432853539,0.0048,0.061479500891265595,0.07927195801331302,0.5006331047619047,[0.44209849 0.44209849 0.49498738 ... 0.52728368 0.58017257 0.58969638],0.3527160409947077,[0.24145363 0.30300583 0.2937112  ... 0.31904762 0.30897436 0.30837607],-0.029572279605976342,"[-0.10280702 -0.02841597 -0.01138167 ...  0.02348278  0.01663102
  0.01600796]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.1296,p < 0.05 uncorrected
11,p_e_2_std,-100.56399639569811,207.12799279139622,-0.010797086685137201,,,,,,,,,0.9735050426990896,0.7564,0.47572161172161176,0.06168577953596415,0.9236,0.32431077694235594,0.21215268677952964,0.5424,0.011014492753623184,0.10263325670182363,0.4999159326007326,[0.53794383 0.52994383 0.54581685 ... 0.50270574 0.49159463 0.54270574],0.40172333956511586,[0.40175824 0.42386931 0.45176471 ... 0.38437118 0.41445869 0.51074422],0.015274401998092525,[0.00442284 0.01760508 0.0414752  ... 0.0006488  0.03798012 0.03469323],0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
12,p_e_4_mean,-100.56405474892415,207.1281094978483,0.48001775433065874,,,,,,,,,0.9660903767273546,1.0,0.45178917378917377,0.029542873206480403,0.9756,0.2725802310654685,0.23808916533899266,0.5464,-0.0001498127340824329,0.0424009738615747,0.5001541128205128,[0.5254188  0.48791453 0.49104843 ... 0.46512251 0.47252991 0.51430769],0.38301133280262245,[0.34192641 0.48187691 0.32125447 ... 0.31954068 0.33908955 0.34514721],0.004434278503289785,"[ 0.02324065  0.01274725  0.01448211 ... -0.01260262 -0.00128187
  0.03364151]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
13,p_e_4_std,-100.56416889231241,207.12833778462482,-0.006890474588012799,,,,,,,,,0.9869803460739734,1.0,0.39625885225885227,0.03508360377572723,0.9948,0.21874564459930315,0.2313677425784399,0.94,-0.07514981273408239,0.07489128125243222,0.49944054310134306,[0.46951893 0.53365568 0.52945543 ... 0.46951893 0.48501099 0.48832234],0.3920183089653032,[0.37747288 0.47466323 0.39112167 ... 0.33231764 0.42674519 0.45299809],-0.005735220365894186,"[-0.05802628  0.05267604  0.00371535 ... -0.0804681   0.0374518
 -0.045509  ]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
14,p_e_8_mean,-99.9536931151729,205.9073862303458,-9.391189064237889,,,,,,,,,0.2736031279289961,0.1248,0.5878762718762719,0.1111613571264552,0.6588,0.32336120318606837,0.22579034829277392,0.13,0.0266953167514965,0.09891713970898224,0.49900720097680096,[0.46258527 0.62343183 0.53741473 ... 0.42702971 0.44111844 0.56920961],0.35375191037561643,[0.27393162 0.29444156 0.43769424 ... 0.25600584 0.32533333 0.44012262],-0.04240153511431782,"[-0.05607672  0.06152952 -0.02650173 ... -0.05802668 -0.16343195
  0.02377251]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9012,p > 0.05
15,p_e_8_std,-100.46980694289395,206.9396138857879,0.10936299847237477,,,,,,,,,0.7653807458430558,0.8742,0.43065201465201464,0.13790718957249792,0.4792,0.4183263095768144,0.13912429907906465,0.5724,-0.011922382580211676,0.1721203774612448,0.49941581440781446,[0.38842979 0.48627106 0.61157021 ... 0.43065201 0.44712576 0.44712576],0.40964663680955893,[0.36515298 0.25874657 0.32268398 ... 0.36086149 0.43173021 0.38000412],-0.008226137947681383,"[-0.07734181 -0.07501589  0.03921631 ... -0.05269466 -0.1103464
 -0.07521081]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.997083870967742,p > 0.05
16,k_mean,-100.47463257649783,206.94926515299565,6.872889946287122,,,,,,,,,0.668027137026479,0.6,0.4990932030932031,0.05990546086317302,0.8492,0.33387314439946014,0.2731459996859346,0.7342,-0.012713178294573635,0.06608653298484203,0.5003731295075294,[0.50063166 0.50042654 0.4990932  ... 0.53242654 0.518035   0.52063166],0.38495402459640116,[0.41377289 0.32948718 0.43700259 ... 0.47783203 0.36710623 0.42354978],0.014788874471431405,"[-0.06004662  0.02538201  0.02969857 ... -0.0154094  -0.02788618
  0.06390559]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
17,k_std,-99.91544658598771,205.83089317197542,0.32075355398313776,,,,,,,,,0.37775975316222093,0.2164,0.5345592185592186,0.07638009784621311,0.1314,0.4650414719380237,0.14401513415216524,0.3596,0.028714454850797,0.19035558625383717,0.4992157167277167,[0.46438258 0.49917298 0.4813952  ... 0.48376557 0.48270737 0.46492959],0.4049226791064436,[0.29337127 0.35647528 0.40589662 ... 0.33867312 0.39582418 0.45936861],0.002761335691567492,"[-0.04        0.01768799 -0.05853542 ...  0.00387477  0.00182801
 -0.04968944]",0.99076660453162,p > 0.05,0.5646857142857142,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
18,se_mean,-100.50668187846618,207.01336375693236,-2.803657298881939,,,,,,,,,0.7337358172277632,0.3952,0.5071583231583231,0.04790774073478702,0.9986,0.22580086580086584,0.24398471175485162,0.4246,0.002188879082083006,0.015198413551665005,0.4991500991452991,[0.52053398 0.46257713 0.52053398 ... 0.53742287 0.52794139 0.51713797],0.38096638136927896,[0.49360024 0.39846779 0.38798455 ... 0.36867081 0.4452381  0.36373599],-0.002390973680832785,"[ 0.03019298  0.00878049 -0.03931422 ... -0.00124155  0.03958333
  0.03146067]",0.99076660453162,p > 0.05,0.9278608695652174,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
19,se_std,-100.07893589100985,206.1578717820197,0.2974362216356299,,,,,,,,,0.44088992945476374,0.2196,0.5334916564916565,0.0969730727327596,0.7382,0.36908600171758066,0.15807967547850216,0.3594,-0.00018679113650206248,0.04673592203187949,0.49973032836792836,[0.54375621 0.52761945 0.41802157 ... 0.5120639  0.5120639  0.52820065],0.40098466704193736,[0.3007007  0.4916919  0.49146305 ... 0.39302881 0.43938381 0.46999247],-0.019812111918038992,"[ 0.01423854  0.04695557 -0.030122   ... -0.03434331 -0.00900766
  0.03923551]",0.99076660453162,p > 0.05,0.5646857142857142,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
20,msf_mean,-100.56404832032311,207.12809664064622,0.008270995555015384,,,,,,,,,0.99076660453162,0.9442,0.443080993080993,0.05811228433219434,0.797,0.31143162393162394,0.2581904902246739,0.8456,-0.03819548872180452,0.06903797084272935,0.5004588701668701,[0.47914123 0.45607245 0.47385022 ... 0.56614978 0.53863655 0.50392755],0.3705621403904115,[0.40030589 0.38766917 0.32992356 ... 0.27077694 0.32748538 0.34637814],-0.0031238842135262296,"[ 0.01052363 -0.02851801  0.01072501 ... -0.03470432  0.02813008
 -0.02884615]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
21,msf_std,-100.37638041991248,206.75276083982496,0.1386206428913983,,,,,,,,,0.674622114430345,0.806,0.43567724867724866,0.12149950044268383,0.8054,0.3274799274799275,0.2694217051847862,0.338,0.018921795083319547,0.09509903201545536,0.4997264571428571,[0.52901058 0.48864021 0.43567725 ... 0.59313757 0.5024709  0.56432275],0.3792881859683771,[0.44232521 0.44934647 0.47239644 ... 0.33097744 0.35729735 0.25263636],-0.004429459841331501,"[ 0.09136652  0.00859004 -0.02235427 ... -0.00060606 -0.04226849
 -0.04162111]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
22,sef90_mean,-100.52274045639867,207.04548091279733,0.27935798213639096,,,,,,,,,0.7892394432589759,0.9702,0.4792108262108262,0.022355367799713668,0.8354,0.31376740376740375,0.2622115360214018,0.8654,-0.03385579937304071,0.05703132651005427,0.49984052193732187,[0.49049288 0.5032849  0.50950712 ... 0.52078917 0.49115954 0.50715954],0.3772429480800357,[0.47619515 0.32020751 0.32748918 ... 0.37609178 0.28572616 0.4831142 ],-0.0066988393216159065,"[-0.02530294 -0.01019608  0.00745098 ... -0.00848315 -0.0153772
 -0.04283127]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
23,sef90_std,-100.45391969095037,206.90783938190074,0.12613809940676035,,,,,,,,,0.7369452637605276,0.1564,0.5288795278795279,0.04758428213064321,0.9486,0.31049064787205205,0.2564135063267546,0.6344,-0.02583333333333333,0.03166666666666666,0.5001150253154253,[0.49417867 0.47112047 0.48223158 ... 0.47782133 0.49312047 0.49576842],0.4030736781158209,[0.4117896  0.48224339 0.4332549  ... 0.38609048 0.40594165 0.44307003],-0.009710814035137579,"[-0.0136238   0.03944151 -0.00476548 ... -0.07491926 -0.03001725
 -0.00441314]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
24,sef95_mean,-100.49454447060585,206.9890889412117,0.5069056472835121,,,,,,,,,0.7186135641967766,0.5996,0.49811762311762314,0.029249635788476613,0.7132,0.3295488721804512,0.26945375362654306,0.4308,-0.004545454545454542,0.009090909090909084,0.49990785836385837,[0.50362027 0.4832499  0.51367318 ... 0.48526862 0.48082418 0.48526862],0.3736348267011994,[0.32559355 0.30684492 0.37283381 ... 0.38983557 0.43289777 0.37851353],-0.008940069992872049,"[ 0.02981222 -0.02648928 -0.02492322 ... -0.00227547 -0.02894214
 -0.02669092]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
25,sef95_std,-100.54840867254309,207.09681734508618,0.032151945524566,,,,,,,,,0.9293092677364941,0.7168,0.4881982091982092,0.0420097232790517,0.9414,0.3118565644881434,0.2570152096284411,0.2116,0.01333333333333333,0.02666666666666666,0.49997298461538464,[0.50768539 0.45819821 0.45819821 ... 0.50898128 0.51535735 0.47768539],0.39943859852120783,[0.40094646 0.37313063 0.33163418 ... 0.42378855 0.45074968 0.38537627],-0.016928200070523196,"[ 0.02761735 -0.0269769  -0.04907038 ...  0.01048494 -0.03294659
 -0.01659744]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9693,p > 0.05
26,b_mean,-100.43676480555789,206.87352961111577,4.143336759921121,,,,,,,,,0.6104276506067411,0.0932,0.5911440781440782,0.12846061455710522,0.9816,0.2216386554621849,0.23068910562913594,0.6452,-0.03818127753899388,0.08459843983943628,0.5005311041107041,[0.58437159 0.49733455 0.5194827  ... 0.5194827  0.47374481 0.59114408],0.39389995534437455,[0.35909091 0.36622171 0.43282187 ... 0.53526316 0.35455924 0.41530236],-0.016418264659708227,"[ 0.07060731 -0.1028183  -0.00745042 ... -0.01095561 -0.10514954
  0.08202354]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
27,b_std,-100.52324463720676,207.04648927441352,-0.11427535386241927,,,,,,,,,0.7632008707929563,1.0,0.4231172161172161,0.07127577194708769,0.9968,0.2627999427999428,0.21794671593796514,0.9916,-0.07009845834952708,0.06225696294871925,0.5011367257631258,[0.52927595 0.56149817 0.43850183 ... 0.44356166 0.55643834 0.55643834],0.3977123434221463,[0.3445735  0.32242168 0.41610801 ... 0.39449335 0.42936183 0.55616698],-0.0008035383523665807,"[-0.01199873 -0.01155468 -0.03399132 ... -0.00573971  0.00489098
  0.04033708]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9972,p > 0.05
28,b_n_mean,-100.28706676349574,206.5741335269915,-0.6545745474070688,,,,,,,,,0.45920737841512693,0.0948,0.5217513227513227,0.021885125262674235,0.2008,0.4578595317725752,0.161720263027818,0.0012,0.09715970270767131,0.08605300056740568,0.49998033862433866,[0.50841799 0.50735979 0.47380423 ... 0.47930688 0.50486243 0.50380423],0.402523713233647,[0.36618357 0.33799437 0.41429505 ... 0.29943074 0.46477869 0.53362835],0.010954938399934284,"[ 0.01959254  0.03437802 -0.02280935 ... -0.01602321 -0.0035798
  0.04417247]",0.99076660453162,p > 0.05,0.449621052631579,p > 0.05,0.9986,p > 0.05,0.0648,p < 0.05 uncorrected
