,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
263,263,0.6540013557870701,2024-02-18 02:23:06.041322,2024-02-18 02:23:11.514192,0 days 00:00:05.472870,True,absolute_error,0.08877154370799549,41,0.05757535754213156,62,0.043370176240624364,6,11,RandomForest,99,False,False,COMPLETE,"[0.7653061224489796, 0.7545454545454546, 0.75, 0.34615384615384615]","[0.01607307 0.02313633 0.00717407 0.00930873 0.         0.01550913
 0.02072637 0.0034062  0.00597157 0.01798055 0.02189519 0.01006531
 0.02348594 0.00712657 0.01833476 0.004597   0.06234353 0.02771941
 0.028703   0.03135067 0.04523045 0.03388644 0.01720213 0.03329418
 0.01282161 0.01968407 0.01554184 0.02146224 0.02016277 0.0107189
 0.02036025 0.01887128 0.01689347 0.01020753 0.01718475 0.02876544
 0.05118871 0.00873362 0.02871602 0.01012006 0.00885253 0.00937647
 0.04310262 0.03728952 0.00452454 0.0303708  0.01496701 0.01092103
 0.00854013 0.00464934 0.0132501  0.01447143 0.         0.00373134]"
232,232,0.6535250463821892,2024-02-18 02:20:04.881984,2024-02-18 02:20:09.070039,0 days 00:00:04.188055,True,absolute_error,0.07736813991697021,25,0.013275053726018598,41,0.03820686823834458,7,9,RandomForest,66,False,False,COMPLETE,"[0.7959183673469388, 0.8181818181818181, 0.6346153846153846, 0.3653846153846154]","[0.00391839 0.0113719  0.00892857 0.01887554 0.         0.
 0.00763531 0.00891324 0.01493657 0.01644331 0.03597493 0.00277269
 0.         0.02915792 0.00833333 0.01034115 0.05756704 0.02249337
 0.00353849 0.03380147 0.04104473 0.03800313 0.01568533 0.01403994
 0.         0.02879129 0.         0.04526183 0.02957422 0.01104987
 0.02468587 0.01824098 0.04906957 0.         0.04502406 0.00956997
 0.06943566 0.00372906 0.01587302 0.         0.         0.00741667
 0.0267119  0.02262977 0.03053317 0.02976188 0.03218964 0.02133811
 0.03477661 0.00953935 0.00694444 0.         0.00643191 0.0176448 ]"
334,334,0.6532628086199515,2024-02-18 02:29:38.513240,2024-02-18 02:29:42.276593,0 days 00:00:03.763353,True,absolute_error,0.061688021156325656,38,0.016695276151830384,69,0.01731461819011893,8,16,RandomForest,35,False,False,COMPLETE,"[0.7959183673469388, 0.8363636363636363, 0.6442307692307693, 0.33653846153846156]","[0.01344636 0.01727212 0.03103466 0.         0.01784146 0.00287479
 0.00895755 0.02283966 0.03193351 0.00499094 0.04423139 0.
 0.01190286 0.00996069 0.         0.02999608 0.05291058 0.00963455
 0.00649005 0.02750978 0.04363118 0.04611072 0.01042296 0.0060776
 0.         0.04001018 0.00321077 0.         0.03288289 0.02836436
 0.00287189 0.         0.03123038 0.02020984 0.06039703 0.02254074
 0.06190351 0.01403536 0.02098744 0.         0.         0.
 0.03731981 0.01599362 0.03323478 0.02182955 0.00613188 0.02032103
 0.02088064 0.00819618 0.         0.02883453 0.0122477  0.00629641]"
430,430,0.6529042386185244,2024-02-18 02:41:21.705759,2024-02-18 02:41:28.739102,0 days 00:00:07.033343,True,absolute_error,0.04207815059315281,40,0.02195814122562033,49,0.03818453314476189,8,20,RandomForest,86,False,False,COMPLETE,"[0.7346938775510204, 0.8, 0.7307692307692308, 0.34615384615384615]","[0.02991002 0.02255179 0.00543478 0.01360087 0.00346411 0.01142888
 0.02077158 0.00867879 0.00991696 0.01308685 0.02912129 0.
 0.01138716 0.02846199 0.0090716  0.01432853 0.06484913 0.01407344
 0.00237517 0.023524   0.03267655 0.05264548 0.01757109 0.01784472
 0.         0.02120791 0.00285999 0.03806379 0.0196415  0.01365035
 0.01577313 0.01312397 0.03907867 0.         0.0365794  0.01900726
 0.05674665 0.00295618 0.02346735 0.00184938 0.         0.00470422
 0.0424311  0.03517181 0.02694111 0.01917816 0.02637998 0.01788566
 0.02374993 0.00756177 0.00200804 0.021175   0.         0.01203291]"
394,394,0.649423790495219,2024-02-18 02:36:36.391044,2024-02-18 02:36:42.895899,0 days 00:00:06.504855,True,absolute_error,0.024212063771491703,10,0.047970781237461436,78,0.055051852193864347,5,6,RandomForest,69,False,False,COMPLETE,"[0.7448979591836735, 0.7181818181818181, 0.7596153846153846, 0.375]","[0.         0.00438596 0.0078125  0.00438596 0.         0.00462005
 0.00735165 0.00304069 0.00804106 0.01534975 0.0412939  0.01317201
 0.00427948 0.01990354 0.02745935 0.01599515 0.05593537 0.02085464
 0.03395058 0.03854524 0.04681426 0.04151081 0.00925995 0.03421427
 0.0094769  0.00788247 0.0194121  0.0063241  0.0102044  0.00438596
 0.01219846 0.01943667 0.02172256 0.01607708 0.02423908 0.
 0.07886205 0.00185629 0.02268199 0.00438596 0.         0.00277099
 0.04583424 0.06966047 0.00816874 0.03093203 0.02001096 0.02544286
 0.0177005  0.0078125  0.02384995 0.01829603 0.         0.01219846]"
435,435,0.6492605608677037,2024-02-18 02:41:58.005883,2024-02-18 02:42:03.615003,0 days 00:00:05.609120,True,absolute_error,0.018647620953677602,49,0.11690053447388747,57,0.05015591090744059,9,19,RandomForest,32,False,False,COMPLETE,"[0.7244897959183674, 0.7090909090909091, 0.7980769230769231, 0.3653846153846153]","[0.00497334 0.         0.00457493 0.         0.         0.01561794
 0.04852484 0.00594301 0.00520609 0.0438256  0.02462567 0.00411837
 0.         0.02934976 0.02208647 0.         0.04904985 0.04626192
 0.01748239 0.02460725 0.05070571 0.03945108 0.02856048 0.03110678
 0.02617924 0.00835027 0.03114641 0.01062551 0.02558582 0.01383607
 0.02811094 0.02208647 0.02803892 0.04042102 0.00764539 0.
 0.06121222 0.         0.01117598 0.         0.01949025 0.01426037
 0.03295603 0.0353227  0.00355215 0.0161648  0.01082034 0.
 0.01086957 0.01211397 0.01561286 0.01205658 0.00629464 0.        ]"
476,476,0.6488747859283573,2024-02-18 02:46:51.180352,2024-02-18 02:46:56.000652,0 days 00:00:04.820300,True,absolute_error,0.035535902657086435,18,0.013989647866201264,68,0.0592125843950626,6,5,RandomForest,38,False,False,COMPLETE,"[0.8265306122448979, 0.7545454545454545, 0.7211538461538461, 0.2932692307692307]","[0.         0.0073814  0.         0.         0.         0.
 0.00491161 0.00843804 0.02061211 0.03055556 0.06272952 0.
 0.         0.00933374 0.         0.03936869 0.0619569  0.
 0.         0.01666667 0.08015873 0.0625     0.         0.
 0.         0.         0.         0.         0.01388889 0.03055556
 0.06626984 0.         0.01666667 0.         0.08015873 0.
 0.11610228 0.03310381 0.01388889 0.         0.         0.
 0.12572514 0.         0.01158563 0.00465105 0.02164484 0.00415969
 0.03055556 0.02097961 0.         0.         0.         0.00545085]"
441,441,0.6485059583273869,2024-02-18 02:42:41.120562,2024-02-18 02:42:45.678173,0 days 00:00:04.557611,True,absolute_error,0.05120429760172409,44,0.0377472391561963,36,0.0595521061299492,7,20,RandomForest,70,False,False,COMPLETE,"[0.7448979591836735, 0.7818181818181817, 0.7211538461538461, 0.34615384615384615]","[0.         0.021908   0.         0.         0.         0.
 0.00961552 0.00249945 0.00418676 0.02442268 0.03610734 0.00714286
 0.         0.01355311 0.00714286 0.01574042 0.07214022 0.02173913
 0.0293629  0.05328219 0.0785773  0.05034325 0.00641026 0.02069597
 0.00641026 0.00641026 0.00641026 0.00714286 0.         0.
 0.01801242 0.03654545 0.01727982 0.00936636 0.02442268 0.
 0.09231447 0.00391081 0.01785991 0.00714286 0.         0.
 0.06094393 0.07815787 0.00997892 0.03758057 0.01801242 0.02810771
 0.02030075 0.         0.01240897 0.00641026 0.         0.        ]"
307,307,0.6463117239902954,2024-02-18 02:27:12.309699,2024-02-18 02:27:17.830629,0 days 00:00:05.520930,True,absolute_error,0.08066988893922884,36,0.036239805235870816,50,0.028579764323654507,7,17,RandomForest,84,False,False,COMPLETE,"[0.6836734693877551, 0.8727272727272727, 0.7019230769230769, 0.32692307692307687]","[0.03139135 0.03044096 0.01578425 0.01246396 0.0100425  0.01515808
 0.01474687 0.00793337 0.01166413 0.01514308 0.02221527 0.00375988
 0.01881682 0.02288331 0.00290558 0.01373665 0.05292225 0.01559748
 0.0058731  0.02356408 0.02868505 0.04787902 0.01733778 0.00817129
 0.         0.02247068 0.00179826 0.0364351  0.03300573 0.01147168
 0.01155841 0.01298013 0.03249117 0.00202319 0.02617545 0.02400054
 0.05746809 0.00625473 0.03251114 0.         0.         0.00519951
 0.0381349  0.02426136 0.02318715 0.01918721 0.03260251 0.02670877
 0.02140414 0.00882999 0.00810354 0.01736669 0.00368804 0.01156581]"
294,294,0.6447704081632653,2024-02-18 02:26:14.072370,2024-02-18 02:26:18.089946,0 days 00:00:04.017576,True,absolute_error,0.08598051288222351,24,0.07077620892733537,51,0.05280387160073035,7,8,RandomForest,59,False,False,COMPLETE,"[0.7040816326530612, 0.75, 0.7211538461538461, 0.40384615384615385]","[0.00531915 0.00568182 0.00287178 0.00537701 0.00568182 0.
 0.00855506 0.00772629 0.01       0.02409106 0.02988101 0.00227462
 0.         0.01174384 0.013811   0.00961538 0.09810536 0.03491259
 0.         0.03621824 0.05419961 0.02568182 0.01833429 0.04708477
 0.010291   0.01738383 0.01622384 0.00568182 0.0103813  0.01136364
 0.04329821 0.00816376 0.0191367  0.02319386 0.03094286 0.00885628
 0.08959593 0.00531915 0.00907741 0.00568182 0.         0.00324142
 0.07164928 0.03776637 0.00826296 0.00770166 0.02915491 0.03174734
 0.         0.00634357 0.01275919 0.01961538 0.         0.        ]"
306,306,0.6446727379763093,2024-02-18 02:27:05.653239,2024-02-18 02:27:12.292324,0 days 00:00:06.639085,True,absolute_error,0.0936986173876094,25,0.03923473844846985,89,0.07110123549449156,4,8,RandomForest,137,False,False,COMPLETE,"[0.6836734693877551, 0.7363636363636363, 0.8076923076923077, 0.35096153846153844]","[0.02554325 0.02291935 0.         0.02529707 0.         0.00475435
 0.01679842 0.         0.         0.00543478 0.01983821 0.01560092
 0.0078125  0.00543478 0.02717391 0.0078125  0.05454263 0.02887228
 0.03994293 0.0362959  0.07610823 0.06058547 0.0204723  0.025273
 0.00847458 0.03698683 0.00847458 0.00423729 0.         0.00543478
 0.01748457 0.00423729 0.01877526 0.01679842 0.01324728 0.00423729
 0.05681766 0.         0.01510685 0.01939048 0.01986229 0.
 0.02385034 0.04653897 0.03046116 0.05024394 0.00543478 0.02953436
 0.02461092 0.         0.0078125  0.00543478 0.         0.        ]"
