,features,importances
0,wSMI_1_mean,0.005508735488412461
1,wSMI_1_std,0.01682817828736009
2,wSMI_2_mean,0.006280677256710468
3,wSMI_2_std,0.004287444598797678
4,wSMI_4_mean,0.030803268687247993
5,wSMI_4_std,0.009072480092297967
6,wSMI_8_mean,0.00838420024749965
7,wSMI_8_std,0.021543159354373287
8,p_e_1_mean,0.004858000385782829
9,p_e_1_std,0.0489876503170876
10,p_e_2_mean,0.00792246925706091
11,p_e_2_std,0.014356283761710286
12,p_e_4_mean,0.015774929961226515
13,p_e_4_std,0.014285714285714285
14,p_e_8_mean,0.025926390322906216
15,p_e_8_std,0.013003448883232622
16,k_mean,0.03117156544645048
17,k_std,0.06689516532210228
18,se_mean,0.008850085945652167
19,se_std,0.020544068443222162
20,msf_mean,0.003301622894145551
21,msf_std,0.018111146547976298
22,sef90_mean,0.018393765495220597
23,sef90_std,0.032572347963768775
24,sef95_mean,0.007589492570935837
25,sef95_std,0.003890045159209889
26,b_mean,0.0059999737314855835
27,b_std,0.04233978486190144
28,b_n_mean,0.0038722647398803747
29,b_n_std,0.022043851395759564
30,g_mean,0.011693691100080268
31,g_std,0.007871431243223112
32,g_n_mean,0.016104672596041966
33,g_n_std,0.0
34,t_mean,0.0015662995482544628
35,t_std,0.02645692084383768
36,t_n_mean,0.006474038665165662
37,t_n_std,0.031289995895557414
38,d_mean,0.02828655674410129
39,d_std,0.004005292399371639
40,d_n_mean,0.04558606043998101
41,d_n_std,0.0
42,a_n_mean,0.006832584529131174
43,a_n_std,0.010466351180783337
44,a_mean,0.0
45,a_std,0.029164629593984377
46,CNV_mean,0.011297563441961398
47,CNV_std,0.04378405556930271
48,P1_mean,0.057181924069780996
49,P1_std,0.02836643240853771
50,P3a_mean,0.04095194360049732
51,P3a_std,0.0
52,P3b_mean,0.012930929003469427
53,P3b_std,0.046290415421805245
