,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
359,,59,0.4604748931623932,2024-01-26 13:19:24.363234,2024-01-26 13:19:29.068400,0 days 00:00:04.705166,True,absolute_error,0.00806504798898373,10,0.14860688374130196,35,0.013670556109705329,16,10,RandomForest,27,False,False,COMPLETE,,
458,,158,0.46046260683760687,2024-01-26 13:26:51.120906,2024-01-26 13:26:54.537820,0 days 00:00:03.416914,True,absolute_error,0.01296535188601704,7,0.41045345040360576,75,0.00983586557616615,16,14,RandomForest,26,False,False,COMPLETE,,
228,158.0,158,0.4604626068376068,2024-01-26 13:26:51.120906,2024-01-26 13:26:54.537820,0 days 00:00:03.416914,True,absolute_error,0.012965351886017,7,0.4104534504036057,75,0.0098358655761661,16,14,RandomForest,26,False,False,COMPLETE,"[0.5384615384615385, 0.4711111111111111, 0.3402777777777778, 0.492]","[0.0217803  0.03363837 0.05423544 0.         0.0209498  0.
 0.         0.02272727 0.01685376 0.00709072 0.06479396 0.
 0.03041169 0.01710828 0.0089404  0.         0.02381977 0.00729869
 0.         0.01428693 0.01430888 0.00996997 0.02031644 0.0205999
 0.00768725 0.         0.02534941 0.         0.00544985 0.04348672
 0.         0.01897193 0.00220683 0.01041667 0.02403711 0.
 0.10857362 0.00611801 0.01315789 0.00703989 0.02258833 0.
 0.02538613 0.05972784 0.04042647 0.06762951 0.032547   0.00898827
 0.03286228 0.0022192  0.         0.         0.02362717 0.00237205]"
615,,315,0.45925961538461535,2024-01-27 17:04:46.298878,2024-01-27 17:04:52.502787,0 days 00:00:06.203909,True,absolute_error,0.007221784331908035,31,0.010977269796924805,78,0.00933552310642265,17,4,RandomForest,98,False,False,COMPLETE,,
819,,519,0.45913514957264956,2024-01-27 19:38:49.046876,2024-01-27 19:38:52.244030,0 days 00:00:03.197154,True,absolute_error,0.017481064004861463,24,0.32257998537746324,82,0.021621284963668774,20,11,RandomForest,22,False,False,COMPLETE,"[0.6538461538461537, 0.3555555555555555, 0.2951388888888889, 0.532]","[0.00922719 0.01998296 0.         0.         0.         0.00592319
 0.         0.01785714 0.         0.01388889 0.10806879 0.
 0.01388889 0.01785714 0.03174603 0.         0.         0.04024168
 0.         0.01923077 0.01388889 0.         0.00791579 0.01923077
 0.         0.         0.06152865 0.         0.         0.02777778
 0.         0.01923077 0.01388889 0.         0.         0.
 0.11441012 0.         0.01923077 0.         0.02777778 0.
 0.02984013 0.10119048 0.01388889 0.05631868 0.04563492 0.
 0.09065934 0.         0.02642316 0.         0.01325152 0.        ]"
731,,431,0.45872435897435904,2024-01-27 19:33:08.446532,2024-01-27 19:33:13.505807,0 days 00:00:05.059275,True,absolute_error,0.019887624120872503,17,0.28099110277799005,81,0.03328158439131612,15,7,RandomForest,77,False,False,COMPLETE,"[0.6129807692307693, 0.23555555555555557, 0.39236111111111116, 0.594]","[0.05       0.02631579 0.         0.         0.03610417 0.
 0.01388889 0.03888889 0.         0.0197471  0.06071429 0.02515683
 0.         0.         0.0555625  0.         0.         0.
 0.         0.02631579 0.         0.         0.         0.01785714
 0.01785714 0.         0.02704678 0.         0.03815789 0.01785714
 0.01388889 0.01785714 0.         0.01785714 0.025      0.01388889
 0.11204486 0.         0.00746224 0.         0.04020468 0.
 0.01388889 0.04020468 0.         0.04960317 0.12061404 0.
 0.025      0.01315789 0.         0.         0.         0.01785714]"
601,,301,0.45847222222222217,2024-01-27 17:03:31.868940,2024-01-27 17:03:34.856493,0 days 00:00:02.987553,False,absolute_error,0.00768836170886389,25,0.011817350148708043,83,0.013177722247136207,19,4,RandomForest,21,False,False,COMPLETE,,
379,,79,0.45753472222222225,2024-01-26 13:21:23.547799,2024-01-26 13:21:26.668894,0 days 00:00:03.121095,False,absolute_error,0.012056860354569848,22,0.029778122219847044,47,0.017578362604196204,17,8,RandomForest,25,False,False,COMPLETE,,
396,,96,0.45753472222222225,2024-01-26 13:22:47.431387,2024-01-26 13:22:50.470530,0 days 00:00:03.039143,False,absolute_error,0.006987098873811896,28,0.03305968467915995,79,0.017059918815761285,16,14,RandomForest,28,False,False,COMPLETE,,
229,96.0,96,0.4575347222222222,2024-01-26 13:22:47.431387,2024-01-26 13:22:50.470530,0 days 00:00:03.039143,False,absolute_error,0.0069870988738118,28,0.0330596846791599,79,0.0170599188157612,16,14,RandomForest,28,False,False,COMPLETE,"[0.5, 0.5, 0.4201388888888889, 0.41000000000000003]","[0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.25 0.   0.   0.   0.  ]"
