,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
143,143,0.542448407520178,2024-01-15 11:04:08.188117,2024-01-15 11:04:09.672888,0 days 00:00:01.484771,True,entropy,21.0,sqrt,15.0,13.0,14.0,False,True,COMPLETE,"[0.6500000000000001, 0.5497076023391814, 0.38333333333333336, 0.6333333333333334, 0.49586776859504134]","[0.00550874 0.01682818 0.00628068 0.00428744 0.03080327 0.00907248
 0.0083842  0.02154316 0.004858   0.04898765 0.00792247 0.01435628
 0.01577493 0.01428571 0.02592639 0.01300345 0.03117157 0.06689517
 0.00885009 0.02054407 0.00330162 0.01811115 0.01839377 0.03257235
 0.00758949 0.00389005 0.00599997 0.04233978 0.00387226 0.02204385
 0.01169369 0.00787143 0.01610467 0.         0.0015663  0.02645692
 0.00647404 0.03129    0.02828656 0.00400529 0.04558606 0.
 0.00683258 0.01046635 0.         0.02916463 0.01129756 0.04378406
 0.05718192 0.02836643 0.04095194 0.         0.01293093 0.04629042]"
183,183,0.542448407520178,2024-01-15 11:05:14.707186,2024-01-15 11:05:16.192436,0 days 00:00:01.485250,True,entropy,20.0,sqrt,15.0,13.0,14.0,False,True,COMPLETE,"[0.6500000000000001, 0.5497076023391814, 0.38333333333333336, 0.6333333333333334, 0.49586776859504134]","[0.00550874 0.01682818 0.00628068 0.00428744 0.03080327 0.00907248
 0.0083842  0.02154316 0.004858   0.04898765 0.00792247 0.01435628
 0.01577493 0.01428571 0.02592639 0.01300345 0.03117157 0.06689517
 0.00885009 0.02054407 0.00330162 0.01811115 0.01839377 0.03257235
 0.00758949 0.00389005 0.00599997 0.04233978 0.00387226 0.02204385
 0.01169369 0.00787143 0.01610467 0.         0.0015663  0.02645692
 0.00647404 0.03129    0.02828656 0.00400529 0.04558606 0.
 0.00683258 0.01046635 0.         0.02916463 0.01129756 0.04378406
 0.05718192 0.02836643 0.04095194 0.         0.01293093 0.04629042]"
184,184,0.542448407520178,2024-01-15 11:05:16.215188,2024-01-15 11:05:17.692743,0 days 00:00:01.477555,True,entropy,16.0,sqrt,15.0,14.0,14.0,False,True,COMPLETE,"[0.6500000000000001, 0.5497076023391814, 0.38333333333333336, 0.6333333333333334, 0.49586776859504134]","[0.00550874 0.01682818 0.00628068 0.00428744 0.03080327 0.00907248
 0.0083842  0.02154316 0.004858   0.04898765 0.00792247 0.01435628
 0.01577493 0.01428571 0.02592639 0.01300345 0.03117157 0.06689517
 0.00885009 0.02054407 0.00330162 0.01811115 0.01839377 0.03257235
 0.00758949 0.00389005 0.00599997 0.04233978 0.00387226 0.02204385
 0.01169369 0.00787143 0.01610467 0.         0.0015663  0.02645692
 0.00647404 0.03129    0.02828656 0.00400529 0.04558606 0.
 0.00683258 0.01046635 0.         0.02916463 0.01129756 0.04378406
 0.05718192 0.02836643 0.04095194 0.         0.01293093 0.04629042]"
208,208,0.542448407520178,2024-01-15 11:05:56.171541,2024-01-15 11:05:57.657056,0 days 00:00:01.485515,True,entropy,16.0,sqrt,15.0,12.0,14.0,False,True,COMPLETE,"[0.6500000000000001, 0.5497076023391814, 0.38333333333333336, 0.6333333333333334, 0.49586776859504134]","[0.00550874 0.01682818 0.00628068 0.00428744 0.03080327 0.00907248
 0.0083842  0.02154316 0.004858   0.04898765 0.00792247 0.01435628
 0.01577493 0.01428571 0.02592639 0.01300345 0.03117157 0.06689517
 0.00885009 0.02054407 0.00330162 0.01811115 0.01839377 0.03257235
 0.00758949 0.00389005 0.00599997 0.04233978 0.00387226 0.02204385
 0.01169369 0.00787143 0.01610467 0.         0.0015663  0.02645692
 0.00647404 0.03129    0.02828656 0.00400529 0.04558606 0.
 0.00683258 0.01046635 0.         0.02916463 0.01129756 0.04378406
 0.05718192 0.02836643 0.04095194 0.         0.01293093 0.04629042]"
129,129,0.5423670056684411,2024-01-15 11:03:43.513122,2024-01-15 11:03:45.015540,0 days 00:00:01.502418,True,entropy,20.0,sqrt,15.0,14.0,15.0,False,True,COMPLETE,"[0.6714285714285715, 0.5087719298245614, 0.3777777777777778, 0.6166666666666667, 0.5371900826446281]","[0.00514149 0.0157063  0.00586197 0.01094307 0.02874972 0.00846765
 0.00782525 0.02010695 0.00453413 0.04572181 0.0073943  0.0133992
 0.01472327 0.01787822 0.02419796 0.01213655 0.02909346 0.06243549
 0.00826008 0.01917446 0.00308151 0.02209151 0.01716751 0.05991523
 0.00708353 0.00363071 0.00559998 0.03951713 0.00361411 0.02057426
 0.01091411 0.01373855 0.01503103 0.00426342 0.00146188 0.02469313
 0.00604244 0.029204   0.02640079 0.00373827 0.04422432 0.
 0.00637708 0.00976859 0.         0.03536588 0.01054439 0.04086512
 0.0533698  0.02647534 0.03822181 0.         0.01206887 0.04320439]"
132,132,0.5423670056684411,2024-01-15 11:03:48.184310,2024-01-15 11:03:49.692789,0 days 00:00:01.508479,True,entropy,18.0,sqrt,15.0,15.0,15.0,False,True,COMPLETE,"[0.6714285714285715, 0.5087719298245614, 0.3777777777777778, 0.6166666666666667, 0.5371900826446281]","[0.00514149 0.0157063  0.00586197 0.01094307 0.02874972 0.00846765
 0.00782525 0.02010695 0.00453413 0.04572181 0.0073943  0.0133992
 0.01472327 0.01787822 0.02419796 0.01213655 0.02909346 0.06243549
 0.00826008 0.01917446 0.00308151 0.02209151 0.01716751 0.05991523
 0.00708353 0.00363071 0.00559998 0.03951713 0.00361411 0.02057426
 0.01091411 0.01373855 0.01503103 0.00426342 0.00146188 0.02469313
 0.00604244 0.029204   0.02640079 0.00373827 0.04422432 0.
 0.00637708 0.00976859 0.         0.03536588 0.01054439 0.04086512
 0.0533698  0.02647534 0.03822181 0.         0.01206887 0.04320439]"
136,136,0.5423670056684411,2024-01-15 11:03:54.477049,2024-01-15 11:03:55.958601,0 days 00:00:01.481552,True,entropy,22.0,sqrt,15.0,14.0,15.0,False,True,COMPLETE,"[0.6714285714285715, 0.5087719298245614, 0.3777777777777778, 0.6166666666666667, 0.5371900826446281]","[0.00514149 0.0157063  0.00586197 0.01094307 0.02874972 0.00846765
 0.00782525 0.02010695 0.00453413 0.04572181 0.0073943  0.0133992
 0.01472327 0.01787822 0.02419796 0.01213655 0.02909346 0.06243549
 0.00826008 0.01917446 0.00308151 0.02209151 0.01716751 0.05991523
 0.00708353 0.00363071 0.00559998 0.03951713 0.00361411 0.02057426
 0.01091411 0.01373855 0.01503103 0.00426342 0.00146188 0.02469313
 0.00604244 0.029204   0.02640079 0.00373827 0.04422432 0.
 0.00637708 0.00976859 0.         0.03536588 0.01054439 0.04086512
 0.0533698  0.02647534 0.03822181 0.         0.01206887 0.04320439]"
207,207,0.5401614918839799,2024-01-15 11:05:54.626419,2024-01-15 11:05:56.148562,0 days 00:00:01.522143,True,entropy,15.0,sqrt,15.0,12.0,16.0,False,True,COMPLETE,"[0.6428571428571428, 0.5263157894736843, 0.37777777777777777, 0.6166666666666667, 0.5371900826446281]","[0.00482014 0.01472466 0.00549559 0.01025913 0.02695286 0.00793842
 0.01310349 0.04584083 0.00425075 0.04286419 0.00693216 0.01256175
 0.01380306 0.01676083 0.02268559 0.01137802 0.03258995 0.05853327
 0.00774383 0.01797606 0.00288892 0.02071079 0.01609454 0.05617053
 0.00664081 0.00340379 0.00524998 0.03704731 0.00338823 0.01928837
 0.01023198 0.01287989 0.01409159 0.00399695 0.00137051 0.02314981
 0.00566478 0.02737875 0.02874717 0.00350463 0.0414603  0.
 0.00597851 0.00915806 0.0049802  0.03315551 0.00988537 0.03831105
 0.05003418 0.02743134 0.03583295 0.0051946  0.01895989 0.04050411]"
174,174,0.5401614918839799,2024-01-15 11:05:00.782932,2024-01-15 11:05:02.395480,0 days 00:00:01.612548,True,entropy,14.0,sqrt,15.0,13.0,16.0,False,True,COMPLETE,"[0.6428571428571428, 0.5263157894736843, 0.37777777777777777, 0.6166666666666667, 0.5371900826446281]","[0.00482014 0.01472466 0.00549559 0.01025913 0.02695286 0.00793842
 0.01310349 0.04584083 0.00425075 0.04286419 0.00693216 0.01256175
 0.01380306 0.01676083 0.02268559 0.01137802 0.03258995 0.05853327
 0.00774383 0.01797606 0.00288892 0.02071079 0.01609454 0.05617053
 0.00664081 0.00340379 0.00524998 0.03704731 0.00338823 0.01928837
 0.01023198 0.01287989 0.01409159 0.00399695 0.00137051 0.02314981
 0.00566478 0.02737875 0.02874717 0.00350463 0.0414603  0.
 0.00597851 0.00915806 0.0049802  0.03315551 0.00988537 0.03831105
 0.05003418 0.02743134 0.03583295 0.0051946  0.01895989 0.04050411]"
177,177,0.5401614918839799,2024-01-15 11:05:05.552256,2024-01-15 11:05:07.068996,0 days 00:00:01.516740,True,entropy,15.0,sqrt,15.0,13.0,16.0,False,True,COMPLETE,"[0.6428571428571428, 0.5263157894736843, 0.37777777777777777, 0.6166666666666667, 0.5371900826446281]","[0.00482014 0.01472466 0.00549559 0.01025913 0.02695286 0.00793842
 0.01310349 0.04584083 0.00425075 0.04286419 0.00693216 0.01256175
 0.01380306 0.01676083 0.02268559 0.01137802 0.03258995 0.05853327
 0.00774383 0.01797606 0.00288892 0.02071079 0.01609454 0.05617053
 0.00664081 0.00340379 0.00524998 0.03704731 0.00338823 0.01928837
 0.01023198 0.01287989 0.01409159 0.00399695 0.00137051 0.02314981
 0.00566478 0.02737875 0.02874717 0.00350463 0.0414603  0.
 0.00597851 0.00915806 0.0049802  0.03315551 0.00988537 0.03831105
 0.05003418 0.02743134 0.03583295 0.0051946  0.01895989 0.04050411]"
