,features,importances
0,wSMI_1_mean,0.010416640899134272
1,wSMI_1_std,0.016405279264583274
2,wSMI_2_mean,0.057112779500948285
3,wSMI_2_std,0.014253594902320093
4,wSMI_4_mean,0.043059465625169546
5,wSMI_4_std,0.011834713613273212
6,wSMI_8_mean,0.0180443268881768
7,wSMI_8_std,0.026327076537476558
8,p_e_1_mean,0.007012338076758608
9,p_e_1_std,0.029047834909682425
10,p_e_2_mean,0.011929949554201869
11,p_e_2_std,0.017945972551268084
12,p_e_4_mean,0.02172651937534969
13,p_e_4_std,0.011206951388986806
14,p_e_8_mean,0.0063139237275818185
15,p_e_8_std,0.009265620952522357
16,k_mean,0.02072434994556434
17,k_std,0.03189407590706875
18,se_mean,0.008683497194501165
19,se_std,0.01196225432283499
20,msf_mean,0.012510312255756727
21,msf_std,0.02139840561937622
22,sef90_mean,0.007892669626416228
23,sef90_std,0.0085235319459502
24,sef95_mean,0.00870554105801365
25,sef95_std,0.008122958191718047
26,b_mean,0.006657265273843515
27,b_std,0.03616211604773319
28,b_n_mean,0.021354801514566226
29,b_n_std,0.05089184576978956
30,g_mean,0.011652773539063738
31,g_std,0.00668414701441242
32,g_n_mean,0.01122112152257809
33,g_n_std,0.0054170214658201665
34,t_mean,0.01068322217658518
35,t_std,0.012534974159513703
36,t_n_mean,0.009692450735443975
37,t_n_std,0.046187161340235254
38,d_mean,0.013723091073946985
39,d_std,0.026058711215266723
40,d_n_mean,0.012122941413895734
41,d_n_std,0.01626200329500353
42,a_n_mean,0.011051243784884346
43,a_n_std,0.01784886390164194
44,a_mean,0.008954507024978164
45,a_std,0.019223362522700772
46,CNV_mean,0.02545143913522001
47,CNV_std,0.03699087077376194
48,P1_mean,0.05935756167182922
49,P1_std,0.01731492201776929
50,P3a_mean,0.013068747615348823
51,P3a_std,0.006102288483896377
52,P3b_mean,0.02148841860325369
53,P3b_std,0.013521543072383397
