,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
273,283.0,283,0.4812494796869797,2024-01-26 15:00:09.941086,2024-01-26 15:00:21.885906,0 days 00:00:11.944820,True,absolute_error,0.0076107062971388,12,0.2911125727953977,33,0.0434804733633248,1,10,RandomForest,48,False,False,COMPLETE,"[0.5363636363636364, 0.6545454545454545, 0.23958333333333331, 0.4945054945054945]","[0.00824565 0.01206168 0.00859885 0.02930449 0.00589878 0.01031148
 0.00430817 0.00681858 0.010176   0.04250436 0.02234016 0.03805915
 0.         0.0152137  0.04113755 0.01936297 0.01928137 0.02506487
 0.0102703  0.02412198 0.02172253 0.02235828 0.0118411  0.01180673
 0.01818139 0.01412353 0.00721931 0.00922749 0.01670648 0.02734405
 0.00409921 0.0076819  0.02704205 0.01985933 0.02553677 0.01937258
 0.0333115  0.00809212 0.01021976 0.01325118 0.02550877 0.0050542
 0.06028717 0.01652996 0.00942514 0.04276018 0.03680651 0.03142054
 0.0301653  0.01394875 0.01613107 0.00989205 0.01295014 0.00704283]"
583,,283,0.4812494796869797,2024-01-26 15:00:09.941086,2024-01-26 15:00:21.885906,0 days 00:00:11.944820,True,absolute_error,0.007610706297138866,12,0.29111257279539776,33,0.04348047336332485,1,10,RandomForest,48,False,False,COMPLETE,,
370,,70,0.4800678488178488,2024-01-26 14:22:22.814838,2024-01-26 14:22:34.975195,0 days 00:00:12.160357,True,absolute_error,0.009472365672829932,6,0.43557572315324394,24,0.07006972682896771,15,2,RandomForest,44,False,False,COMPLETE,,
274,70.0,70,0.4800678488178488,2024-01-26 14:22:22.814838,2024-01-26 14:22:34.975195,0 days 00:00:12.160357,True,absolute_error,0.0094723656728299,6,0.4355757231532439,24,0.0700697268289677,15,2,RandomForest,44,False,False,COMPLETE,"[0.4363636363636364, 0.509090909090909, 0.4583333333333333, 0.5164835164835164]","[0.         0.02358785 0.         0.02854123 0.         0.01777389
 0.00641026 0.         0.         0.1109786  0.02088717 0.03430398
 0.         0.         0.01923077 0.00581395 0.01744186 0.03925736
 0.         0.0294018  0.01803816 0.08100233 0.03014643 0.00925926
 0.00581395 0.01162791 0.         0.         0.01507321 0.01136364
 0.01803816 0.         0.05658327 0.00925926 0.02148347 0.03014643
 0.01863447 0.01851852 0.01777389 0.         0.03284711 0.
 0.07911103 0.01222421 0.01136364 0.04840067 0.01803816 0.00641026
 0.01222421 0.00641026 0.01136364 0.         0.02299154 0.01222421]"
540,,240,0.4798815767565768,2024-01-26 14:52:25.109595,2024-01-26 14:52:37.632371,0 days 00:00:12.522776,True,absolute_error,0.007492235541082803,23,0.6382833375227568,37,0.09291163194133822,1,9,RandomForest,59,False,False,COMPLETE,,
275,240.0,240,0.4798815767565768,2024-01-26 14:52:25.109595,2024-01-26 14:52:37.632371,0 days 00:00:12.522776,True,absolute_error,0.0074922355410828,23,0.6382833375227568,37,0.0929116319413382,1,9,RandomForest,59,False,False,COMPLETE,"[0.37272727272727274, 0.5181818181818182, 0.4791666666666667, 0.5494505494505495]","[0.         0.03358919 0.00261937 0.04520187 0.         0.
 0.         0.         0.00640836 0.05858778 0.00948842 0.04928041
 0.00137946 0.         0.04293149 0.00545621 0.01394999 0.03623359
 0.         0.03625067 0.02233131 0.05104465 0.         0.01502215
 0.02501367 0.01772854 0.01378389 0.01564027 0.0123018  0.00613703
 0.00870157 0.         0.02198804 0.0203522  0.00446429 0.01190617
 0.01947009 0.0123018  0.00806452 0.00757576 0.05598805 0.02231504
 0.04567977 0.00571706 0.         0.06881949 0.04765995 0.04548614
 0.01763015 0.0054279  0.01371872 0.         0.03635317 0.        ]"
891,,591,0.47962220071595074,2024-01-27 20:50:58.686096,2024-01-27 20:51:04.187517,0 days 00:00:05.501421,True,absolute_error,0.03405238607589047,7,0.12052655493589803,23,0.09251352212730861,2,10,RandomForest,60,False,False,COMPLETE,"[0.4954545454545455, 0.5136363636363637, 0.3489583333333333, 0.5604395604395604]","[0.0023279  0.00731083 0.00510204 0.         0.         0.00289325
 0.         0.03125    0.00207809 0.05510204 0.05510204 0.0601397
 0.00510204 0.00510204 0.0639493  0.         0.01530612 0.00510204
 0.         0.06727041 0.01315715 0.00510204 0.         0.00271474
 0.01260933 0.         0.         0.         0.00510204 0.
 0.01020408 0.025      0.01020408 0.         0.025      0.00510204
 0.00510204 0.025      0.         0.04967864 0.08659926 0.04954285
 0.07801871 0.03125    0.00183611 0.10161629 0.05947757 0.
 0.         0.00214897 0.00510204 0.         0.00729415 0.        ]"
885,,585,0.47775193556443557,2024-01-27 20:50:19.311519,2024-01-27 20:50:24.568659,0 days 00:00:05.257140,True,absolute_error,0.040861648194400774,11,0.5533110081306711,19,0.0788476197941587,1,12,RandomForest,63,False,False,COMPLETE,"[0.4181818181818182, 0.4636363636363636, 0.46875, 0.5604395604395604]","[0.00288748 0.01707211 0.00251028 0.03005723 0.01511769 0.
 0.00981902 0.00981902 0.00396825 0.04066791 0.01606921 0.04994125
 0.00250996 0.         0.04569625 0.00750909 0.01211631 0.01474954
 0.00527094 0.03606479 0.01990107 0.04007783 0.01198237 0.00864574
 0.02243335 0.01704051 0.0124673  0.00471698 0.01378728 0.01586975
 0.01654201 0.0096475  0.0364478  0.00957391 0.         0.00724544
 0.02415806 0.02544971 0.00471698 0.01173409 0.04452258 0.01323069
 0.04296389 0.01843694 0.         0.06426932 0.02904641 0.0608995
 0.01996468 0.01008034 0.01980027 0.         0.04080056 0.00170081]"
712,,412,0.477561500999001,2024-01-27 20:27:51.668905,2024-01-27 20:28:04.131105,0 days 00:00:12.462200,True,absolute_error,0.00995395937783073,14,0.6325576355292728,36,0.05506272110022701,1,10,RandomForest,50,False,False,COMPLETE,"[0.4272727272727273, 0.5272727272727273, 0.40625, 0.5494505494505495]","[0.00377387 0.02455044 0.00920261 0.02751966 0.00477577 0.00368548
 0.00574087 0.0042609  0.00871355 0.05020376 0.0137605  0.04628216
 0.00344114 0.00301662 0.02923339 0.01052425 0.02121446 0.01907609
 0.00482638 0.02349795 0.03073938 0.01780345 0.0107951  0.01231973
 0.02065994 0.01711922 0.00741972 0.01660428 0.02434255 0.01589153
 0.00930223 0.00396884 0.02806938 0.01801139 0.00864754 0.01383791
 0.02701906 0.0078774  0.00259424 0.00565341 0.06127921 0.00773932
 0.0691958  0.01442299 0.00426914 0.07574816 0.05154471 0.03396264
 0.01265907 0.00741    0.00986896 0.0066674  0.02618166 0.00307478]"
608,,308,0.4773278804528804,2024-01-27 20:11:45.139152,2024-01-27 20:11:54.886375,0 days 00:00:09.747223,True,absolute_error,0.012329677953889343,19,0.6346971971225629,37,0.07076009128616659,1,12,RandomForest,49,False,False,COMPLETE,"[0.42727272727272725, 0.5454545454545454, 0.35416666666666663, 0.5824175824175823]","[0.00520833 0.02642447 0.00600814 0.03051272 0.         0.01076389
 0.00710508 0.00974248 0.00941073 0.05321054 0.01297248 0.04572371
 0.00156472 0.00147039 0.03080445 0.00979541 0.03186337 0.0262826
 0.00337221 0.02487656 0.03427839 0.03897194 0.01031037 0.0088227
 0.01362383 0.01885835 0.00697576 0.0147721  0.01652591 0.01518084
 0.00864977 0.00126724 0.02703128 0.02522165 0.0028836  0.01084101
 0.02732595 0.00666736 0.         0.01016232 0.05650339 0.00725194
 0.05693924 0.00731956 0.00113258 0.07148995 0.0473179  0.04481335
 0.02040816 0.00729009 0.01027041 0.         0.02232842 0.00145239]"
