,auc
0,0.5737931034482758
1,0.5917241379310344
2,0.6013793103448275
3,0.6262068965517242
4,0.5531034482758621
5,0.7613793103448276
6,0.6285714285714286
7,0.6114285714285714
8,0.5957142857142858
9,0.5985714285714285
