,Unnamed: 0.1,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_gll_early_stop_threshold,params_max_depth,params_max_features,params_max_iterations,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,params_model_type,params_n_estimators,params_use_pca,params_use_standardization,state,fold_aucs,feature_importances
0,0.0,290.0,290,0.7171926287997716,2024-02-16 00:31:40.072663,2024-02-16 00:31:45.658434,0 days 00:00:05.585771,True,absolute_error,0.0407163853362368,10,0.025880105646289,19,0.0487210176109271,8,15,RandomForest,57,False,False,COMPLETE,"[0.7602040816326531, 0.8681818181818182, 0.875, 0.3653846153846154]","[0.         0.0033185  0.         0.02453083 0.         0.
 0.00303622 0.00463052 0.03238578 0.02818627 0.04457307 0.00421927
 0.         0.03289133 0.         0.02268441 0.08535202 0.02083333
 0.         0.00833333 0.04803922 0.06985294 0.01568627 0.01122741
 0.         0.02083333 0.         0.00735294 0.00735294 0.01568627
 0.02818627 0.01568627 0.05       0.         0.06053922 0.00309828
 0.11299501 0.00444654 0.00735294 0.         0.         0.00365544
 0.05183235 0.04068627 0.00626529 0.00262829 0.04595433 0.0264608
 0.01568627 0.00754014 0.00325762 0.         0.         0.00272242]"
1,1.0,106.0,106,0.710986335093478,2024-02-16 00:15:38.240983,2024-02-16 00:15:44.297692,0 days 00:00:06.056709,True,absolute_error,0.0430971035643914,9,0.0194294079741905,25,0.0508296488428285,8,14,RandomForest,55,False,False,COMPLETE,"[0.7602040816326531, 0.8818181818181818, 0.8653846153846154, 0.33653846153846156]","[0.         0.00349895 0.01923077 0.02526766 0.         0.
 0.00300713 0.00475225 0.02705917 0.02900433 0.03990039 0.00422209
 0.         0.0340287  0.         0.0233001  0.08223523 0.02142857
 0.         0.00892857 0.04908009 0.0585373  0.01650433 0.01173372
 0.         0.0125     0.         0.00757576 0.00757576 0.01650433
 0.02900433 0.         0.05178571 0.         0.05581086 0.00332506
 0.10363393 0.00476328 0.00757576 0.         0.         0.00373666
 0.04669007 0.0357351  0.00637359 0.02193762 0.04657696 0.02735436
 0.0357351  0.0079371  0.00332582 0.         0.         0.0028235 ]"
2,2.0,108.0,108,0.699423790495219,2024-02-16 00:15:49.505959,2024-02-16 00:15:54.518247,0 days 00:00:05.012288,True,absolute_error,0.0477300250774727,10,0.0278491564678917,25,0.052490216351847,8,14,RandomForest,56,False,False,COMPLETE,"[0.7448979591836734, 0.9181818181818181, 0.8461538461538461, 0.28846153846153844]","[0.         0.00350089 0.         0.01705251 0.         0.
 0.00323925 0.0049245  0.03120814 0.03485928 0.04880569 0.
 0.         0.0298168  0.         0.01514088 0.07739401 0.01315789
 0.         0.         0.05582968 0.06263706 0.01388889 0.02170139
 0.         0.         0.         0.0078125  0.0078125  0.02170139
 0.03485928 0.0078125  0.06798246 0.         0.06350512 0.00583073
 0.09975315 0.00761792 0.0078125  0.         0.         0.00391788
 0.05035909 0.04253472 0.00431161 0.02864583 0.04425724 0.02097039
 0.02864583 0.0078125  0.         0.         0.         0.002888  ]"
3,3.0,173.0,173,0.6927286998715572,2024-02-16 00:21:09.811266,2024-02-16 00:21:15.832564,0 days 00:00:06.021298,True,absolute_error,0.0440749408854584,8,0.0100948736297953,19,0.0509718400791562,6,15,RandomForest,59,False,False,COMPLETE,"[0.739795918367347, 0.8772727272727273, 0.8173076923076923, 0.3365384615384615]","[0.         0.00372512 0.         0.02471421 0.         0.
 0.00237815 0.00434647 0.02646911 0.02777778 0.03093551 0.
 0.         0.03248864 0.         0.02256735 0.07545403 0.03085205
 0.         0.00833333 0.04722222 0.06145547 0.01527778 0.01085176
 0.         0.01315425 0.         0.01388889 0.00694444 0.01527778
 0.02777778 0.01527778 0.05       0.         0.06316504 0.00312398
 0.10264171 0.01190637 0.00694444 0.         0.         0.00306357
 0.04547913 0.03450855 0.00532853 0.02172025 0.04792266 0.03012354
 0.03450855 0.01044341 0.00306222 0.         0.0062902  0.00259797]"
4,4.0,145.0,145,0.6844646425003568,2024-02-16 00:18:52.967944,2024-02-16 00:18:58.609755,0 days 00:00:05.641811,True,absolute_error,0.043365726137481,10,0.0299792273280408,23,0.0507613616329026,8,14,RandomForest,50,False,False,COMPLETE,"[0.7653061224489796, 0.8090909090909091, 0.8173076923076923, 0.34615384615384615]","[0.         0.00385229 0.02083333 0.         0.         0.
 0.00356576 0.00541221 0.02983477 0.03292625 0.04469461 0.00471705
 0.         0.03872702 0.         0.02651872 0.0492654  0.
 0.         0.01041667 0.05543582 0.06417625 0.         0.01343003
 0.         0.01388889 0.         0.00862069 0.00862069 0.01903736
 0.03292625 0.         0.05902778 0.         0.06238027 0.00393594
 0.11604868 0.00559274 0.00862069 0.         0.         0.
 0.05184561 0.03987069 0.00800761 0.02364171 0.04715189 0.0307823
 0.03987069 0.01311487 0.         0.         0.         0.00320848]"
5,5.0,102.0,102,0.6826142607392608,2024-02-16 00:15:14.876855,2024-02-16 00:15:20.635310,0 days 00:00:05.758455,True,absolute_error,0.0360050459138118,7,0.0303497454789134,22,0.0563897809585323,7,14,RandomForest,56,False,False,COMPLETE,"[0.7142857142857143, 0.8863636363636364, 0.8461538461538461, 0.28365384615384615]","[0.         0.00402663 0.         0.01848118 0.         0.
 0.00277912 0.0050312  0.03156561 0.03771195 0.04605736 0.
 0.         0.02436086 0.         0.02126421 0.08497065 0.01923077
 0.         0.01041667 0.04577647 0.06468531 0.01041667 0.00806452
 0.         0.         0.         0.00806452 0.00806452 0.01848118
 0.03771195 0.00806452 0.03125    0.         0.06850374 0.00393897
 0.11796679 0.00556776 0.00806452 0.         0.         0.
 0.05822998 0.04120846 0.00707302 0.00262185 0.04355685 0.04011949
 0.04120846 0.01243094 0.         0.         0.         0.00303331]"
6,6.0,122.0,122,0.6816513843299558,2024-02-16 00:16:57.359244,2024-02-16 00:17:02.083105,0 days 00:00:04.723861,True,absolute_error,0.0536637036994122,12,0.0620286979456819,26,0.0487765788832668,7,12,RandomForest,60,False,False,COMPLETE,"[0.7551020408163265, 0.8272727272727273, 0.7403846153846153, 0.40384615384615385]","[0.01080896 0.00480769 0.00173909 0.00619016 0.0033998  0.
 0.00499456 0.00678662 0.00455961 0.02500942 0.02991828 0.00472744
 0.01015344 0.01127952 0.0092316  0.00833333 0.08689234 0.03225795
 0.00646635 0.04834282 0.04611664 0.02259202 0.0157756  0.04514428
 0.00916972 0.01528358 0.01610171 0.00480769 0.00879751 0.0078336
 0.03621864 0.0200838  0.02767058 0.01997904 0.03400847 0.00759884
 0.08983116 0.00471698 0.03211875 0.00880672 0.         0.00285828
 0.0622098  0.04456227 0.00673275 0.00216758 0.0250393  0.02587532
 0.00480769 0.00742086 0.01310515 0.01666667 0.         0.        ]"
7,7.0,238.0,238,0.6782351576994434,2024-02-16 00:27:18.830186,2024-02-16 00:27:24.005862,0 days 00:00:05.175676,True,absolute_error,0.0543822243202718,13,0.0585928554799782,21,0.039832255575853,5,19,RandomForest,62,False,False,COMPLETE,"[0.8061224489795918, 0.7818181818181817, 0.7403846153846154, 0.38461538461538464]","[0.01433296 0.00454545 0.01365455 0.00377503 0.         0.00147738
 0.00460168 0.         0.01010209 0.02002378 0.02660101 0.00428716
 0.02164328 0.01413508 0.0217367  0.00649182 0.07168485 0.0188626
 0.03395685 0.03381006 0.04684278 0.03017058 0.01705516 0.04490929
 0.02048286 0.01850387 0.02473782 0.01355383 0.01403211 0.01236391
 0.01801736 0.03139773 0.02634102 0.01263928 0.02135685 0.01582727
 0.06164608 0.00423729 0.02458371 0.00716872 0.         0.00764575
 0.04883596 0.04826812 0.00493308 0.02597347 0.02460598 0.0156667
 0.00613002 0.00345635 0.0130073  0.00846144 0.00142597 0.        ]"
8,8.0,254.0,254,0.6764503353789069,2024-02-16 00:28:42.109999,2024-02-16 00:28:46.550786,0 days 00:00:04.440787,True,absolute_error,0.0511483825002277,15,0.0287355693620327,44,0.0438800948056587,5,20,RandomForest,52,False,False,COMPLETE,"[0.7551020408163266, 0.8545454545454545, 0.7692307692307693, 0.32692307692307687]","[0.         0.00403813 0.         0.         0.         0.
 0.00287587 0.00500915 0.03246899 0.01704508 0.05377782 0.
 0.         0.03394083 0.01041667 0.01241961 0.06973188 0.02102647
 0.00339695 0.00806452 0.05922873 0.05102475 0.02123908 0.02660931
 0.         0.02856628 0.         0.01822917 0.01587702 0.01587702
 0.04099957 0.         0.04502688 0.         0.05679469 0.00743325
 0.08925663 0.00999215 0.02251838 0.         0.         0.00740094
 0.03683734 0.0305829  0.00744274 0.02691453 0.03981654 0.02629368
 0.01248006 0.01108623 0.         0.         0.0154568  0.00280335]"
9,9.0,151.0,151,0.6749322106464963,2024-02-16 00:19:21.806553,2024-02-16 00:19:26.508952,0 days 00:00:04.702399,True,absolute_error,0.050095294477542,8,0.0543558932008238,21,0.0513949166619515,7,15,RandomForest,56,False,False,COMPLETE,"[0.7346938775510204, 0.7727272727272727, 0.7884615384615384, 0.40384615384615385]","[0.         0.00233528 0.         0.00568182 0.         0.
 0.00741218 0.00375716 0.03231332 0.02345143 0.04376056 0.
 0.00220489 0.02032791 0.00422839 0.01521575 0.08718712 0.02780057
 0.01269343 0.02861922 0.0734117  0.05962547 0.00735294 0.03856464
 0.0097086  0.01303476 0.         0.00568182 0.         0.
 0.01609848 0.01203003 0.02818627 0.0157728  0.04088189 0.
 0.10384538 0.00247075 0.00568182 0.0076165  0.         0.
 0.05469126 0.05010672 0.00405664 0.00712576 0.02651515 0.03118505
 0.02452153 0.01303476 0.03181024 0.         0.         0.        ]"
