,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
24,sef95_mean,-100.49454447060585,206.9890889412117,0.5069056472835121,,,,,,,,,0.7186135641967766,0.7828,0.46059875309875314,0.11080858970818719,0.7648,0.3697906610295505,0.17061489908156455,0.9166,-0.10829601029601027,0.11294493491677124,0.4993924841454842,[0.4662531  0.60162347 0.54672929 ... 0.49234478 0.49672929 0.4837469 ],0.4180130161801144,[0.38288202 0.49142031 0.5193882  ... 0.49191085 0.4060875  0.45626635],-0.017162280661732636,"[-0.01355507  0.03468334  0.09403129 ... -0.01383606 -0.01419801
 -0.01926128]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
25,sef95_std,-100.54840867254309,207.09681734508618,0.032151945524566,,,,,,,,,0.9293092677364941,0.9686,0.44240500240500236,0.058384674967184316,0.3688,0.4350959177499893,0.20088376506418804,0.294,-0.0011590367814816593,0.0962691479631776,0.5002386782106781,[0.51815055 0.47454786 0.52047379 ... 0.47999759 0.50499759 0.45788119],0.41795269196587526,[0.48511375 0.4191534  0.35618687 ... 0.42634486 0.42569787 0.42352092],-0.02648827107428674,"[-0.0161608   0.00378414  0.04128308 ... -0.0610659  -0.03326349
 -0.05599111]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
26,b_mean,-100.43676480555789,206.87352961111577,4.143336759921121,,,,,,,,,0.6104276506067411,0.7122,0.46543706293706294,0.13807897128057542,0.5206,0.3720094637780957,0.25361533519454055,0.9218,-0.13303244428010394,0.24074058606234477,0.5009977552447552,[0.40900738 0.49511849 0.48456294 ... 0.54567405 0.52567405 0.63178516],0.37586335284176187,[0.30676329 0.42045635 0.39191044 ... 0.30516098 0.18951136 0.46423752],-0.04299935031350935,"[-0.12212683 -0.04377064 -0.0163027  ... -0.0289294  -0.10781933
  0.04903391]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
27,b_std,-100.52324463720676,207.04648927441352,-0.11427535386241927,,,,,,,,,0.7632008707929563,0.58,0.4899559237059237,0.06763467996429089,0.9986,0.22745079073366545,0.22958174070578158,0.7138,-0.04159715970807206,0.06556658779663008,0.4998739638324638,[0.46368164 0.47161815 0.47789243 ... 0.51368164 0.45210757 0.49439593],0.3947055472081567,[0.42770059 0.40729038 0.32977151 ... 0.46895705 0.38680536 0.30476147],-0.022876108412338142,"[-0.02744547 -0.05972799 -0.03017342 ...  0.01198062 -0.03756213
 -0.08308672]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
28,b_n_mean,-100.28706676349574,206.5741335269915,-0.6545745474070688,,,,,,,,,0.45920737841512693,0.8424,0.4416048303548304,0.12316560724986639,0.6162,0.40101612727470853,0.17191301792725966,0.7418,-0.06126835971967476,0.15074471968967515,0.5002828918673918,[0.51614187 0.46169742 0.41330258 ... 0.54271594 0.49895073 0.52493816],0.41777956229226176,[0.41686924 0.37090823 0.32993342 ... 0.47529442 0.34969054 0.44636209],-0.011324733195836982,"[ 0.0265663  -0.13351643 -0.1162905  ... -0.03480821  0.04602512
 -0.03386836]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
29,b_n_std,-100.49624385277505,206.9924877055501,0.10515470280596265,,,,,,,,,0.7928759174462482,0.8626,0.45346033596033597,0.08593989610335093,0.985,0.3011463018490755,0.2226863580519969,0.9224,-0.08747527574289775,0.12101155166685647,0.5002846865356865,[0.49327515 0.48537564 0.48203176 ... 0.45425399 0.45425399 0.47894707],0.4314832728415282,[0.34643199 0.46936234 0.36145284 ... 0.38507551 0.46626526 0.37355072],-0.009614514792628114,"[ 0.02648452 -0.01232469 -0.0527597  ... -0.04270282 -0.02708198
 -0.02210121]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
30,g_mean,-100.54107947838085,207.0821589567617,-1.365331099581238,,,,,,,,,0.8234927481387098,1.0,0.3608190883190883,0.07236201013845814,0.955,0.311716353821617,0.20646573858758266,0.957,-0.11915314413563706,0.17107588918604286,0.5004191111111111,[0.55918091 0.36637464 0.63918091 ... 0.38859687 0.47584758 0.52507835],0.421312426287604,[0.45346829 0.35582208 0.39781746 ... 0.39885682 0.43274644 0.54053561],0.0007639991565156106,"[ 0.10026517 -0.13442397  0.14579389 ... -0.08732544  0.00191094
  0.03984613]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
31,g_std,-100.50836372000914,207.0167274400183,0.08359157495799993,,,,,,,,,0.8232425960606556,0.9074,0.42982956857956856,0.10060835877918876,0.6512,0.40547113708087773,0.20086902860994035,0.7004,-0.01100628631809103,0.12966369024470636,0.4997495518925519,[0.52256461 0.5014535  0.56256461 ... 0.44252798 0.51812017 0.56256461],0.4264900725103219,[0.4305623  0.38470788 0.44507726 ... 0.37025814 0.45034042 0.4516986 ],0.014028116336404611,"[ 0.04548374  0.0280693   0.02413946 ... -0.0110217   0.01999852
  0.06751201]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
32,g_n_mean,-100.42959884791473,206.85919769582947,0.1276091223576984,,,,,,,,,0.7117387739568801,0.8832,0.4320867558367558,0.1220880203650484,0.4468,0.41071124174572443,0.1992541719539177,0.8316,-0.06320220756478012,0.13490333015155337,0.5020202705072705,[0.46034072 0.53965928 0.45802591 ... 0.42264231 0.58132594 0.46978517],0.4038553930901894,[0.42991669 0.36289838 0.31846158 ... 0.41831437 0.50035063 0.42664871],0.002939160588931555,"[-0.03641066  0.0552015  -0.0451143  ... -0.07837419  0.10180494
 -0.03081171]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9986,p > 0.05,0.9784,p > 0.05
33,g_n_std,-100.04645882365283,206.09291764730565,0.2130685826978732,,,,,,,,,0.4787216792116217,0.2682,0.5368092555592556,0.10174431162116505,0.049,0.5051148235406107,0.12448668025068853,0.3896,0.013161966664326286,0.15089645137714958,0.4995381883856884,[0.53098175 0.45922249 0.54282777 ... 0.50042619 0.47866693 0.5062537 ],0.4127571810131836,[0.43024208 0.33893994 0.36527249 ... 0.43027255 0.31382793 0.41412055],-0.0034180516323985308,"[-0.0299632  -0.06150563  0.05164742 ... -0.01262274 -0.05440256
  0.07389546]",0.99076660453162,p > 0.05,0.8496,p > 0.05,0.936,p < 0.05 uncorrected,0.9784,p > 0.05
