,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_samples_leaf,params_n_estimators,state
180,180,0.7390873015873016,2023-12-29 09:47:55.012214,2023-12-29 09:47:57.928601,0 days 00:00:02.916387,19,0.3450367620600739,5,67,COMPLETE
72,72,0.7237103174603174,2023-12-29 09:42:36.547911,2023-12-29 09:42:39.468647,0 days 00:00:02.920736,16,0.4003600621333979,3,63,COMPLETE
92,92,0.7212301587301587,2023-12-29 09:43:35.924001,2023-12-29 09:43:38.955530,0 days 00:00:03.031529,23,0.39863396802763346,3,63,COMPLETE
133,133,0.7172619047619048,2023-12-29 09:45:36.465349,2023-12-29 09:45:39.445952,0 days 00:00:02.980603,16,0.41151819360124325,4,68,COMPLETE
99,99,0.7152777777777777,2023-12-29 09:43:56.949515,2023-12-29 09:43:59.976289,0 days 00:00:03.026774,16,0.2856505211755628,3,70,COMPLETE
81,81,0.7137896825396826,2023-12-29 09:43:02.426068,2023-12-29 09:43:05.556909,0 days 00:00:03.130841,20,0.407035867375915,3,69,COMPLETE
98,98,0.7118055555555556,2023-12-29 09:43:53.784141,2023-12-29 09:43:56.948332,0 days 00:00:03.164191,16,0.28480711216147364,3,70,COMPLETE
148,148,0.7113095238095237,2023-12-29 09:46:21.701408,2023-12-29 09:46:24.549522,0 days 00:00:02.848114,6,0.4120516485575767,5,64,COMPLETE
191,191,0.7108134920634921,2023-12-29 09:48:26.934576,2023-12-29 09:48:29.880063,0 days 00:00:02.945487,15,0.34549599024972344,4,67,COMPLETE
197,197,0.7103174603174602,2023-12-29 09:48:44.872304,2023-12-29 09:48:47.800644,0 days 00:00:02.928340,15,0.3476739502839515,4,67,COMPLETE
76,76,0.7098214285714286,2023-12-29 09:42:47.029484,2023-12-29 09:42:50.002720,0 days 00:00:02.973236,16,0.35443466649406224,3,63,COMPLETE
194,194,0.7098214285714286,2023-12-29 09:48:35.839653,2023-12-29 09:48:38.920201,0 days 00:00:03.080548,15,0.33497438244359673,4,68,COMPLETE
138,138,0.7093253968253969,2023-12-29 09:45:51.883142,2023-12-29 09:45:55.035875,0 days 00:00:03.152733,19,0.25713733150517765,1,70,COMPLETE
106,106,0.7073412698412699,2023-12-29 09:44:16.991373,2023-12-29 09:44:19.805563,0 days 00:00:02.814190,16,0.36489161912917367,3,60,COMPLETE
189,189,0.7068452380952381,2023-12-29 09:48:20.989787,2023-12-29 09:48:23.953917,0 days 00:00:02.964130,15,0.3442854087716447,4,67,COMPLETE
190,190,0.7068452380952381,2023-12-29 09:48:23.955100,2023-12-29 09:48:26.933420,0 days 00:00:02.978320,15,0.34541848585084933,4,67,COMPLETE
