,Marker,Log-Likelihood,AIC,Estimate,P_val,score_mean,score_std,score_sem,score_range,perm_score,perms_score_std,perms_score_all,Glmm_pval,AUC_P_val,AUC_mean,AUC_std,F1_P_val,F1_mean,F1_std,Kappa_P_val,Kappa_mean,Kappa_std,perm_auc_mean,perm_auc_all,perm_f1_mean,perm_f1_all,perm_kappa_mean,perm_kappa_all,GLMM_p_corrected,GLMM_significant,AUC_p_corrected,AUC_significant,F1_p_corrected,F1_significant,Kappa_p_corrected,Kappa_significant
0,wSMI_1_mean,-100.47757753948395,206.9551550789679,1.557665444671157,,,,,,,,,0.6849628217589225,0.811,0.4683999437095412,0.0940045327696553,0.9214,0.24661172161172157,0.2127734394359518,0.944,-0.13466915191053125,0.13611257522508277,0.49982941364105443,[0.47200253 0.57856975 0.57856975 ... 0.54372127 0.46890656 0.51897223],0.37686981547446624,[0.29322548 0.46886072 0.41989297 ... 0.4923063  0.43869349 0.43274019],-0.019617609824192753,"[ 0.03308571  0.07202482  0.08082915 ...  0.07158558 -0.0700782
  0.02857795]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
1,wSMI_1_std,-98.83949873255207,203.67899746510415,0.552783812483923,,,,,,,,,0.12288244449936163,0.1252,0.587794352190637,0.05888069996294528,0.115,0.4769265845873233,0.08330609073987194,0.3478,-0.01806492120473055,0.10821986748821065,0.5001729411764706,[0.58779435 0.55072239 0.48261094 ... 0.45159959 0.54840041 0.40988367],0.3983689547563876,[0.41970264 0.38594828 0.44898684 ... 0.38565464 0.55488471 0.39421535],-0.042103962780516285,"[-0.02169035  0.02842181 -0.12705915 ... -0.11924822  0.04334604
 -0.15869282]",0.99076660453162,p > 0.05,0.5972869565217391,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
2,wSMI_2_mean,-100.56005680752938,207.12011361505876,0.38837261556085706,,,,,,,,,0.9189348827720026,1.0,0.40301857585139317,0.0492221861057314,0.8968,0.2989516230895541,0.16688798161222473,0.9924,-0.1599297065828506,0.0941943944422303,0.499324427244582,[0.50214138 0.40301858 0.40301858 ... 0.59698142 0.53119195 0.43635191],0.3942654580350655,[0.39761218 0.45510836 0.3436571  ... 0.50225188 0.35308569 0.29913273],-0.017666355309125664,"[-0.02177491 -0.08713965 -0.12048682 ...  0.09462272  0.00890403
 -0.12672785]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
3,wSMI_2_std,-100.51878545286128,207.03757090572256,-0.11575022406600033,,,,,,,,,0.7636059493359664,0.8046,0.4601463551927948,0.0685903834050619,0.9878,0.24962292609351433,0.25743186597437695,0.8288,-0.05625510019040708,0.11986419052495177,0.4997863974106389,[0.47716015 0.4847359  0.4525706  ... 0.47716015 0.44079651 0.55920349],0.4308956688584279,[0.35914305 0.38796093 0.38678143 ... 0.43753947 0.51078591 0.5043367 ],0.0225104977232812,"[-0.01678717 -0.03023359 -0.07789736 ... -0.015827   -0.02918739
  0.10871692]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
4,wSMI_4_mean,-100.47018420526965,206.9403684105393,1.3778990781423999,,,,,,,,,0.6689129048075,0.0608,0.5522867998874191,0.04980757458807148,0.852,0.303921568627451,0.3067546636698435,0.425,0.02878580397497532,0.17842760993299941,0.4996571010413735,[0.52046862 0.4477132  0.54229055 ... 0.54532086 0.5522868  0.48649733],0.39153219948460266,[0.50153289 0.23680241 0.40977924 ... 0.48344809 0.44826551 0.31399483],0.0023530061169314102,"[ 0.06779744 -0.1116353   0.00913499 ...  0.12424133  0.03686212
 -0.0813811 ]",0.99076660453162,p > 0.05,0.5972869565217391,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
5,wSMI_4_std,-100.35141658933266,206.70283317866532,0.12275733113634055,,,,,,,,,0.6882405664956082,0.253,0.5536072802326673,0.09583909257144539,0.5646,0.35435621725944305,0.215496928113825,0.6646,-0.04367788461538455,0.10247984663957443,0.5007122488038278,[0.49942302 0.44639272 0.53580073 ... 0.44601745 0.49942302 0.55398255],0.37589126613927837,[0.43576923 0.32001786 0.4136788  ... 0.58141697 0.26085819 0.37522282],-0.028070603104320083,"[ 0.01758737 -0.07353484  0.00453456 ...  0.02688871 -0.05651608
 -0.01076897]",0.99076660453162,p > 0.05,0.5972869565217391,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
6,wSMI_8_mean,-100.46664243546788,206.93328487093575,1.5122771150950824,,,,,,,,,0.6652947719193745,0.8718,0.44402148419176285,0.08697199133154315,0.9256,0.2612740141557129,0.22694973847805253,0.7272,-0.05234602922562581,0.09769127167186127,0.499021961722488,[0.48194718 0.4938573  0.43628155 ... 0.46047706 0.4938573  0.5061427 ],0.3671092871551059,[0.22455357 0.26532887 0.30525641 ... 0.32525084 0.26207792 0.55210895],-0.016499476213474907,"[-0.11349801 -0.05707753 -0.02945788 ... -0.03998712 -0.02462792
  0.00518298]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
7,wSMI_8_std,-100.56504472092928,207.13008944185856,-0.02238067702349167,,,,,,,,,0.9438380443770157,0.8014,0.4544305281921381,0.08643499289388039,0.822,0.30372807017543857,0.3042066658074721,0.1586,0.07197049279828185,0.09395620132974188,0.4990004916033398,[0.42424477 0.4924219  0.57878553 ... 0.4954522  0.53776386 0.54556947],0.39165065160880136,[0.43798077 0.40471562 0.37619958 ... 0.4380157  0.32857004 0.30908521],0.006570727218326302,"[-0.00498655  0.03920255  0.05135143 ...  0.04363263  0.05214389
  0.01696905]",0.99076660453162,p > 0.05,1.0,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
8,p_e_1_mean,-100.4040034403681,206.8080068807362,3.3285867756238297,,,,,,,,,0.5675932472319274,0.1776,0.5642133408387279,0.11093055840756255,0.7552,0.32360068792995617,0.2841903598854582,0.4026,0.0016859994604801753,0.12619176949973815,0.49890699971854774,[0.47990431 0.62535885 0.62535885 ... 0.50057698 0.45645933 0.37464115],0.3863826397334121,[0.42577839 0.32634726 0.37265357 ... 0.5735883  0.3905543  0.27497715],-0.016702794592719318,"[ 0.00658185  0.00929368  0.01562878 ... -0.03143719 -0.13338212
 -0.16070276]",0.99076660453162,p > 0.05,0.5972869565217391,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
9,p_e_1_std,-100.11247351410869,206.22494702821737,0.20948446690831654,,,,,,,,,0.5190490010981454,0.4402,0.512053194483535,0.09243287664224309,0.5584,0.38650876150876146,0.1921260183172721,0.7776,-0.04618903084419848,0.11507822683149985,0.5008124711511398,[0.42128014 0.48629562 0.42128014 ... 0.48629562 0.42128014 0.51370438],0.40043779564191384,[0.31683865 0.51573874 0.40901809 ... 0.5095706  0.25816993 0.26004728],-0.004503000041695383,"[-0.0546133  -0.02309995 -0.10743818 ... -0.03214384 -0.08810417
 -0.00253283]",0.99076660453162,p > 0.05,0.9142615384615385,p > 0.05,0.9998,p > 0.05,0.9984,p > 0.05
