auc,Model
0.325077399380805,Permutation
0.5356037151702786,Permutation
0.31578947368421056,Permutation
0.4798761609907121,Permutation
0.39628482972136225,Permutation
0.5820433436532508,Permutation
0.6811145510835914,Permutation
0.4674922600619195,Permutation
0.5820433436532508,Permutation
0.6068111455108359,Permutation
0.5263157894736843,Permutation
0.43343653250774,Permutation
0.5975232198142415,Permutation
0.5541795665634675,Permutation
0.4489164086687306,Permutation
0.5820433436532508,Permutation
0.5263157894736842,Permutation
0.4396284829721362,Permutation
0.5325077399380805,Permutation
0.36842105263157904,Permutation
0.6408668730650156,Permutation
0.4643962848297214,Permutation
0.40247678018575855,Permutation
0.5386996904024769,Permutation
0.4736842105263158,Permutation
0.4055727554179567,Permutation
0.56656346749226,Permutation
0.3653250773993808,Permutation
0.3560371517027864,Permutation
0.56656346749226,Permutation
0.47987616099071206,Permutation
0.4489164086687306,Permutation
0.44582043343653255,Permutation
0.5510835913312693,Permutation
0.4117647058823529,Permutation
0.3993808049535604,Permutation
0.40866873065015474,Permutation
0.5108359133126936,Permutation
0.26315789473684215,Permutation
0.5789473684210527,Permutation
0.65015479876161,Permutation
0.5634674922600619,Permutation
0.5325077399380805,Permutation
0.6625386996904026,Permutation
0.5356037151702786,Permutation
0.4643962848297214,Permutation
0.5541795665634675,Permutation
0.4860681114551083,Permutation
0.3808049535603715,Permutation
0.46439628482972134,Permutation
0.4674922600619196,Permutation
0.5820433436532508,Permutation
0.6222910216718266,Permutation
0.5263157894736843,Permutation
0.47678018575851394,Permutation
0.47058823529411764,Permutation
0.5015479876160991,Permutation
0.628482972136223,Permutation
0.43962848297213625,Permutation
0.4953560371517028,Permutation
0.5015479876160991,Permutation
0.3808049535603716,Permutation
0.6099071207430341,Permutation
0.6470588235294118,Permutation
0.46749226006191946,Permutation
0.46749226006191946,Permutation
0.476780185758514,Permutation
0.4055727554179567,Permutation
0.6222910216718267,Permutation
0.5015479876160991,Permutation
0.5448916408668731,Permutation
0.5139318885448916,Permutation
0.4984520123839009,Permutation
0.3777089783281734,Permutation
0.5913312693498451,Permutation
0.6037151702786377,Permutation
0.5789473684210527,Permutation
0.5386996904024768,Permutation
0.5201238390092879,Permutation
0.49845201238390097,Permutation
0.47678018575851394,Permutation
0.43962848297213625,Permutation
0.4984520123839009,Permutation
0.6006191950464396,Permutation
0.6037151702786377,Permutation
0.40247678018575855,Permutation
0.49226006191950467,Permutation
0.31269349845201244,Permutation
0.5603715170278638,Permutation
0.6439628482972136,Permutation
0.5170278637770898,Permutation
0.5046439628482973,Permutation
0.4055727554179567,Permutation
0.5572755417956656,Permutation
0.541795665634675,Permutation
0.4953560371517028,Permutation
0.5108359133126935,Permutation
0.5696594427244582,Permutation
0.48606811145510836,Permutation
0.39009287925696595,Permutation
0.6006191950464397,Permutation
0.48606811145510836,Permutation
0.4148606811145511,Permutation
0.4272445820433437,Permutation
0.48297213622291024,Permutation
0.43962848297213625,Permutation
0.5139318885448917,Permutation
0.3993808049535604,Permutation
0.3126934984520124,Permutation
0.5479876160990712,Permutation
0.368421052631579,Permutation
0.718266253869969,Permutation
0.43343653250773995,Permutation
0.4643962848297214,Permutation
0.44272445820433437,Permutation
0.5077399380804953,Permutation
0.5015479876160991,Permutation
0.6006191950464397,Permutation
0.5077399380804954,Permutation
0.5170278637770898,Permutation
0.5851393188854489,Permutation
0.5944272445820433,Permutation
0.5696594427244582,Permutation
0.34055727554179566,Permutation
0.2321981424148607,Permutation
0.4272445820433437,Permutation
0.5170278637770898,Permutation
0.24458204334365324,Permutation
0.48297213622291024,Permutation
0.5789473684210527,Permutation
0.3931888544891642,Permutation
0.40247678018575855,Permutation
0.38080495356037153,Permutation
0.563467492260062,Permutation
0.40247678018575855,Permutation
0.42724458204334365,Permutation
0.5603715170278638,Permutation
0.2786377708978328,Permutation
0.4520123839009288,Permutation
0.24148606811145512,Permutation
0.718266253869969,Permutation
0.6965944272445821,Permutation
0.325077399380805,Permutation
0.4953560371517028,Permutation
0.368421052631579,Permutation
0.6006191950464396,Permutation
0.32507739938080504,Permutation
0.6377708978328174,Permutation
0.4551083591331269,Permutation
0.5232198142414861,Permutation
0.4860681114551083,Permutation
0.6594427244582043,Permutation
0.7027863777089783,Permutation
0.46749226006191946,Permutation
0.43653250773993807,Permutation
0.49845201238390097,Permutation
0.5201238390092879,Permutation
0.49226006191950467,Permutation
0.4953560371517028,Permutation
0.3405572755417957,Permutation
0.26625386996904027,Permutation
0.5727554179566563,Permutation
0.6439628482972137,Permutation
0.5263157894736843,Permutation
0.6377708978328173,Permutation
0.4210526315789474,Permutation
0.49226006191950467,Permutation
0.5263157894736842,Permutation
0.40247678018575855,Permutation
0.3962848297213622,Permutation
0.4953560371517028,Permutation
0.47987616099071206,Permutation
0.5479876160990712,Permutation
0.6346749226006192,Permutation
0.45510835913312697,Permutation
0.4798761609907121,Permutation
0.6470588235294118,Permutation
0.7275541795665634,Permutation
0.3157894736842105,Permutation
0.39628482972136225,Permutation
0.4365325077399381,Permutation
0.4055727554179567,Permutation
0.563467492260062,Permutation
0.5201238390092879,Permutation
0.35913312693498456,Permutation
0.35294117647058826,Permutation
0.5046439628482973,Permutation
0.6625386996904025,Permutation
0.38080495356037153,Permutation
0.34984520123839014,Permutation
0.5232198142414861,Permutation
0.5479876160990712,Permutation
0.3746130030959752,Permutation
0.4551083591331269,Permutation
0.5789473684210527,Permutation
0.38080495356037153,Permutation
0.5139318885448916,Permutation
0.6037151702786377,Permutation
0.3777089783281734,Permutation
0.5232198142414861,Permutation
0.4458204334365326,Permutation
0.346749226006192,Permutation
0.6006191950464397,Permutation
0.5603715170278638,Permutation
0.5263157894736842,Permutation
0.5727554179566563,Permutation
0.5170278637770898,Permutation
0.6873065015479876,Permutation
0.36842105263157904,Permutation
0.5077399380804953,Permutation
0.5232198142414861,Permutation
0.3126934984520124,Permutation
0.49226006191950467,Permutation
0.5913312693498451,Permutation
0.6377708978328174,Permutation
0.5046439628482973,Permutation
0.49535603715170284,Permutation
0.5510835913312693,Permutation
0.5077399380804954,Permutation
0.45201238390092885,Permutation
0.3746130030959753,Permutation
0.43034055727554177,Permutation
0.4024767801857585,Permutation
0.390092879256966,Permutation
0.5201238390092879,Permutation
0.4736842105263159,Permutation
0.4984520123839009,Permutation
0.6780185758513932,Permutation
0.5325077399380805,Permutation
0.5541795665634676,Permutation
0.47368421052631576,Permutation
0.5541795665634675,Permutation
0.5541795665634675,Permutation
0.4798761609907121,Permutation
0.563467492260062,Permutation
0.5386996904024768,Permutation
0.5696594427244582,Permutation
0.6656346749226006,Permutation
0.4210526315789474,Permutation
0.6191950464396285,Permutation
0.31578947368421056,Permutation
0.4210526315789474,Permutation
0.5820433436532507,Permutation
0.5789473684210527,Permutation
0.39938080495356043,Permutation
0.37770897832817335,Permutation
0.4303405572755419,Permutation
0.6811145510835913,Permutation
0.2941176470588236,Permutation
0.5975232198142416,Permutation
0.4891640866873065,Permutation
0.5820433436532507,Permutation
0.4613003095975233,Permutation
0.5201238390092879,Permutation
0.6222910216718267,Permutation
0.671826625386997,Permutation
0.4551083591331269,Permutation
0.4891640866873065,Permutation
0.6377708978328174,Permutation
0.4458204334365325,Permutation
0.411764705882353,Permutation
0.5077399380804953,Permutation
0.7523219814241486,Permutation
0.42724458204334365,Permutation
0.4674922600619196,Permutation
0.4891640866873065,Permutation
0.455108359133127,Permutation
0.6780185758513931,Permutation
0.5913312693498453,Permutation
0.5170278637770899,Permutation
0.49226006191950467,Permutation
0.6934984520123839,Permutation
0.544891640866873,Permutation
0.5789473684210527,Permutation
0.47987616099071206,Permutation
0.5789473684210527,Permutation
0.628482972136223,Permutation
0.48297213622291024,Permutation
