,Marker,AUC_mean,AUC_std,AUC_sem,AUC_range,AUCs
0,wSMI_1_mean,0.639382940108893,0.03950015425570746,0.017665006007497895,0.10150635208711434,"[0.5858620689655173, 0.6873684210526316, 0.66, 0.5994736842105263, 0.6642105263157895]"
1,wSMI_1_std,0.6451004234724743,0.07298727391344322,0.03264090119257122,0.18456140350877182,"[0.5763793103448276, 0.7533333333333333, 0.5687719298245615, 0.6205263157894736, 0.7064912280701754]"
2,wSMI_2_mean,0.6280822746521476,0.05431272073298705,0.024289387120384247,0.15140350877192965,"[0.5865517241379311, 0.6115789473684211, 0.6368421052631579, 0.5770175438596492, 0.7284210526315789]"
3,wSMI_2_std,0.6347912885662431,0.057140705293651506,0.025554100263777368,0.16789473684210532,"[0.5944827586206897, 0.6422807017543859, 0.6570175438596492, 0.5561403508771929, 0.7240350877192983]"
4,wSMI_4_mean,0.6460260133091349,0.04586581438180645,0.020511815760221343,0.12846642468239566,"[0.5725862068965517, 0.6301754385964912, 0.6882456140350877, 0.6380701754385966, 0.7010526315789474]"
5,wSMI_4_std,0.6661349062310948,0.06178047721696991,0.027629069347904347,0.156167574107683,"[0.581551724137931, 0.6364912280701754, 0.7375438596491228, 0.6373684210526315, 0.737719298245614]"
6,wSMI_8_mean,0.6345366001209921,0.03683289601462874,0.01647217185937819,0.09999999999999998,"[0.6270689655172415, 0.6105263157894737, 0.6684210526315789, 0.5833333333333334, 0.6833333333333333]"
7,wSMI_8_std,0.6533127646702964,0.07056723954721882,0.03155862892241855,0.20315789473684198,"[0.6158620689655173, 0.6689473684210527, 0.7010526315789474, 0.5387719298245615, 0.7419298245614034]"
8,p_e_1_mean,0.6578844525105868,0.04120148965680371,0.018425866329373514,0.1210526315789473,"[0.6629310344827586, 0.7263157894736842, 0.605263157894737, 0.6275438596491228, 0.6673684210526316]"
9,p_e_1_std,0.6538166969147006,0.06288773091532107,0.028124248255474597,0.14684210526315788,"[0.5922413793103448, 0.7101754385964912, 0.6971929824561404, 0.5633333333333334, 0.706140350877193]"
10,p_e_2_mean,0.6431669691470054,0.055498861758158054,0.02481984551302098,0.1290774349667272,"[0.5774137931034482, 0.6535087719298245, 0.7064912280701754, 0.5803508771929825, 0.6980701754385965]"
11,p_e_2_std,0.6517531760435571,0.06369517391592423,0.02848534774293561,0.1703569267997581,"[0.5503448275862068, 0.720701754385965, 0.6635087719298245, 0.6126315789473684, 0.711578947368421]"
12,p_e_4_mean,0.6380187537810043,0.08355328673143604,0.037366165775004435,0.24341500302480346,"[0.5446551724137931, 0.6587719298245613, 0.6103508771929824, 0.5882456140350878, 0.7880701754385966]"
13,p_e_4_std,0.6671373260738053,0.03256173979611595,0.014562052729955081,0.08571687840290387,"[0.6258620689655172, 0.6968421052631578, 0.660701754385965, 0.6407017543859649, 0.7115789473684211]"
