,markers,AUC,p_value,p_corrected,significant
0,wSMI_1_mean,0.3875,0.9170829170829171,0.988011988011988,p > 0.05
1,wSMI_1_mean,0.475,0.9170829170829171,0.988011988011988,p > 0.05
2,wSMI_1_mean,0.7,0.9170829170829171,0.988011988011988,p > 0.05
3,wSMI_1_mean,0.56875,0.9170829170829171,0.988011988011988,p > 0.05
4,wSMI_1_mean,0.25308641975308643,0.9170829170829171,0.988011988011988,p > 0.05
5,wSMI_1_mean,0.4938271604938272,0.9170829170829171,0.988011988011988,p > 0.05
6,wSMI_1_mean,0.3888888888888889,0.9170829170829171,0.988011988011988,p > 0.05
7,wSMI_1_mean,0.4027777777777778,0.9170829170829171,0.988011988011988,p > 0.05
8,wSMI_1_mean,0.27083333333333337,0.9170829170829171,0.988011988011988,p > 0.05
9,wSMI_1_mean,0.2638888888888889,0.9170829170829171,0.988011988011988,p > 0.05
10,wSMI_1_std,0.6625000000000001,0.7022977022977023,0.988011988011988,p > 0.05
11,wSMI_1_std,0.4375,0.7022977022977023,0.988011988011988,p > 0.05
12,wSMI_1_std,0.625,0.7022977022977023,0.988011988011988,p > 0.05
13,wSMI_1_std,0.13749999999999998,0.7022977022977023,0.988011988011988,p > 0.05
14,wSMI_1_std,0.3827160493827161,0.7022977022977023,0.988011988011988,p > 0.05
15,wSMI_1_std,0.6419753086419753,0.7022977022977023,0.988011988011988,p > 0.05
16,wSMI_1_std,0.2847222222222222,0.7022977022977023,0.988011988011988,p > 0.05
17,wSMI_1_std,0.2916666666666667,0.7022977022977023,0.988011988011988,p > 0.05
18,wSMI_1_std,0.5833333333333333,0.7022977022977023,0.988011988011988,p > 0.05
19,wSMI_1_std,0.5972222222222223,0.7022977022977023,0.988011988011988,p > 0.05
20,wSMI_2_mean,0.60625,0.13786213786213786,0.6893106893106893,p > 0.05
21,wSMI_2_mean,0.7375,0.13786213786213786,0.6893106893106893,p > 0.05
22,wSMI_2_mean,0.35,0.13786213786213786,0.6893106893106893,p > 0.05
23,wSMI_2_mean,0.4875,0.13786213786213786,0.6893106893106893,p > 0.05
24,wSMI_2_mean,0.5679012345679013,0.13786213786213786,0.6893106893106893,p > 0.05
25,wSMI_2_mean,0.5864197530864197,0.13786213786213786,0.6893106893106893,p > 0.05
26,wSMI_2_mean,0.6944444444444444,0.13786213786213786,0.6893106893106893,p > 0.05
27,wSMI_2_mean,0.3333333333333333,0.13786213786213786,0.6893106893106893,p > 0.05
28,wSMI_2_mean,0.5694444444444444,0.13786213786213786,0.6893106893106893,p > 0.05
29,wSMI_2_mean,0.6944444444444444,0.13786213786213786,0.6893106893106893,p > 0.05
30,wSMI_2_std,0.7562500000000001,0.0999000999000999,0.5494505494505495,p > 0.05
31,wSMI_2_std,0.35000000000000003,0.0999000999000999,0.5494505494505495,p > 0.05
32,wSMI_2_std,0.5812499999999999,0.0999000999000999,0.5494505494505495,p > 0.05
33,wSMI_2_std,0.6875,0.0999000999000999,0.5494505494505495,p > 0.05
34,wSMI_2_std,0.7654320987654322,0.0999000999000999,0.5494505494505495,p > 0.05
35,wSMI_2_std,0.5555555555555556,0.0999000999000999,0.5494505494505495,p > 0.05
36,wSMI_2_std,0.5208333333333334,0.0999000999000999,0.5494505494505495,p > 0.05
37,wSMI_2_std,0.39583333333333337,0.0999000999000999,0.5494505494505495,p > 0.05
38,wSMI_2_std,0.6388888888888888,0.0999000999000999,0.5494505494505495,p > 0.05
39,wSMI_2_std,0.5208333333333334,0.0999000999000999,0.5494505494505495,p > 0.05
40,wSMI_4_mean,0.3625,0.8771228771228772,0.988011988011988,p > 0.05
41,wSMI_4_mean,0.35,0.8771228771228772,0.988011988011988,p > 0.05
42,wSMI_4_mean,0.46875000000000006,0.8771228771228772,0.988011988011988,p > 0.05
43,wSMI_4_mean,0.39374999999999993,0.8771228771228772,0.988011988011988,p > 0.05
44,wSMI_4_mean,0.537037037037037,0.8771228771228772,0.988011988011988,p > 0.05
45,wSMI_4_mean,0.728395061728395,0.8771228771228772,0.988011988011988,p > 0.05
46,wSMI_4_mean,0.6597222222222223,0.8771228771228772,0.988011988011988,p > 0.05
47,wSMI_4_mean,0.20833333333333334,0.8771228771228772,0.988011988011988,p > 0.05
48,wSMI_4_mean,0.22222222222222224,0.8771228771228772,0.988011988011988,p > 0.05
49,wSMI_4_mean,0.4166666666666667,0.8771228771228772,0.988011988011988,p > 0.05
50,wSMI_4_std,0.525,0.987012987012987,0.988011988011988,p > 0.05
51,wSMI_4_std,0.23125000000000004,0.987012987012987,0.988011988011988,p > 0.05
52,wSMI_4_std,0.41875,0.987012987012987,0.988011988011988,p > 0.05
53,wSMI_4_std,0.60625,0.987012987012987,0.988011988011988,p > 0.05
54,wSMI_4_std,0.35802469135802467,0.987012987012987,0.988011988011988,p > 0.05
55,wSMI_4_std,0.4691358024691358,0.987012987012987,0.988011988011988,p > 0.05
56,wSMI_4_std,0.13194444444444448,0.987012987012987,0.988011988011988,p > 0.05
57,wSMI_4_std,0.4166666666666667,0.987012987012987,0.988011988011988,p > 0.05
58,wSMI_4_std,0.2916666666666667,0.987012987012987,0.988011988011988,p > 0.05
59,wSMI_4_std,0.2361111111111111,0.987012987012987,0.988011988011988,p > 0.05
60,wSMI_8_mean,0.4625,0.061938061938061936,0.3785103785103785,p > 0.05
61,wSMI_8_mean,0.6562500000000001,0.061938061938061936,0.3785103785103785,p > 0.05
62,wSMI_8_mean,0.54375,0.061938061938061936,0.3785103785103785,p > 0.05
63,wSMI_8_mean,0.4625,0.061938061938061936,0.3785103785103785,p > 0.05
64,wSMI_8_mean,0.6604938271604939,0.061938061938061936,0.3785103785103785,p > 0.05
65,wSMI_8_mean,0.7469135802469136,0.061938061938061936,0.3785103785103785,p > 0.05
66,wSMI_8_mean,0.5972222222222223,0.061938061938061936,0.3785103785103785,p > 0.05
67,wSMI_8_mean,0.5,0.061938061938061936,0.3785103785103785,p > 0.05
68,wSMI_8_mean,0.6111111111111112,0.061938061938061936,0.3785103785103785,p > 0.05
69,wSMI_8_mean,0.625,0.061938061938061936,0.3785103785103785,p > 0.05
70,wSMI_8_std,0.34375,0.8911088911088911,0.988011988011988,p > 0.05
71,wSMI_8_std,0.48750000000000004,0.8911088911088911,0.988011988011988,p > 0.05
72,wSMI_8_std,0.5375,0.8911088911088911,0.988011988011988,p > 0.05
73,wSMI_8_std,0.39375,0.8911088911088911,0.988011988011988,p > 0.05
74,wSMI_8_std,0.37037037037037035,0.8911088911088911,0.988011988011988,p > 0.05
