,auc,Model
0,0.5583968459546346,Shuffled
1,0.47938584753512614,Shuffled
2,0.5220048767238292,Shuffled
3,0.47550774557499953,Shuffled
4,0.4613802129790979,Shuffled
5,0.5437288235035534,Shuffled
6,0.49070203664243167,Shuffled
7,0.5620127955093459,Shuffled
8,0.4952878246530604,Shuffled
9,0.4703167535979261,Shuffled
10,0.48124038401438163,Shuffled
11,0.49192342546500856,Shuffled
12,0.5184522628905,Shuffled
13,0.5097099628575377,Shuffled
14,0.526233780260296,Shuffled
15,0.48837099851914567,Shuffled
16,0.5473522633072527,Shuffled
17,0.5095033525176673,Shuffled
18,0.5515552532968225,Shuffled
19,0.5324694581904126,Shuffled
20,0.5313054976783584,Shuffled
21,0.5362929361178963,Shuffled
22,0.4708159472828414,Shuffled
23,0.5214334874463535,Shuffled
24,0.5537538489475129,Shuffled
25,0.4831669238848981,Shuffled
26,0.47347192814935835,Shuffled
27,0.4746333504715863,Shuffled
28,0.5522511761885491,Shuffled
29,0.5124980899929455,Shuffled
30,0.5411572543838354,Shuffled
31,0.5395152331986353,Shuffled
32,0.517512825539185,Shuffled
33,0.5144478341698837,Shuffled
34,0.5817191106073742,Shuffled
35,0.5180614290642549,Shuffled
36,0.48430097354862955,Shuffled
37,0.47659341254232146,Shuffled
38,0.4629015175793822,Shuffled
39,0.4658894449200598,Shuffled
40,0.5439670874526071,Shuffled
41,0.4890171866366078,Shuffled
42,0.5487601371590952,Shuffled
43,0.5322069381530052,Shuffled
44,0.49428138682138956,Shuffled
45,0.4985599046519624,Shuffled
46,0.5403618512379846,Shuffled
47,0.5234484280434607,Shuffled
48,0.49686868766420494,Shuffled
49,0.47628193831839677,Shuffled
50,0.514335279026297,Shuffled
51,0.4649767588417008,Shuffled
52,0.4422301491328925,Shuffled
53,0.5601791753997636,Shuffled
54,0.48038000813864457,Shuffled
55,0.5848060865471745,Shuffled
56,0.5042851906530489,Shuffled
57,0.4782993715849068,Shuffled
58,0.5270591695776434,Shuffled
59,0.49952996277668477,Shuffled
60,0.4754648882937517,Shuffled
61,0.47042914860934487,Shuffled
62,0.49333865596801313,Shuffled
63,0.4814086104756784,Shuffled
64,0.5261672068023758,Shuffled
65,0.4853518442725858,Shuffled
66,0.5111073238762215,Shuffled
67,0.49108348213447445,Shuffled
68,0.5511457867558436,Shuffled
69,0.48494081957607804,Shuffled
70,0.5409857486581733,Shuffled
71,0.5448430474155336,Shuffled
72,0.48484923352552356,Shuffled
73,0.45926592692050516,Shuffled
74,0.4964501585721825,Shuffled
75,0.5186558561718109,Shuffled
76,0.5648636779046244,Shuffled
77,0.4907109163941058,Shuffled
78,0.4420108716365564,Shuffled
79,0.4883401214075903,Shuffled
80,0.4775701934816121,Shuffled
81,0.5286837763300529,Shuffled
82,0.5117261907837494,Shuffled
83,0.5852625384575575,Shuffled
84,0.49584495707389264,Shuffled
85,0.4944846140523208,Shuffled
86,0.5001849206637751,Shuffled
87,0.5364071151370551,Shuffled
88,0.4930111548748025,Shuffled
89,0.5450287815486026,Shuffled
90,0.4452827470816728,Shuffled
91,0.4999220155835687,Shuffled
92,0.5118319827467256,Shuffled
93,0.47729556474754453,Shuffled
94,0.5342982830542043,Shuffled
95,0.5598645216295556,Shuffled
96,0.4899690729167343,Shuffled
97,0.5305912780486393,Shuffled
98,0.5001125491760459,Shuffled
99,0.5099638808146894,Shuffled
100,0.49153541707557463,Shuffled
101,0.5032629312402725,Shuffled
102,0.4898807029397954,Shuffled
103,0.5008597943564356,Shuffled
104,0.49232129869880953,Shuffled
105,0.5083521189766019,Shuffled
106,0.4897412752920056,Shuffled
107,0.52368370464639,Shuffled
108,0.4475470956015311,Shuffled
109,0.46032353448468155,Shuffled
110,0.5245503056535714,Shuffled
111,0.49439866447250547,Shuffled
112,0.49814156640660184,Shuffled
113,0.4415869272814096,Shuffled
114,0.5241538696829495,Shuffled
115,0.48553848114617965,Shuffled
116,0.468162739332428,Shuffled
117,0.49061757325318245,Shuffled
118,0.5108215210493222,Shuffled
119,0.5452353519897506,Shuffled
120,0.46177590573634264,Shuffled
121,0.6012170184150796,Shuffled
122,0.6149284535965891,Shuffled
123,0.5003819518820493,Shuffled
124,0.45372275737671625,Shuffled
125,0.5107664986350711,Shuffled
126,0.5160356395960963,Shuffled
127,0.5005084546623284,Shuffled
128,0.5730814888748665,Shuffled
129,0.5293256877016754,Shuffled
130,0.45781038395517903,Shuffled
131,0.4132605510294173,Shuffled
132,0.5004175618754321,Shuffled
133,0.4636151220578245,Shuffled
134,0.5381212932501771,Shuffled
135,0.5296577791332833,Shuffled
136,0.5084654375740513,Shuffled
137,0.5164421661325492,Shuffled
138,0.4739677616915278,Shuffled
139,0.44698728427974804,Shuffled
140,0.4857362386471563,Shuffled
141,0.5095246995812251,Shuffled
142,0.513430036337931,Shuffled
143,0.5620930188668234,Shuffled
144,0.47495064542480536,Shuffled
145,0.5120164787000187,Shuffled
146,0.4985934341244372,Shuffled
147,0.5234355537542978,Shuffled
148,0.47564511605605303,Shuffled
149,0.42430943227549633,Shuffled
150,0.4745179844862055,Shuffled
151,0.47649211299761574,Shuffled
152,0.505110386934482,Shuffled
153,0.5039907325959672,Shuffled
154,0.5468907959575798,Shuffled
155,0.4670833630607504,Shuffled
156,0.5324457424664851,Shuffled
157,0.5058503019316554,Shuffled
158,0.4595452449712603,Shuffled
159,0.49949317089951106,Shuffled
160,0.5381645608344083,Shuffled
161,0.4764032414327609,Shuffled
162,0.4682065471596493,Shuffled
163,0.45591787870430733,Shuffled
164,0.5033019604183689,Shuffled
165,0.48075245628554447,Shuffled
166,0.5719768779044883,Shuffled
167,0.5569894961368923,Shuffled
168,0.46647710719672614,Shuffled
169,0.42055318375900336,Shuffled
170,0.46662697074422443,Shuffled
171,0.547324818586223,Shuffled
172,0.5618740529169001,Shuffled
173,0.5104508226281359,Shuffled
174,0.46002404790711343,Shuffled
175,0.47376100044774005,Shuffled
176,0.5200522903240723,Shuffled
177,0.4778617995824675,Shuffled
178,0.5194696785895191,Shuffled
179,0.5358182690367009,Shuffled
180,0.4889991250049306,Shuffled
181,0.5290874294633904,Shuffled
182,0.5033759319484943,Shuffled
183,0.4525913766086201,Shuffled
184,0.48666264377084045,Shuffled
185,0.45384748365219607,Shuffled
186,0.5234135467215963,Shuffled
187,0.4701192870806373,Shuffled
188,0.455717311342954,Shuffled
189,0.4774961393487576,Shuffled
190,0.427918860273577,Shuffled
191,0.4883779902758688,Shuffled
192,0.49952225603565,Shuffled
193,0.4885012711376939,Shuffled
194,0.5177553685058306,Shuffled
195,0.5637549452999367,Shuffled
196,0.548755940588969,Shuffled
197,0.5363263931555671,Shuffled
198,0.5240787388364353,Shuffled
199,0.49933699012575306,Shuffled
200,0.48778100654591094,Shuffled
201,0.4987310146875032,Shuffled
202,0.5363801671068752,Shuffled
203,0.5010203908982346,Shuffled
204,0.5108829649408276,Shuffled
205,0.4855230991728224,Shuffled
206,0.42168986572284234,Shuffled
207,0.48646444039618925,Shuffled
208,0.4863762347511312,Shuffled
209,0.5215071812266997,Shuffled
210,0.4888820650898239,Shuffled
211,0.4635590182864184,Shuffled
212,0.4460666880674168,Shuffled
213,0.4908780988289185,Shuffled
214,0.46369222456761,Shuffled
215,0.5408218437255247,Shuffled
216,0.5080900026823436,Shuffled
217,0.47157684679274486,Shuffled
218,0.5348113759813111,Shuffled
219,0.5194919510088155,Shuffled
220,0.5242227300425919,Shuffled
221,0.4892028115364466,Shuffled
222,0.4741568550989129,Shuffled
223,0.4887924593619394,Shuffled
224,0.5134933150781273,Shuffled
225,0.507622731910449,Shuffled
226,0.4444010596264092,Shuffled
227,0.46382495545929564,Shuffled
228,0.4675092509990102,Shuffled
229,0.5309790894333599,Shuffled
230,0.44321471909549803,Shuffled
231,0.5714145201277172,Shuffled
232,0.4842147048719778,Shuffled
233,0.41139871557659424,Shuffled
234,0.5409435738904879,Shuffled
235,0.5055772206682128,Shuffled
236,0.517969961054203,Shuffled
237,0.46347374135095015,Shuffled
238,0.5180619102114279,Shuffled
239,0.47431246146243156,Shuffled
240,0.5402254459276772,Shuffled
241,0.4767246228909922,Shuffled
242,0.536717306306594,Shuffled
243,0.4891770948706517,Shuffled
244,0.4688927711003282,Shuffled
245,0.5088822736359906,Shuffled
246,0.48948849079000667,Shuffled
247,0.5004084048918057,Shuffled
248,0.5093911351181487,Shuffled
249,0.4834532705454178,Shuffled
250,0.4230204518963502,Shuffled
251,0.4803732829289465,Shuffled
252,0.44583878167287827,Shuffled
253,0.5615936412591533,Shuffled
254,0.43369965610483235,Shuffled
255,0.4459781652502313,Shuffled
256,0.49992343054354677,Shuffled
257,0.47744865908201034,Shuffled
258,0.4882086236652764,Shuffled
259,0.4710126936254004,Shuffled
260,0.5180958236382766,Shuffled
261,0.47526115847786904,Shuffled
262,0.49454807323809336,Shuffled
263,0.49005801121856124,Shuffled
264,0.46192457663303693,Shuffled
265,0.5101228278648826,Shuffled
266,0.5166797900195994,Shuffled
267,0.5028618236338824,Shuffled
268,0.490679585432052,Shuffled
269,0.513278126412188,Shuffled
270,0.5139257590921011,Shuffled
271,0.5148845264960137,Shuffled
272,0.5319351027633727,Shuffled
273,0.48307783828266376,Shuffled
274,0.5217560715471958,Shuffled
275,0.5234035417901317,Shuffled
276,0.5196801024617106,Shuffled
277,0.48807392350236717,Shuffled
278,0.46252629935655654,Shuffled
279,0.4749360253507023,Shuffled
280,0.4822893517932504,Shuffled
281,0.45290112471479815,Shuffled
282,0.5962328275814353,Shuffled
283,0.536262284140901,Shuffled
284,0.43867633495045066,Shuffled
285,0.43809775492825026,Shuffled
286,0.45176450818049335,Shuffled
287,0.4958699227891808,Shuffled
288,0.5206625505284725,Shuffled
289,0.47831587480688087,Shuffled
290,0.46660809734417497,Shuffled
291,0.47735874440179593,Shuffled
292,0.533468311880927,Shuffled
293,0.5039430762399986,Shuffled
294,0.493115509326213,Shuffled
295,0.5297467023928331,Shuffled
296,0.4858136859492448,Shuffled
297,0.569728879229174,Shuffled
298,0.560201347330856,Shuffled
299,0.4699875644642744,Shuffled
300,0.5282324017451268,Shuffled
301,0.5120705591298896,Shuffled
302,0.495682357753849,Shuffled
303,0.5028684721254809,Shuffled
304,0.49313752571048913,Shuffled
305,0.516170839451448,Shuffled
306,0.4646433314843049,Shuffled
307,0.461903509561813,Shuffled
308,0.48644168644842384,Shuffled
309,0.5434482428240512,Shuffled
310,0.5020876501993978,Shuffled
311,0.5055667784167968,Shuffled
312,0.5406254289010664,Shuffled
313,0.5043860200055137,Shuffled
314,0.4908738356451495,Shuffled
315,0.4363326807995135,Shuffled
