,markers,AUC,p_value,p_corrected,significant
0,wSMI_1,0.4927448450214626,0.3843806894864651,0.45426808757491327,p > 0.05
1,wSMI_2,0.5181444710715509,0.23096997767776806,0.31606417998010367,p > 0.05
2,wSMI_4,0.5206857504016011,0.20081093379294496,0.31606417998010367,p > 0.05
3,wSMI_8,0.5112448318542122,0.32426218739075374,0.42154084360797983,p > 0.05
4,p_e_1,0.5182103073236246,0.23015804797957068,0.31606417998010367,p > 0.05
5,p_e_2,0.5225423327100835,0.18035068409966132,0.31606417998010367,p > 0.05
6,p_e_4,0.4397729966028494,0.007293260345101261,0.06320825632421093,p < 0.05 uncorrected
7,p_e_8,0.4814473441655913,0.22596185055481743,0.31606417998010367,p > 0.05
8,k,0.47977510336291573,0.2060964294458162,0.31606417998010367,p > 0.05
9,msf,0.45930002896795097,0.04942165309067732,0.1835661400510872,p < 0.05 uncorrected
10,sef90,0.48181602717720484,0.23048260822714517,0.31606417998010367,p > 0.05
11,sef95,0.4920864825007242,0.37421959427084306,0.45426808757491327,p > 0.05
12,b,0.45303241777052117,0.028409843328390142,0.1835661400510872,p < 0.05 uncorrected
13,b_n,0.42132567877175886,0.000709663033881109,0.018451238880908834,p < 0.05 FDR corrected
14,g,0.4815263476680799,0.22692634681237545,0.31606417998010367,p > 0.05
15,g_n,0.5012508887894029,0.47987477079219815,0.47987477079219815,p > 0.05
16,t,0.5186184920864826,0.22515987719828073,0.31606417998010367,p > 0.05
17,t_n,0.5647565375398309,0.004317214127191464,0.05612378365348902,p < 0.05 uncorrected
18,d,0.4971163721591657,0.4535527414811683,0.47987477079219815,p > 0.05
19,d_n,0.5012640560398178,0.4796619890281185,0.47987477079219815,p > 0.05
20,a_n,0.4758907644905591,0.16414064918835575,0.31606417998010367,p > 0.05
21,a,0.4810259921523187,0.2208571884304511,0.31606417998010367,p > 0.05
22,CNV,0.5030811365970558,0.4503801059203475,0.47987477079219815,p > 0.05
23,P1,0.5429515708529745,0.04077088624685288,0.1835661400510872,p < 0.05 uncorrected
24,P3a,0.522858346720038,0.17700306804954324,0.31606417998010367,p > 0.05
25,P3b,0.5424907170884576,0.0424336162584598,0.1835661400510872,p < 0.05 uncorrected
