,auc
0,0.6206896551724139
1,0.6303448275862069
2,0.6110344827586207
3,0.646896551724138
4,0.5503448275862068
5,0.7544827586206896
6,0.7485714285714286
7,0.6485714285714285
8,0.6071428571428571
9,0.6742857142857143
