,features,value
14,$PE\theta_{mean}$,0.021223541155468963
26,$\beta_{mean}$,0.020730498337999642
44,$\alpha_{mean}$,0.02056411131752478
42,$|\alpha|_{mean}$,0.02010139723737978
10,$PE\beta_{mean}$,0.019745452952956745
34,$\theta_{mean}$,0.019537974213745053
40,$|\delta|_{mean}$,0.019494171043691003
12,$PE\alpha_{mean}$,0.019274269996363922
24,$SEF95_{mean}$,0.01904388881010579
20,$MSF_{mean}$,0.018991539972816922
8,$PE\gamma_{mean}$,0.018965006898445838
18,$SE_{mean}$,0.01893288696335024
30,$\gamma_{mean}$,0.01891422150114395
51,$P3a_{std}$,0.018784917622000765
43,$|\alpha|_{std}$,0.018755643537598704
16,$K_{mean}$,0.01873698413804662
28,$|\beta|_{mean}$,0.018689860938403354
6,$wSMI\theta_{mean}$,0.018574480938477033
32,$|\gamma|_{mean}$,0.018564238680894664
49,$P1_{std}$,0.018519403240281663
1,$wSMI\gamma_{std}$,0.018484898218130656
36,$|\theta|_{mean}$,0.01847720157802235
22,$SEF90_{mean}$,0.018471618572495595
2,$wSMI\beta_{mean}$,0.018316606709757502
52,$P3b_{mean}$,0.01828861740114979
0,$wSMI\gamma_{mean}$,0.01828334313148537
37,$|\theta|_{std}$,0.018264809360654253
11,$PE\beta_{std}$,0.01824738545808319
48,$P1_{mean}$,0.01818547433098129
45,$\alpha_{std}$,0.018170177958320936
5,$wSMI\alpha_{std}$,0.018161797032096003
53,$P3b_{std}$,0.018136685805782152
27,$\beta_{std}$,0.018121730196400676
38,$\delta_{mean}$,0.018111149474324798
21,$MSF_{std}$,0.01810864312419256
31,$\gamma_{std}$,0.018107901201339562
4,$wSMI\alpha_{mean}$,0.018082259360401327
9,$PE\gamma_{std}$,0.018050452945463997
17,$K_{std}$,0.018038962193764274
7,$wSMI\theta_{std}$,0.018028416598035737
15,$PE\theta_{std}$,0.01801547422227475
35,$\theta_{std}$,0.017951065057957974
25,$SEF95_{std}$,0.017918060975095518
13,$PE\alpha_{std}$,0.01791401805889888
39,$\delta_{std}$,0.017897383323160754
19,$SE_{std}$,0.017891831131198493
3,$wSMI\beta_{std}$,0.017875747295896523
46,$CNV_{mean}$,0.017819383806871248
33,$|\gamma|_{std}$,0.01779477938650283
29,$|\beta|_{std}$,0.017781885552481662
41,$|\delta|_{std}$,0.01777922341070308
23,$SEF90_{std}$,0.017752531944482616
47,$CNV_{std}$,0.017722685393682075
50,$P3a_{mean}$,0.017603310293216285
