,auc
0,0.5429487179487179
1,0.5365384615384615
2,0.7903846153846154
3,0.6353333333333333
4,0.5533333333333333
5,0.4073333333333333
6,0.6033333333333334
7,0.5046666666666667
8,0.7153333333333334
9,0.6578249336870028
