,markers,AUC,p_value,p_corrected,significant
0,wSMI_1,0.45596723142803947,0.11282245710803301,0.29333838848088584,p > 0.05
1,wSMI_2,0.5152361447278595,0.33771930001685746,0.41812865716372827,p > 0.05
2,wSMI_4,0.5155464531744554,0.33460211018768227,0.41812865716372827,p > 0.05
3,wSMI_8,0.5369577359895736,0.15461662815128185,0.33500269432777735,p > 0.05
4,p_e_1,0.5159808849996896,0.330257169081169,0.41812865716372827,p > 0.05
5,p_e_2,0.5013963880096816,0.48500443721025216,0.48772994775149464,p > 0.05
6,p_e_4,0.4677589523986843,0.18755260837356108,0.3483119869794706,p > 0.05
7,p_e_8,0.5880965679885806,0.007653842347483183,0.07529171018266113,p < 0.05 uncorrected
8,k,0.5220939613976292,0.27174552824418685,0.41812865716372827,p > 0.05
9,msf,0.579563085707193,0.014260797776196519,0.07529171018266113,p < 0.05 uncorrected
10,sef90,0.5494321355427295,0.08686212532219229,0.2509350287085555,p > 0.05
11,sef95,0.5522559424067522,0.07520396776960434,0.24441289525121407,p > 0.05
12,b,0.47011729659281326,0.20553543864184853,0.35626142697920415,p > 0.05
13,b_n,0.496121144417551,0.4578087799095159,0.48772994775149464,p > 0.05
14,g,0.5166635635822007,0.3234755973540001,0.41812865716372827,p > 0.05
15,g_n,0.5737603177558493,0.021165744819405176,0.09171822755075576,p < 0.05 uncorrected
16,t,0.42065413020542425,0.014479175035127141,0.07529171018266113,p < 0.05 uncorrected
17,t_n,0.40985539626388634,0.0065431438430887,0.07529171018266113,p < 0.05 uncorrected
18,d,0.45876000744740275,0.12823992166631248,0.303112542120375,p > 0.05
19,d_n,0.43554893564202823,0.03803966086840898,0.14129016893980478,p < 0.05 uncorrected
20,a_n,0.583441941289642,0.010813820357129382,0.07529171018266113,p < 0.05 uncorrected
21,a,0.5162911934462856,0.32716755051824714,0.41812865716372827,p > 0.05
22,CNV,0.49866567367963754,0.48568575415190307,0.48772994775149464,p > 0.05
23,P1,0.5334202196983802,0.17893760178196172,0.3483119869794706,p > 0.05
24,P3a,0.5011481412524049,0.48772994775149464,0.48772994775149464,p > 0.05
25,P3b,0.511015949854155,0.3811407180896722,0.4504390304696126,p > 0.05
