,wSMI_1_mean,wSMI_1_std,wSMI_2_mean,wSMI_2_std,wSMI_4_mean,wSMI_4_std,wSMI_8_mean,wSMI_8_std,p_e_1_mean,p_e_1_std,p_e_2_mean,p_e_2_std,p_e_4_mean,p_e_4_std,p_e_8_mean,p_e_8_std,k_mean,k_std,b_mean,b_std,b_n_mean,b_n_std,g_mean,g_std,g_n_mean,g_n_std,t_mean,t_std,t_n_mean,t_n_std,d_mean,d_std,d_n_mean,d_n_std,a_n_mean,a_n_std,a_mean,a_std,CNV_mean,CNV_std,P1_mean,P1_std,P3a_mean,P3a_std,P3b_mean,P3b_std
0,0.5875,0.25,0.38750000000000007,0.3125,0.5625,0.2625,0.45,0.44999999999999996,0.6125,0.55,0.6125,0.3375,0.41250000000000003,0.625,0.36250000000000004,0.6,0.6375,0.6000000000000001,0.475,0.30000000000000004,0.5625,0.2875,0.525,0.475,0.44999999999999996,0.6125,0.6625,0.3125,0.7125,0.55,0.375,0.5249999999999999,0.47500000000000003,0.725,0.875,0.575,0.55,0.6,0.5625,0.5374999999999999,0.5375,0.0875,0.525,0.5375,0.5249999999999999,0.3375
1,0.275,0.6499999999999999,0.3875,0.475,0.575,0.3125,0.4375,0.6375,0.6375000000000001,0.6875,0.575,0.6125,0.675,0.575,0.26249999999999996,0.6249999999999999,0.41250000000000003,0.4625,0.8375,0.6000000000000001,0.7625,0.625,0.175,0.3875,0.6375000000000001,0.42500000000000004,0.425,0.3,0.7125,0.875,0.45,0.3125,0.85,0.25,0.4375,0.5,0.575,0.45,0.6125,0.30000000000000004,0.6125,0.47500000000000003,0.49999999999999994,0.6625,0.4875,0.5625
2,0.625,0.5125000000000001,0.21250000000000002,0.32499999999999996,0.6,0.3625,0.5125,0.625,0.4,0.44999999999999996,0.47500000000000003,0.7749999999999999,0.625,0.8125,0.525,0.525,0.5499999999999999,0.7000000000000001,0.7500000000000001,0.575,0.425,0.25,0.1875,0.675,0.4625,0.5375,0.24999999999999997,0.55,0.7250000000000001,0.5625,0.225,0.6,0.24999999999999997,0.5125,0.475,0.3375,0.7625,0.6499999999999999,0.44999999999999996,0.3375,0.525,0.35,0.32499999999999996,0.575,0.7374999999999999,0.42500000000000004
3,0.45,0.2875,0.375,0.4125,0.48750000000000004,0.43749999999999994,0.4375,0.36250000000000004,0.7,0.675,0.41250000000000003,0.6000000000000001,0.4625,0.475,0.5625,0.5125,0.5,0.55,0.5,0.35,0.475,0.625,0.41250000000000003,0.4375,0.43750000000000006,0.5625,0.575,0.5375000000000001,0.6875,0.675,0.6125,0.5625000000000001,0.5875,0.45,0.4875,0.525,0.475,0.5,0.5375,0.36250000000000004,0.46249999999999997,0.5125,0.6125,0.5375,0.4625,0.45
4,0.17283950617283952,0.6419753086419753,0.5555555555555556,0.4197530864197531,0.345679012345679,0.33333333333333337,0.5308641975308642,0.691358024691358,0.17283950617283952,0.37037037037037035,0.7407407407407407,0.40740740740740744,0.5308641975308642,0.7160493827160495,0.4567901234567901,0.4938271604938272,0.345679012345679,0.5679012345679013,0.5432098765432098,0.654320987654321,0.5308641975308642,0.654320987654321,0.4567901234567901,0.24691358024691362,0.9259259259259259,0.41975308641975306,0.41975308641975306,0.6790123456790123,0.5061728395061729,0.7901234567901234,0.4444444444444444,0.4197530864197531,0.54320987654321,0.2962962962962963,0.5555555555555556,0.41975308641975306,0.5308641975308642,0.5802469135802469,0.6419753086419753,0.345679012345679,0.654320987654321,0.5555555555555556,0.49382716049382713,0.3580246913580247,0.7654320987654321,0.5555555555555556
5,0.7037037037037037,0.4814814814814815,0.6419753086419753,0.5925925925925926,0.2716049382716049,0.32098765432098764,0.617283950617284,0.5308641975308642,0.4567901234567901,0.2839506172839506,0.49382716049382713,0.271604938271605,0.5061728395061728,0.6419753086419753,0.41975308641975306,0.4197530864197531,0.3827160493827161,0.7777777777777777,0.5802469135802469,0.3333333333333333,0.5185185185185185,0.5802469135802469,0.32098765432098764,0.3827160493827161,0.24691358024691357,0.5925925925925926,0.617283950617284,0.4567901234567901,0.5308641975308642,0.6666666666666666,0.5061728395061729,0.6049382716049383,0.6913580246913581,0.6790123456790123,0.5061728395061729,0.3580246913580247,0.4691358024691358,0.8271604938271606,0.5308641975308642,0.7530864197530864,0.7654320987654322,0.4444444444444444,0.617283950617284,0.6049382716049383,0.308641975308642,0.5432098765432098
6,0.6388888888888888,0.5416666666666667,0.3194444444444445,0.5555555555555556,0.45833333333333337,0.2777777777777778,0.45833333333333337,0.75,0.5277777777777778,0.6944444444444444,0.43055555555555564,0.4027777777777778,0.75,0.4444444444444444,0.3055555555555555,0.6944444444444445,0.4166666666666667,0.5416666666666667,0.3472222222222222,0.3055555555555556,0.6944444444444444,0.41666666666666663,0.3194444444444445,0.23611111111111116,0.3472222222222222,0.5,0.20833333333333334,0.4166666666666667,0.625,0.5416666666666667,0.4027777777777778,0.23611111111111116,0.3055555555555556,0.4861111111111111,0.4027777777777778,0.2361111111111111,0.34722222222222227,0.2916666666666667,0.5833333333333334,0.3055555555555556,0.48611111111111105,0.4166666666666667,0.5,0.3888888888888889,0.7361111111111112,0.37500000000000006
7,0.6805555555555556,0.3611111111111111,0.2777777777777778,0.5833333333333334,0.4444444444444445,0.4305555555555556,0.2638888888888889,0.4861111111111111,0.4027777777777778,0.5138888888888888,0.5416666666666667,0.4305555555555556,0.5416666666666667,0.48611111111111116,0.6388888888888888,0.625,0.5555555555555556,0.5972222222222222,0.5277777777777778,0.6666666666666667,0.5277777777777778,0.6944444444444444,0.4583333333333333,0.5416666666666667,0.4444444444444444,0.4305555555555555,0.5972222222222223,0.4027777777777778,0.6388888888888888,0.6805555555555556,0.38888888888888884,0.5555555555555556,0.375,0.8333333333333334,0.2777777777777778,0.5,0.4305555555555556,0.625,0.5,0.5694444444444444,0.5,0.5,0.5,0.5555555555555556,0.5972222222222223,0.5972222222222222
8,0.47222222222222227,0.6527777777777778,0.5277777777777779,0.75,0.3472222222222222,0.375,0.19444444444444445,0.3194444444444444,0.47222222222222227,0.4861111111111111,0.513888888888889,0.4444444444444444,0.5138888888888888,0.5972222222222222,0.2916666666666667,0.5416666666666666,0.45833333333333337,0.8333333333333333,0.7361111111111112,0.38888888888888895,0.5555555555555556,0.47222222222222227,0.5555555555555556,0.2916666666666667,0.4305555555555555,0.7638888888888888,0.4722222222222222,0.375,0.5833333333333334,0.611111111111111,0.3611111111111111,0.3194444444444445,0.5972222222222222,0.5138888888888888,0.4027777777777778,0.6527777777777778,0.5,0.5138888888888888,0.6527777777777779,0.6111111111111112,0.5833333333333334,0.4861111111111111,0.40277777777777785,0.3472222222222222,0.37500000000000006,0.6388888888888888
9,0.45833333333333337,0.5277777777777778,0.5555555555555556,0.4444444444444445,0.4305555555555556,0.4444444444444444,0.7916666666666667,0.2361111111111111,0.37500000000000006,0.5833333333333333,0.3194444444444444,0.3888888888888889,0.5277777777777777,0.75,0.45833333333333337,0.7083333333333334,0.34722222222222227,0.5555555555555556,0.5833333333333334,0.5138888888888888,0.5555555555555556,0.638888888888889,0.5,0.5972222222222222,0.5277777777777778,0.75,0.4305555555555555,0.6944444444444444,0.5,0.6111111111111112,0.5416666666666667,0.5138888888888888,0.5555555555555556,0.625,0.33333333333333337,0.4166666666666667,0.6527777777777778,0.45833333333333337,0.625,0.625,0.2916666666666667,0.4027777777777778,0.3055555555555556,0.6527777777777778,0.4027777777777778,0.5416666666666667
