,auc
0,0.6993103448275862
1,0.6524137931034483
2,0.5572413793103448
3,0.6524137931034483
4,0.6317241379310344
5,0.7310344827586207
6,0.6628571428571429
7,0.65
8,0.51
9,0.6271428571428571
